Author Name,Author ID,Paper Count
허장욱,647329504,67
이상진,562214,60
이수기,751385579,52
이상운,984543918,51
노대석,307800753,50
김치용,970444588,46
오하영,366216691,46
김남호,489955416,43
황인호,987364986,42
조성제,910088337,42
정진헌,596762914,42
신성윤,698927343,42
박정흠,905262820,40
이경수,869227580,39
마정목,488852589,38
손태식,948080461,38
손창백,122523991,38
반효경,362708748,36
신원상,169944275,36
조진균,234520995,35
이철희,236861885,35
양근혁,974959768,35
구상,626035695,33
정석희,1764747,32
류기환,150833007,32
이용준,244077333,32
하만영,835109489,32
김종현,212476642,32
서화정,883930003,32
류성기,442952685,30
김종성,338719801,29
박준규,824487955,29
조동민,173667276,29
백진,201665052,28
남유진,382663054,27
김용주,189612949,27
김진섭,864303578,27
김홍락,727639048,26
장항배,680774409,26
서갑호,1380270,26
이종인,427261031,26
이해연,911124150,26
박대진,966564311,26
차수정,130988463,25
강동훈,129192447,25
박재상,850720132,25
오근영,436134031,24
김건동,696119555,24
한승호,708739151,24
정회경,544761986,24
임완수,364973163,24
황용우,369026106,24
박명철,1823710,23
황민태,298675878,23
송재복,662538615,23
정진형,532375682,23
이석환,775277327,23
박상철,539001019,22
황기태,884111608,22
윤용호,807027431,22
김종훈,899429971,22
박용배,426708151,22
유선진,299120,22
정동원,279447243,22
최광환,4587974,22
김경태,832758175,22
박진철,992994882,22
서영호,642403,22
박구만,226589532,22
김진희,437531416,21
오현웅,759629903,21
오광석,319840025,21
김준태,589307691,21
최중식,849203926,21
노현우,424063025,21
하동우,124722851,21
주지한,169780614,21
손창환,771834813,20
우탁,411188298,20
강석진,331335042,20
정슬,838039768,20
추호성,125677705,20
김진술,114009371,20
안현철,241778319,20
명노신,917773667,20
김현기,609453549,20
김태훈,639677003,20
이석훈,954400108,20
권순철,601306678,20
김광환,471803274,20
김철영,407548006,20
박남제,915838967,20
이학진,612604077,20
권오병,123366483,20
서현규,654365406,20
유해연,165802960,20
김성범,385768725,20
서영민,976032692,20
정현준,349419501,20
이경환,307710679,20
정승호,470896968,20
고락길,468748314,20
황승연,613044813,20
구태형,352463669,20
이보아,559759689,19
강주영,680456184,19
이진욱,460034202,19
김선영,775025667,19
박노철,122717017,19
홍원식,166524733,19
이상섭,435577717,19
김지영,368220425,19
김지명,855477570,19
최요순,635679518,19
홍헬렌,753726512,19
시종욱,4085118,19
오철,302589652,19
김성영,1770468,19
김도훈,225161714,19
김기범,744480,19
하미경,397092663,19
이창수,467120864,18
도재혁,351345826,18
김진영,684099388,18
홍성조,421373972,18
이재욱,979279617,18
김영일,376408599,18
지창욱,482181870,18
한진태,966072139,18
이병권,891404384,18
문진우,708906713,18
김주형,619202957,18
Soo Young Shin,410671823,18
심동규,676567951,18
김승균,110585278,18
양영구,680579783,18
이훈재,709346041,18
김선웅,605339503,17
이기만,883764743,17
김영석,585178431,17
박준영,736383727,17
전봉희,676764572,17
조용준,955503921,17
안종욱,567155,17
박병용,528612742,17
이재문,809565961,17
허원회,4614057,17
윤종호,162173491,17
권기룡,991149216,17
정세훈,649212838,17
심춘보,693190302,17
정호영,666773397,17
윤현규,248851020,17
김갑순,776682466,17
박도형,212778990,17
이근왕,764345385,17
이재선,2260203,17
신경욱,564448329,17
강경환,382637452,17
정인환,332526958,17
백승민,487202728,17
나완수,181860889,17
손정택,685311160,17
김영상,716822545,17
전현호,574894552,17
송재혁,148180530,17
김대상,232169570,17
이원주,623718069,17
백민석,445057152,17
최성문,144247593,17
강대성,767043367,17
윤정인,209855004,17
남진,644454409,17
김정준,304639235,17
변기동,799750355,16
오암석,106966119,16
임상섭,376961666,16
홍형길,325746674,16
강창구,762900643,16
윤해룡,132128524,16
양진홍,690703188,16
김준형,664934979,16
조재현,972043883,16
김현구,954861770,16
이은규,615336941,16
Mi-Song Kim,367980475,16
강민정,524594494,16
박대우,350968683,16
권기연,591763369,16
김병성,901488756,16
박주엽,710944344,16
김영곤,250454185,16
최승범,491912551,16
이승현,530285345,16
천대성,236205952,16
추현곤,360559245,16
홍익표,751470262,16
최순욱,221115488,16
임순범,418938793,16
신종호,938251795,16
서진호,907311306,16
설한신,865496785,16
김수철,106778212,16
박금성,807343073,16
이수진,297546896,16
황면중,173452777,16
이지영,965341320,16
김인철,355525940,16
박덕근,228099457,16
김수균,762761028,16
안동규,530744514,15
안달,857322819,15
김귀훈,991969986,15
김재경,911243546,15
강효림,250959775,15
김규헌,519605935,15
김기출,874468018,15
육종관,924735038,15
김동수,870808973,15
성시일,801102541,15
백승윤,684501427,15
김태호,276203291,15
김해지,379347240,15
김수영,997653628,15
김영훈,712860197,15
안대환,521323752,15
조해성,767030119,15
이건원,130963894,15
호광춘,329323177,15
서정화,763594325,15
김재문,418287657,15
조영태,272865410,15
강태호,587165677,15
안지환,809008143,15
김수진,664035716,15
박명훈,773685320,15
천봉원,472286863,15
반태원,682548708,15
장수호,103272060,15
김학일,959241807,15
곽이구,487926724,15
이창훈,973800144,15
이수원,524387468,15
임헌국,902902518,15
김성신,336147317,15
곽호찬,619598139,15
송진우,1169217,15
안용한,450060796,15
송태진,568686967,14
유석종,237190534,14
설성훈,296002691,14
남기우,380885996,14
권대규,761046489,14
전왕수,5541357,14
박찬희,827621123,14
Shuang-Yu Hu,333809253,14
이상용,440931660,14
유미,818630174,14
이철호,247299580,14
김희철,584918933,14
이후동,724846164,14
임효남,485674006,14
최효식,320211260,14
진장익,190453192,14
양인철,416975152,14
신휴성,492338666,14
이승일,714356,14
윤동원,903733014,14
온병원,425568548,14
조동식,452955099,14
서명국,196409798,14
유상석,424345861,14
김종찬,762897864,14
김남규,642847800,14
황인성,640836562,14
이상식,673575413,14
김준동,673494163,14
윤린,171654941,14
임정택,625657609,14
최병근,472448839,14
오준택,576635702,14
김진혁,598469394,14
박소현,715107690,14
김윤제,636117158,14
김한솔,942446064,14
박노석,365975115,14
김동헌,259863911,14
김철희,578837673,14
최성모,179388761,14
김민규,132832,14
정경영,138342785,14
김성진,232711,14
강창호,595713761,14
이만희,982136524,14
이병국,651520010,14
안세환,173722390,14
강상욱,244132323,14
양견모,638421974,14
이형용,972605628,14
박태형,922971635,14
김웅진,229688169,14
유승한,994755719,14
정성욱,228702290,14
김준호,660288362,13
김휘강,681010858,13
강봉순,620037213,13
박종혁,841630066,13
안종우,799632512,13
석진영,742070346,13
하종은,841811255,13
김상우,995419697,13
장경배,622310282,13
김기홍,676199409,13
최권택,892816481,13
오상원,398956311,13
윤형구,329387924,13
박의섭,976044650,13
손동욱,582859191,13
Eung-Joo Lee,503163780,13
이항복,724458918,13
한종기,993328772,13
이헌철,696549522,13
이우경,592962910,13
김소수,410257922,13
윤혁진,594381340,13
오석문,479788688,13
서준호,250695,13
최재필,707197004,13
정원식,661265685,13
류은석,462835560,13
김민휘,238679297,13
추승연,795108144,13
강민수,245115316,13
박춘수,426185695,13
박영도,989477374,13
김일수,992160495,13
윤태종,907882968,13
오상훈,268806540,13
최영진,123644376,13
홍태호,823058393,13
엄인용,186141692,13
임원식,470693421,13
황금철,162284926,13
문상곤,635285935,13
김진오,633420078,13
최훈기,218201528,13
김장권,710476503,13
김홍건,629384819,13
송철기,912353773,13
하정웅,889114713,13
장병준,463557910,13
손창효,787431488,13
송두삼,316091,13
김인한,248517783,13
이형진,935839368,13
김대현,4022953,13
이승호,803702232,13
박인규,877500255,13
성현곤,788837129,13
신광복,646291892,13
Aria Bisma Wahyutama,823559881,13
조국환,524423112,13
김광백,162468677,13
오석형,108848048,13
이종우,384196326,13
조영복,813427672,13
김재곤,426174,13
김상길,773530997,12
박수형,564534885,12
김현철,436155356,12
조완기,549339015,12
기석철,742169681,12
민연아,447406957,12
유진우,281722044,12
임강희,5337091,12
홍석무,1578410,12
이성진,746734419,12
박진완,536099595,12
이형석,645761159,12
정홍석,627658090,12
송석일,124772884,12
박재훈,775186653,12
Wei-jia Li,103245900,12
김완수,953921308,12
박선희,119641573,12
김원준,816752245,12
강지영,149046435,12
홍석희,984565396,12
박상성,612670071,12
조규선,824717314,12
김능회,665548641,12
Seung-Soo Shin,717679091,12
김정태,650356713,12
배진우,797249445,12
김래영,701138572,12
홍순기,786943369,12
윤경로,421381081,12
권상철,132767247,12
곽상신,779637394,12
김학원,208704312,12
서미희,259375267,12
선준호,131623576,12
이희상,468013668,12
김종겸,634186372,12
서정일,288744959,12
정성인,107354561,12
김규석,787392435,12
윤한얼,137070417,12
공지흔,5428316,12
한재영,714454716,12
김성,569922368,12
이지형,977669423,12
신승중,302169751,12
이동근,216690894,12
김태훈,473249368,12
이두열,685533335,12
곽호영,474967966,12
김의종,1947301,12
신동현,691895937,12
장대희,1820955,12
반영환,616522509,12
윤성환,493367293,12
권양희,458361680,12
윤석민,309502954,12
이재은,213238334,12
고준호,214402531,12
양리,687771988,12
김태현,330573338,12
강아름,873978404,12
권민혜,568488282,12
오재홍,206355597,12
서동욱,757279365,12
권순만,112097,12
김원필,542819201,12
장중순,799503234,12
주희선,274395232,12
손희종,129564953,12
정석권,918466024,12
이광규,5475884,12
양병윤,696179022,12
석진영,488395959,12
홍응표,423247463,12
오진석,958231007,12
박찬호,747094260,12
남광우,294462239,12
김석,708559321,12
문희창,5456060,12
서정세,526279950,12
서수연,198272607,11
최현준,546595317,11
손진근,182292982,11
조병래,275403914,11
박찬,303147229,11
김종관,306060476,11
한병길,722231624,11
조정우,166810567,11
구승환,213219434,11
김애정,706505058,11
이기원,752863609,11
차한주,880977142,11
김우주,520735579,11
이준석,808049076,11
이교범,200643631,11
여인호,805860094,11
박대길,221627988,11
홍진근,291860533,11
김학래,322733308,11
이현수,5417041,11
장선호,5082975,11
김주욱,696540900,11
이경준,711511611,11
이석호,820973082,11
장경오,865170209,11
김정엽,956834975,11
김종임,411068809,11
김정이,148043066,11
정호성,998503908,11
김남용,264881730,11
김인수,424512974,11
윤용기,511550133,11
문석재,107594694,11
신동원,178389939,11
이덕우,857684908,11
이상희,306523900,11
장정아,222085378,11
곽정훈,820168522,11
김형기,158035005,11
Sang-Ouk Noe,776506194,11
김영민,445695919,11
최석현,413760039,11
이영준,860605341,11
이재웅,448437839,11
강창묵,237686509,11
김성은,5147510,11
유승철,410127827,11
최하진,761822007,11
강지헌,729977992,11
박민재,387546652,11
이강민,345124272,11
김재준,401407626,11
권만우,719573678,11
심재창,657367276,11
최성대,103452851,11
이영선,912281206,11
황세원,939363956,11
심민주,632245447,11
이병문,591072469,11
최승호,335100184,11
Jong-Ryeol Park,516538667,11
홍재원,284999362,11
김준범,371663735,11
윤현도,223148371,11
김무림,622770411,11
최상수,177619392,11
이재철,475434391,11
유용균,428108722,11
박동민,836818783,11
소영명,568481154,11
강용준,397064525,11
이민철,378867361,11
이경선,876318344,11
문지훈,972073946,11
이명수,141316233,11
서정관,921783743,11
강수진,392542270,11
류지열,791847246,11
장주섭,669482009,11
박현호,468123838,11
신동진,999552848,11
유순덕,285696034,11
김진모,534024725,11
이종학,767894090,11
고영성,562690678,11
백재민,146876807,11
박관형,830798007,11
한성화,651015423,11
윤원상,568835587,11
김장영,316970323,11
전희정,398667344,11
권혁동,358205160,11
박재흥,349211906,11
이제명,912885835,11
최윤수,240260598,11
임재성,883951819,11
김성봉,778908925,11
정규혁,618368291,11
신용태,114242229,11
방인규,612933798,11
신요안,686928868,11
고승욱,599037388,11
김건우,115167223,11
고일석,521944785,11
김재호,4598455,11
강장묵,734427666,11
현철,5319589,11
김동회,329291404,11
이종관,2283353,11
이연식,292004264,11
유정민,880219299,11
허경용,736498372,11
정희경,988376574,11
선영규,784446687,10
전한종,452512085,10
Seungmin Oh,841855175,10
류성룡,2727643,10
김병옥,100816541,10
최경석,529250890,10
김기주,282124280,10
김형주,805519227,10
박종진,259560583,10
이치승,4220832,10
이진우,912388668,10
최인식,646479979,10
정재원,617001889,10
최창식,777580518,10
신민규,161955406,10
박철수,908652612,10
유도진,5499488,10
변공규,531949965,10
정원지,388164855,10
강형주,960723859,10
함승호,100196578,10
박영준,744474261,10
김용태,115855893,10
이민행,737444593,10
오성권,152316532,10
이준용,173155131,10
송승영,596546250,10
문남미,557678391,10
전차수,247337001,10
유재우,107003,10
김윤진,816619365,10
신우철,486360381,10
조해용,410855104,10
조형희,319693835,10
옥승호,741494989,10
조병준,915557740,10
조성욱,838904,10
김명선,178191029,10
장효식,774679022,10
권재기,302003362,10
이지홍,603331610,10
한종부,188916336,10
구재완,111488682,10
박찬국,501722716,10
김종욱,942939415,10
김종한,5477867,10
김영재,791824,10
하재철,860947430,10
김성민,512906996,10
황미경,443033097,10
옥수열,219811601,10
이병국,912602728,10
권헌영,908652646,10
어양담,340381600,10
곽영식,922159030,10
김의명,711194,10
민기복,823329042,10
송기일,433699842,10
백종현,464716691,10
전용호,589316454,10
심동하,956121251,10
김진희,455725985,10
김정화,448212332,10
박준필,860751403,10
구정서,560596783,10
이재범,4602303,10
최영태,681445193,10
김철수,464587343,10
이창노,341831692,10
장윤희,837849797,10
김광기,696294592,10
장대진,873614742,10
김용철,857276134,10
이인호,269955,10
이청용,5119235,10
김현지,277874020,10
장길웅,549602078,10
이동민,863094647,10
김형동,168523799,10
김동윤,674175775,10
노광현,539902101,10
한상민,748910,10
오유란,831453664,10
송민선,147843159,10
임종식,379126925,10
유현상,254111343,10
김진수,2139288,10
서정,886410220,10
김병희,549035480,10
허성호,602726212,10
이보람,517332128,10
조현종,750566018,10
김현정,993349,10
박정수,379912203,10
정경은,509071023,10
박태정,5494281,10
이현재,626920886,10
김영희,459423064,10
Moon-Yong Kim,569304604,10
최해운,525450078,10
현승균,318746366,10
정찬묵,728724042,10
박중구,522902691,10
유은상,5443613,10
배성호,485081402,10
성재용,257540096,10
김길동,350730910,10
이임정,610033660,10
김휘용,222501407,10
김하영,688239823,10
배지훈,935567275,10
장시열,384971356,10
심재훈,752785767,10
박동민,456370042,10
강영석,327625829,10
조광현,830530379,10
이주호,155563543,10
장현태,161005192,10
이형철,409075226,10
차헌녕,657396563,10
김호,907850800,9
홍철운,565353375,9
이병찬,355327519,9
조태선,628663466,9
박영권,648404524,9
임수창,111831460,9
김윤,484740911,9
정철,177585860,9
여태경,671408152,9
박종성,125096400,9
김설희,317775272,9
손은교,104137004,9
박성호,129992304,9
오진우,305685741,9
Zhi-Run Li,166462950,9
이일구,355144747,9
김창래,456975217,9
김재희,421514174,9
배종환,304168167,9
창상훈,339726116,9
권기현,838485815,9
이성준,941052701,9
정지훈,385641000,9
이동진,157283240,9
김수리,596000832,9
이희성,947020143,9
김만철,312684199,9
이주,941795634,9
김규홍,873542703,9
송경주,599229866,9
김영민,327968,9
박정욱,350326071,9
김경민,5200278,9
Yu-Cong Sun,280377101,9
황치곤,816176958,9
김창기,960475340,9
김연철,822176108,9
박인권,100206384,9
최해철,482915623,9
김태훈,662613893,9
이원태,701689490,9
권재현,210479173,9
나성현,637890397,9
김상균,952102177,9
인치호,605293615,9
박종관,283100255,9
장민석,252867046,9
연은모,740874160,9
고성보,357012168,9
오흥선,151578728,9
정순흥,268201955,9
이효문,338955939,9
김두리,327216191,9
정주철,380966043,9
이주환,5173806,9
김남규,709556,9
이예지,1466741,9
김효성,922746128,9
박일룡,986500873,9
신춘성,792048613,9
임재학,440262292,9
원희욱,529449673,9
이홍철,965082156,9
김연규,281367571,9
윤희택,652183050,9
장종욱,817996402,9
정희용,779643206,9
임병주,452271155,9
승홍민,995212052,9
김남호,653959450,9
김동진,667363356,9
김수현,974794160,9
이현섭,684213863,9
안병철,279395565,9
권태수,855958592,9
최웅,124518237,9
이민우,115072,9
이영림,288626623,9
한창완,798591808,9
사민우,1121048,9
김성재,497438516,9
오주영,5426351,9
이명식,156841606,9
최정주,875279097,9
조혜영,775081521,9
이권수,514625683,9
강명창,198430038,9
오승준,228021376,9
강희선,311534193,9
이종찬,196080167,9
김성재,542450511,9
오장석,968909335,9
황성호,124741,9
지상원,857428705,9
권종화,904901055,9
박종진,679891118,9
조혜덕,912539761,9
류종관,933664045,9
신단비,714545062,9
윤근항,660883222,9
김경우,811033617,9
최유미,4587976,9
오기용,528063574,9
김도형,625297,9
이석규,848809432,9
박규해,638336672,9
박수한,474955840,9
정영관,417441640,9
차준표,219734354,9
김선진,876795148,9
이호생,685682559,9
김규태,866937808,9
곽재섭,567077667,9
권재성,2124586,9
이홍기,615660063,9
양준모,698551070,9
문준오,621999734,9
박수현,768624216,9
이종수,814390032,9
김영민,673375417,9
이경태,847289660,9
허재혁,461634261,9
홍희기,894364533,9
천주용,314361244,9
김재원,746306,9
김진국,648244678,9
유승훈,903046820,9
김동선,758040256,9
김동호,4616583,9
홍성호,445015298,9
김석중,425649125,9
이광원,134597522,9
정방철,392580575,9
김대은,232398144,9
이문구,376415938,9
이덕진,988229150,9
조영태,426305699,9
채봉건,282160356,9
김주영,5494330,9
윤석헌,218361503,9
남상욱,990377869,9
강민석,207970529,9
변용현,527750811,9
박상후,198748354,9
조대원,213059829,9
이용규,958178187,9
심지연,502607007,9
이유태,867490844,9
이병록,142919781,9
오원빈,663539497,9
박성현,928502303,9
유지영,119431495,9
이소영,693771468,9
강영옥,204671910,9
기성훈,971439421,9
김재학,4633778,9
김태수,108335,9
장경식,347851932,9
정의범,782318997,9
한창운,766765472,9
방준성,766047443,9
장경식,641936357,9
이상진,682838752,9
김태종,553888986,9
김아영,925176501,9
원종운,889145875,9
박영하,386519750,9
김선겸,852682538,9
박미옥,598996554,9
강대기,775435242,9
이인호,841793663,9
서영건,1424893,9
조규철,539786221,9
김경석,252290128,9
이수정,710212443,9
김수현,830122006,9
반성범,266104655,9
김석훈,576466604,9
권기현,599964129,9
강희조,673993414,9
최규진,5544403,9
선심이,980959044,9
최용석,390993782,9
곽윤식,144177883,9
양충헌,299871600,9
도성록,431398878,9
이창준,4835827,9
김영규,332532854,9
김재남,675175309,9
이규만,5113837,8
박재홍,884888544,8
이승환,113977,8
김학민,845438795,8
이용환,2264224,8
송지영,806499956,8
이정해,153561375,8
김창재,854194046,8
이돈희,567779317,8
장재민,804330168,8
강기환,828013008,8
