NODE_ID,IPRD_NM,PLCT_NM,NODE_TTLE,NODE_TTLE_EN,PBSH,NODE_LINK,NODE_CLSS_01,NODE_CLSS_02,AUTR_NM,KYWD,ABST_KR,ABST_EN
NODE10565029,대한설비공학회,설비저널,기계설비 유지관리를 위한 건물관리시스템의 발전방향,,202106,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10565029,공학,기계공학,송재엽,,,
NODE10565030,대한설비공학회,설비저널,AI 및 IoT 기반 스마트 건물 자동제어시스템,,202106,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10565030,공학,기계공학,"김진, 장맹훈, 손익수",,,
NODE10561437,대한전기학회,전기학회논문지,Submission Checklist etc.,Submission Checklist etc.,202106,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561437,공학,전기전자공학,편집부,,,
NODE10561438,한국통신학회,한국통신학회지(정보와통신),머리말,,202105,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561438,공학,전기전자공학,신성웅,,,
NODE10561445,한국통신학회,한국통신학회지(정보와통신),머리말,,202105,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561445,공학,전기전자공학,"이용태, 정우석",,,
NODE10561451,한국통신학회,한국통신학회지(정보와통신),한국통신학회지 “정보와 통신” 투고 규정 외,,202105,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561451,공학,전기전자공학,편집부,,,
NODE10561455,한국전자파학회,전자파기술,[특집편집기] 4차 산업혁명을 위한 전파기술 및 주파수 정책,,202105,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561455,공학,전기전자공학,김창주,,,
NODE10561456,한국전자파학회,전자파기술,스펙트럼연구회 소개,,202105,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561456,공학,전기전자공학,김창주,,,
NODE10561457,한국전자파학회,전자파기술,5G New Radio 기술 및 주파수 정책,,202105,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561457,공학,전기전자공학,김창주,,,
NODE10561458,한국전자파학회,전자파기술,LTE/5G-V2X 자율주행을 위한 서비스/주파수 및 사회 비용 분석,,202105,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561458,공학,전기전자공학,"안상훈, 장경희",,,
NODE10561459,한국전자파학회,전자파기술,스펙트럼 센싱 기술 동향 및 주파수 공동사용 정책,,202105,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561459,공학,전기전자공학,임창헌,,,
NODE10561460,한국전자파학회,전자파기술,무선전력전송에서 본 국가산업 확산 정책 제언,,202105,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561460,공학,전기전자공학,윤재훈,,,
NODE10561461,한국전자파학회,전자파기술,6 GHz 비면허 주파수 확보동향과 정책방안,,202105,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561461,공학,전기전자공학,이상윤,,,
NODE10561462,한국전자파학회,전자파기술,소출력 무선기기 주파수 이용 동향 및 국내 정책,,202105,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561462,공학,전기전자공학,"박연규, 이일규, 성주영",,,
NODE10561463,한국전자파학회,전자파기술,국토 최외곽 도서지역 전자파환경 측정,,202105,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561463,공학,전기전자공학,"조춘식, 김완기",,,
NODE10561464,한국전자파학회,전자파기술,"5G 글로벌 상용화 2주년, 현주소와 과제는",,202105,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561464,공학,전기전자공학,박지성,,,
NODE10561465,한국전자파학회,전자파기술,ITU-R SG1 (전파관리) 2019,,202105,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561465,공학,전기전자공학,이일규,,,
NODE10561466,한국전자파학회,전자파기술,한동대학교 센싱 및 무선통신 실험실,,202105,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561466,공학,전기전자공학,김영식,,,
NODE10561467,한국전자파학회,전자파기술,(주) 휴라,,202105,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561467,공학,전기전자공학,편집부,,,
NODE10561468,한국전자파학회,전자파기술,블루웨이브텔 (주),,202105,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561468,공학,전기전자공학,편집부,,,
NODE10561477,한국전자파학회,전자파기술,학회소식 외,,202105,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561477,공학,전기전자공학,편집부,,,
NODE10561548,대한전기학회,전기학회논문지 P,The Transactions of the Korean Institute of Electrical Engineers etc.,The Transactions of the Korean Institute of Electrical Engineers etc.,202106,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561548,공학,전기전자공학,편집부,,,
NODE10561621,한국철도학회,철도저널,"국가의 미래, 철도가 열어 갑시다",,202104,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561621,공학,기타 공학,김한영,,,
NODE10561622,한국철도학회,철도저널,클라우드 컴퓨팅 기술을 활용한 철도운영제어 분야 기술 동향,,202104,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10561622,공학,기타 공학,"김성진, 박성수, 이재호",,,
NODE10564102,Korean Institute of Information Scientists and Engineers,정보과학회지,생물정보학에서의 딥러닝 생성모델 응용,Deep Generative Modeling in Bioinformatics,202106,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10564102,공학,컴퓨터학,이광호,,,
NODE10620193,한국로봇학회,로봇과 인간,아동용 홈 로봇,,202110,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620193,공학,전기전자공학,김민규,,,
NODE10620194,한국로봇학회,로봇과 인간,"로봇의 마음, 인간의 마음",,202110,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620194,공학,전기전자공학,안도현,,,
NODE10620195,한국로봇학회,로봇과 인간,휴먼 케어 로봇윤리 판단모듈,,202110,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620195,공학,전기전자공학,한정혜,,,
NODE10620196,한국로봇학회,로봇과 인간,노인과 로봇,,202110,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10620196,공학,전기전자공학,이재연,,,
