Year,NODE_CLSS_02,논문수,학회
2021,건축공학,2402,"ARCHITECTURAL RESEARCH, Environmental Engineering Research, International Journal of Concrete Structures and Materials, KIEAE Journal, 건축과사회, 건축환경설비, 국토계획, 대한건축학회논문집, 대한공간정보학회지, 대한토목학회지, 대한환경공학회지, 도시정보, 지반(한국지반공학회지), 지반환경, 콘크리트학회 논문집, 콘크리트학회지, 터널과 지하공간, 한국가스학회지, 한국강구조학회 논문집 , 한국강구조학회지, 한국건설순환자원학회논문집, 한국건축친환경설비학회 논문집, 한국자원공학회지, 한국지반공학회논문집, 한국지반신소재학회 논문집, 한국지반신소재학회지, 한국지반환경공학회 논문집, 한국지열·수열에너지학회논문집, 한국측량학회지, 한국해안·해양공학회논문집, 환경논총"
2021,공학 일반,1128,"센서학회지, 한국산업정보학회논문지, 한국산학기술학회 논문지"
2021,기계공학,2635,"International Journal of Aerospace System Engineering, International Journal of Fluid Machinery and Systems, Journal of Advanced Marine Engineering and Technology (JAMET), Journal of Propulsion and Energy, Journal of the Korean Society for Precision Engineering, Tribology and Lubricants, 기계기술정책 정책지, 기계저널, 기술과 교육, 대한기계학회 논문집 A권, 대한기계학회 논문집 B권, 대한용접·접합학회지, 동력시스템공학회지, 드라이브·컨트롤, 비파괴검사학회지, 설비공학논문집, 설비저널, 소음·진동, 에너지기후변화학회지, 오토저널, 자동차안전학회지, 한국CDE학회 논문집, 한국기계가공학회지, 한국생산제조학회지, 한국소음진동공학회논문집, 한국수소및신에너지학회논문집, 한국연소학회지, 한국유체기계학회 논문집, 한국자동차공학회논문집, 한국전산유체공학회지, 한국추진공학회지, 한국표면공학회지, 한국항공우주학회지, 항공우주산업기술동향, 항공우주시스템공학회지, 항공진흥, 환경에너지공학"
2021,기타 공학,447,"교통기술과정책, 대한교통학회지, 재활복지공학회논문지, 철도저널, 한국게임학회 논문지, 한국위험물학회지, 한국철도학회 논문집"
2021,산업공학,289,"Industrial Engineering & Management Systems, International Journal of Reliability and Applications, 대한산업공학회지, 대한인간공학회지, 신뢰성응용연구, 지능정보연구, 한국 SCM 학회지"
2021,재료·에너지공학,308,"Current Photovoltaic Research, 소성·가공, 신·재생에너지, 에너지공학, 태양에너지, 한국압력기기공학회 논문집, 한국염색가공학회지, 한국태양광발전학회지, 한국태양에너지학회 논문집"
2021,전기전자공학,3697,"IEIE Transactions on Smart Processing & Computing, INTERNATIONAL JOURNAL of FUZZY LOGIC and INTELLIGENT SYSTEMS, International JOURNAL OF CONTENTS, JOURNAL OF SEMICONDUCTOR TECHNOLOGY AND SCIENCE, Journal of Electromagnetic Engineering And Science, Journal of information and communication convergence engineering, The International Journal of Advanced Smart Convergence, The International Journal of Internet, Broadcasting and Communication, 로봇과 인간, 로봇학회 논문지, 멀티미디어학회논문지, 방송공학회논문지, 방송과 미디어, 전기의세계, 전기전자학회논문지, 전기학회논문지, 전기학회논문지 P, 전력전자학회논문지, 전력전자학회지, 전자공학회논문지, 전자공학회지, 전자파기술, 제어로봇시스템학회 논문지, 제어로봇시스템학회지, 조명·전기설비, 조명·전기설비학회논문지, 한국가시화정보학회지, 한국도시철도학회논문집, 한국인터넷방송통신학회 논문지, 한국전자파학회논문지, 한국전지학회지, 한국정보기술학회논문지, 한국정보기술학회지, 한국정보전자통신기술학회 논문지, 한국정보통신학회논문지, 한국지능시스템학회 논문지, 한국통신학회논문지, 한국통신학회지(정보와통신)"
2021,조선해양공학,208,"대한조선학회 논문집, 대한조선학회지, 한국해양공학회지, 한국해양환경·에너지학회지"
2021,컴퓨터학,1327,"JOURNAL OF PLATFORM TECHNOLOGY, Journal of Computing Science and Engineering, Journal of KIISE, The Journal of Contents Computing, 디지털콘텐츠학회논문지, 디지털포렌식연구, 정보과학회 컴퓨팅의 실제 논문지, 정보과학회지, 정보기술융합공학논문지, 정보보호학회논문지, 정보보호학회지, 컴퓨터그래픽스학회논문지, 한국전자거래학회지, 한국컴퓨터정보학회논문지 , 한국컴퓨터정보학회지 "
2021,화학공학,333,"BT NEWS, KSBB Journal, 고분자 과학과 기술, 청정기술, 폴리머"
