Year,NODE_CLSS_02,논문수,학회_순위(IF)
2021,건축공학,2402,"1. 국토계획 (1.3484)
2. 대한공간정보학회지 (1.0714)
3. 한국해안·해양공학회논문집 (0.6768)
4. 한국측량학회지 (0.6744)
5. 대한환경공학회지 (0.6667)
6. 터널과 지하공간 (0.65)
7. 한국자원공학회지 (0.5785)
8. 대한건축학회논문집 (0.536)
9. 한국강구조학회 논문집 (0.5349)
10. 콘크리트학회 논문집 (0.5085)
11. 한국지열·수열에너지학회논문집 (0.5)
12. KIEAE Journal (0.4756)
13. 한국건축친환경설비학회 논문집 (0.4628)
14. 한국지반공학회논문집 (0.44)
15. 한국지반신소재학회 논문집 (0.4231)
16. 한국가스학회지 (0.3333)
17. Environmental Engineering Research (0.2895)
18. 한국지반환경공학회 논문집 (0.2169)
19. International Journal of Concrete Structures and Materials (0.1746)
20. ARCHITECTURAL RESEARCH (0)
21. 건축과사회 (0)
22. 건축환경설비 (0)
23. 대한토목학회지 (0)
24. 도시정보 (0)
25. 지반(한국지반공학회지) (0)
26. 지반환경 (0)
27. 콘크리트학회지 (0)
28. 한국강구조학회지 (0)
29. 한국건설순환자원학회논문집 (0)
30. 한국지반신소재학회지 (0)
31. 환경논총 (0)"
2021,공학 일반,1128,"1. 한국산업정보학회논문지 (0.9333)
2. 센서학회지 (0.1528)
3. 한국산학기술학회 논문지 (0)"
2021,기계공학,2635,"1. 한국수소및신에너지학회논문집 (0.5613)
2. 한국유체기계학회 논문집 (0.481)
3. 한국소음진동공학회논문집 (0.4671)
4. 한국CDE학회 논문집 (0.4565)
5. 에너지기후변화학회지 (0.44)
6. 동력시스템공학회지 (0.4211)
7. 한국연소학회지 (0.42)
8. 자동차안전학회지 (0.3966)
9. 한국기계가공학회지 (0.3904)
10. 한국생산제조학회지 (0.3529)
11. 비파괴검사학회지 (0.3258)
12. 한국표면공학회지 (0.3069)
13. 항공우주시스템공학회지 (0.3023)
14. 한국전산유체공학회지 (0.2973)
15. 한국추진공학회지 (0.2727)
16. 한국항공우주학회지 (0.2689)
17. International Journal of Fluid Machinery and Systems (0.2679)
18. International Journal of Aerospace System Engineering (0)
19. Journal of Advanced Marine Engineering and Technology (JAMET) (0)
20. Journal of Propulsion and Energy (0)
21. Journal of the Korean Society for Precision Engineering (0)
22. Tribology and Lubricants (0)
23. 기계기술정책 정책지 (0)
24. 기계저널 (0)
25. 기술과 교육 (0.0)
26. 대한기계학회 논문집 A권 (0)
27. 대한기계학회 논문집 B권 (0)
28. 대한용접·접합학회지 (0)
29. 드라이브·컨트롤 (0)
30. 설비공학논문집 (0)
31. 설비저널 (0)
32. 소음·진동 (0)
33. 오토저널 (0)
34. 한국자동차공학회논문집 (0)
35. 항공우주산업기술동향 (0)
36. 항공진흥 (0)
37. 환경에너지공학 (0)"
2021,기타 공학,447,"1. 대한교통학회지 (1.038)
2. 재활복지공학회논문지 (0.2987)
3. 한국위험물학회지 (0.2115)
4. 교통기술과정책 (0)
5. 철도저널 (0)
6. 한국게임학회 논문지 (0)
7. 한국철도학회 논문집 (0)"
2021,산업공학,289,"1. 지능정보연구 (1.1507)
2. 대한인간공학회지 (0.398)
3. 대한산업공학회지 (0.386)
4. Industrial Engineering & Management Systems (0.0696)
5. International Journal of Reliability and Applications (0)
6. 신뢰성응용연구 (0)
7. 한국 SCM 학회지 (0)"
2021,재료·에너지공학,308,"1. 한국염색가공학회지 (0.5)
2. 한국태양에너지학회 논문집 (0.3889)
3. 에너지공학 (0.3671)
4. 한국압력기기공학회 논문집 (0.1463)
5. Current Photovoltaic Research (0.0476)
6. 소성·가공 (0)
7. 신·재생에너지 (0)
8. 태양에너지 (0)
9. 한국태양광발전학회지 (0)"
2021,전기전자공학,3697,"1. 멀티미디어학회논문지 (0.6355)
2. 한국인터넷방송통신학회 논문지 (0.5718)
3. 한국지능시스템학회 논문지 (0.5168)
4. 한국정보기술학회논문지 (0.5027)
5. 한국정보통신학회논문지 (0.5)
6. 한국정보전자통신기술학회 논문지 (0.497)
7. 로봇학회 논문지 (0.4845)
8. The International Journal of Advanced Smart Convergence (0.4409)
9. 한국도시철도학회논문집 (0.4375)
10. 전자공학회논문지 (0.3206)
11. 한국통신학회논문지 (0.3039)
12. 전기전자학회논문지 (0.2843)
13. 전기학회논문지 (0.284)
14. 한국가시화정보학회지 (0.1639)
15. IEIE Transactions on Smart Processing & Computing (0.1333)
16. JOURNAL OF SEMICONDUCTOR TECHNOLOGY AND SCIENCE (0.1216)
17. Broadcasting and Communication (0)
18. INTERNATIONAL JOURNAL of FUZZY LOGIC and INTELLIGENT SYSTEMS (0)
19. International JOURNAL OF CONTENTS (0)
20. Journal of Electromagnetic Engineering And Science (0)
21. Journal of information and communication convergence engineering (0)
22. The International Journal of Internet (0)
23. 로봇과 인간 (0)
24. 방송공학회논문지 (0)
25. 방송과 미디어 (0)
26. 전기의세계 (0)
27. 전기학회논문지 P (0)
28. 전력전자학회논문지 (0)
29. 전력전자학회지 (0)
30. 전자공학회지 (0)
31. 전자파기술 (0)
32. 제어로봇시스템학회 논문지 (0)
33. 제어로봇시스템학회지 (0)
34. 조명·전기설비 (0)
35. 조명·전기설비학회논문지 (0)
36. 한국전자파학회논문지 (0)
37. 한국전지학회지 (0)
38. 한국정보기술학회지 (0)
39. 한국통신학회지(정보와통신) (0)"
2021,조선해양공학,208,"1. 한국해양공학회지 (0.5344)
2. 대한조선학회 논문집 (0.4757)
3. 대한조선학회지 (0)
4. 한국해양환경·에너지학회지 (0)"
2021,컴퓨터학,1327,"1. 디지털콘텐츠학회논문지 (1.3661)
2. 한국전자거래학회지 (1.3636)
3. 디지털포렌식연구 (0.8136)
4. 한국컴퓨터정보학회논문지 (0.6184)
5. 정보보호학회논문지 (0.4868)
6. 정보과학회 컴퓨팅의 실제 논문지 (0.2024)
7. 정보기술융합공학논문지 (0.0714)
8. JOURNAL OF PLATFORM TECHNOLOGY (0)
9. Journal of Computing Science and Engineering (0)
10. Journal of KIISE (0)
11. The Journal of Contents Computing (0)
12. 정보과학회지 (0)
13. 정보보호학회지 (0)
14. 컴퓨터그래픽스학회논문지 (0)
15. 한국컴퓨터정보학회지 (0)"
2021,화학공학,333,"1. KSBB Journal (0.4066)
2. 폴리머 (0.3551)
3. BT NEWS (0)
4. 고분자 과학과 기술 (0)
5. 청정기술 (0)"
