Year,NODE_CLSS_02,논문수,학회_순위(IF)
2021,건축공학,2402,"1. 대한국토·도시계획학회 (1.35)
2. 대한공간정보학회 (1.07)
3. 한국해안해양공학회 (0.68)
4. 한국측량학회 (0.67)
5. 대한환경공학회 (0.67)
6. 한국암반공학회 (0.65)
7. 한국자원공학회 (0.58)
8. 대한건축학회 (0.54)
9. 한국강구조학회 (0.53)
10. 한국콘크리트학회 (0.51)
11. 한국지열·수열에너지학회 (0.50)
12. 한국생태환경건축학회 (0.48)
13. 한국건축친환경설비학회 (0.46)
14. 대한토목학회 (0.44)
15. 한국지반공학회 (0.44)
16. 한국지반신소재학회 (0.42)
17. 한국가스학회 (0.33)
18. 한국건설순환자원학회 (0.23)
19. 한국지반환경공학회 (0.22)
20. 새건축사협의회 (0.00)
21. 서울대학교 환경대학원 (0.00)"
2021,공학 일반,1128,"1. 한국산학기술학회 (1.00)
2. 한국산업정보학회 (0.93)
3. 한국센서학회 (0.15)"
2021,기계공학,2635,"1. 대한용접·접합학회 (0.58)
2. 한국수소및신에너지학회 (0.56)
3. 한국자동차공학회 (0.54)
4. 한국유체기계학회 (0.48)
5. 한국소음진동공학회 (0.47)
6. 한국에너지기후변화학회 (0.44)
7. 한국동력기계공학회 (0.42)
8. 한국연소학회 (0.42)
9. 한국기계가공학회 (0.39)
10. 대한기계학회 (0.38)
11. 대한설비공학회 (0.37)
12. 한국트라이볼로지학회 (0.36)
13. 한국생산제조학회 (0.35)
14. 한국마린엔지니어링학회 (0.34)
15. 한국비파괴검사학회 (0.33)
16. 한국표면공학회 (0.31)
17. 항공우주시스템공학회 (0.30)
18. 한국전산유체공학회 (0.30)
19. 한국항공우주학회 (0.30)
20. 한국추진공학회 (0.27)
21. (사)한국CDE학회 (0.00)
22. Korean Society for Precision Engineering (0.00)
23. 유공압건설기계학회 (0.00)
24. 한국기계연구원 (0.00)
25. 한국자동차안전학회 (0.00)
26. 한국항공우주연구원 (0.00)
27. 한국항공협회 (0.00)
28. 한국환경에너지공학회 (0.00)"
2021,기타 공학,447,"1. 대한교통학회 (1.04)
2. 한국철도학회 (0.41)
3. 한국재활복지공학회 (0.30)
4. 한국위험물학회 (0.21)
5. 한국게임학회 (0.00)"
2021,산업공학,289,"1. 한국지능정보시스템학회 (1.15)
2. 한국SCM학회 (0.78)
3. 한국신뢰성학회 (0.49)
4. 대한인간공학회 (0.40)
5. 대한산업공학회 (0.39)"
2021,재료·에너지공학,308,"1. 한국신재생에너지학회 (0.61)
2. 한국염색가공학회 (0.50)
3. 한국태양에너지학회 (0.39)
4. 한국에너지학회 (0.37)
5. 한국소성·가공학회 (0.15)
6. 한국압력기기공학회 (0.15)
7. 한국태양광발전학회 (0.05)"
2021,전기전자공학,3697,"1. 제어로봇시스템학회 (0.89)
2. 한국멀티미디어학회 (0.64)
3. 국제인공지능학회 (0.57)
4. 한국지능시스템학회 (0.52)
5. 한국정보기술학회 (0.50)
6. 한국정보통신학회 (0.50)
7. 한국정보전자통신기술학회 (0.50)
8. 한국로봇학회 (0.48)
9. 한국도시철도학회 (0.44)
10. 한국전자파학회 (0.38)
11. 한국방송·미디어공학회 (0.35)
12. 대한전자공학회 (0.32)
13. 한국통신학회 (0.30)
14. 대한전기학회 (0.29)
15. 한국전기전자학회 (0.28)
16. 전력전자학회 (0.27)
17. 한국조명·전기설비학회 (0.18)
18. 한국가시화정보학회 (0.16)
19. 한국로봇학회(논문지) (0.00)
20. 한국전자파학회JEES (0.00)
21. 한국전지학회 (0.00)
22. 한국정보통신학회JICCE (0.00)
23. 한국콘텐츠학회(IJOC) (0.00)"
2021,조선해양공학,208,"1. 한국해양공학회 (0.53)
2. 대한조선학회 (0.48)
3. 한국해양환경·에너지학회 (0.00)"
2021,컴퓨터학,1327,"1. 한국디지털콘텐츠학회 (1.37)
2. 한국전자거래학회 (1.36)
3. 한국디지털포렌식학회 (0.81)
4. 한국컴퓨터정보학회 (0.62)
5. 한국정보보호학회 (0.49)
6. 조선대학교 IT연구소 (0.07)
7. ICT플랫폼학회 (0.00)
8. Korean Institute of Information Scientists and Engineers (0.00)
9. 한국컴퓨터그래픽스학회 (0.00)"
2021,화학공학,333,"1. 한국생물공학회 (0.59)
2. 한국청정기술학회 (0.39)
3. 한국고분자학회 (0.36)"
2022,건축공학,2333,"1. 대한국토·도시계획학회 (1.27)
2. 대한공간정보학회 (0.89)
3. 한국자원공학회 (0.87)
4. 한국암반공학회 (0.65)
5. 대한건축학회 (0.65)
6. 한국측량학회 (0.64)
7. 한국해안해양공학회 (0.63)
8. 대한환경공학회 (0.62)
9. 한국생태환경건축학회 (0.57)
10. 대한토목학회 (0.55)
11. 한국지반공학회 (0.55)
12. 한국강구조학회 (0.51)
13. 한국건축친환경설비학회 (0.44)
14. 한국건설순환자원학회 (0.44)
15. 한국콘크리트학회 (0.43)
16. 한국지열·수열에너지학회 (0.42)
17. 한국지반환경공학회 (0.39)
18. 한국가스학회 (0.35)
19. 한국지반신소재학회 (0.26)
20. 새건축사협의회 (0.00)
21. 서울대학교 환경대학원 (0.00)"
