Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Final_Score,Raw_Trend_Score,Paper_List_Details
1,2021,재료·에너지공학,1271161,박년배,2,0.0661,0.17857,"한국에너지학회 (NODE10580166, IF: 0.37)
한국에너지학회 (NODE10580167, IF: 0.37)"
2,2021,재료·에너지공학,828608682,심지현,1,0.0424,0.08482100000000001,"한국염색가공학회 (NODE11023898, IF: 0.5)"
3,2021,재료·에너지공학,766333551,이종혁,1,0.0424,0.08482100000000001,"한국염색가공학회 (NODE11023898, IF: 0.5)"
4,2021,재료·에너지공학,458265575,유성훈,1,0.0424,0.08482100000000001,"한국염색가공학회 (NODE11023898, IF: 0.5)"
5,2021,재료·에너지공학,381195338,권기환,1,0.0424,0.08482100000000001,"한국염색가공학회 (NODE11023898, IF: 0.5)"
6,2021,재료·에너지공학,757617731,배진석,1,0.0424,0.08482100000000001,"한국염색가공학회 (NODE11023898, IF: 0.5)"
7,2021,재료·에너지공학,807622311,장진호,2,0.0357,0.071431,"한국염색가공학회 (NODE10577086, IF: 0.5)
한국염색가공학회 (NODE11023900, IF: 0.5)"
8,2021,재료·에너지공학,387737018,황도현,1,0.0264,0.071428,"한국에너지학회 (NODE10580171, IF: 0.37)"
9,2021,재료·에너지공학,106327498,박은덕,2,0.0248,0.066964,"한국에너지학회 (NODE10580164, IF: 0.37)
한국에너지학회 (NODE10894667, IF: 0.37)"
10,2021,재료·에너지공학,937657214,이호진,1,0.0248,0.066964,"한국에너지학회 (NODE10580164, IF: 0.37)"
11,2021,재료·에너지공학,966369693,김정환,1,0.0201,0.04018,"한국염색가공학회 (NODE10577086, IF: 0.5)"
12,2021,재료·에너지공학,2104543,진태영,1,0.0198,0.053571,"한국에너지학회 (NODE10664180, IF: 0.37)"
13,2021,재료·에너지공학,605752093,김동규,1,0.0182,0.049107000000000005,"한국에너지학회 (NODE10664188, IF: 0.37)"
14,2021,재료·에너지공학,147869975,장석원,1,0.0182,0.049107000000000005,"한국에너지학회 (NODE10664188, IF: 0.37)"
15,2021,재료·에너지공학,544963962,최지은,1,0.0182,0.049107000000000005,"한국에너지학회 (NODE10664188, IF: 0.37)"
16,2021,재료·에너지공학,351521522,이은정,1,0.0182,0.049107000000000005,"한국에너지학회 (NODE10664188, IF: 0.37)"
17,2021,재료·에너지공학,563920244,백지윤,1,0.0156,0.031251,"한국염색가공학회 (NODE11023900, IF: 0.5)"
18,2021,재료·에너지공학,464111255,이준희,1,0.0156,0.03125,"한국염색가공학회 (NODE11023911, IF: 0.5)"
19,2021,재료·에너지공학,886529497,이광우,1,0.0156,0.03125,"한국염색가공학회 (NODE11023911, IF: 0.5)"
20,2021,재료·에너지공학,199721389,김영석,6,0.0141,0.093752,"한국소성·가공학회 (NODE10561058, IF: 0.15)
한국소성·가공학회 (NODE10525671, IF: 0.15)
한국소성·가공학회 (NODE10672628, IF: 0.15)
한국소성·가공학회 (NODE10672631, IF: 0.15)
한국소성·가공학회 (NODE10611986, IF: 0.15)
한국소성·가공학회 (NODE10586491, IF: 0.15)"
21,2021,재료·에너지공학,999176229,박영미,4,0.0134,0.026787,"한국염색가공학회 (NODE10613312, IF: 0.5)
한국염색가공학회 (NODE10544376, IF: 0.5)
한국염색가공학회 (NODE10577090, IF: 0.5)
한국염색가공학회 (NODE11023899, IF: 0.5)"
22,2021,재료·에너지공학,335874351,조흥렬,1,0.0132,0.035714,"한국에너지학회 (NODE10580172, IF: 0.37)"
23,2021,재료·에너지공학,459423064,김영희,1,0.0132,0.035714,"한국에너지학회 (NODE10580172, IF: 0.37)"
24,2021,재료·에너지공학,672125249,오명환,2,0.0121,0.080357,"한국소성·가공학회 (NODE10561057, IF: 0.15)
한국소성·가공학회 (NODE10561059, IF: 0.15)"
25,2021,재료·에너지공학,472448058,Eun-Chel Cho,6,0.0116,0.031251,"한국태양광발전학회 (NODE10606975, IF: 0.05)
한국신재생에너지학회 (NODE10566979, IF: 0.61)
한국신재생에너지학회 (NODE10566979, IF: 0.61)
한국신재생에너지학회 (NODE10540550, IF: 0.61)
한국신재생에너지학회 (NODE10540550, IF: 0.61)
한국태양광발전학회 (NODE10571493, IF: 0.05)"
26,2021,재료·에너지공학,400997180,이상오,3,0.0112,0.022322,"한국염색가공학회 (NODE10577088, IF: 0.5)
한국염색가공학회 (NODE11023901, IF: 0.5)
한국염색가공학회 (NODE11023905, IF: 0.5)"
27,2021,재료·에너지공학,521370940,이재웅,3,0.0112,0.022322,"한국염색가공학회 (NODE10577088, IF: 0.5)
한국염색가공학회 (NODE11023901, IF: 0.5)
한국염색가공학회 (NODE11023905, IF: 0.5)"
