Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Final_Score,Raw_Trend_Score,Paper_List_Details
1,2021,화학공학,921662018,이종집,3,0.121,0.31020600000000004,"[입상 활성탄에 대한 Acid Fuchsin의 흡착특성과 열역학 파라미터]
   └ 학회: 한국청정기술학회 (IF: 0.39)
--------------------------------
[활성탄에 의한 Disperse Yellow 3 염료의 흡착에 있어서 평형, 동력학 및 열역학적 특성]
   └ 학회: 한국청정기술학회 (IF: 0.39)
--------------------------------
[석탄계 활성탄에 의한 Acid Black 1 염료의 흡착에 있어서 평형, 동력학, 및 열역학적 특성]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
2,2021,화학공학,410924858,김승영,5,0.1084,0.183676,"[Biorenovation 공법을 활용한 광나무 추출물의 미백 효과]
   └ 학회: 한국생물공학회 (IF: 0.59)
--------------------------------
[Biorenovation 생물 전환 기법을 적용한 유채 추출물이 B16F10 흑색종 세포의 Melanin과 Tyrosinase 활성에 미치는 영향]
   └ 학회: 한국생물공학회 (IF: 0.59)
--------------------------------
[B16F10 흑색종 세포에 대한 Biorenovation 기법을 이용한 파리풀 캘러스 추출물의 Melanin 생성 억제 효과]
   └ 학회: 한국생물공학회 (IF: 0.59)
--------------------------------
[Biorenovation 생물전환 기법을 이용한 비트 추출물의 LPS로 유도된 RAW 264.7 세포에 대한 항염증 효과]
   └ 학회: 한국생물공학회 (IF: 0.59)
--------------------------------
[Biorenovation 생물전환 기법을 이용한 브로콜리 추출물의 B16F10 melanoma 세포에 대한 미백효과]
   └ 학회: 한국생물공학회 (IF: 0.59)"
3,2021,화학공학,287400947,김민,2,0.097,0.269388,"[[특집에 부쳐] 고분자 자기조립 및 계면 제어 기술]
   └ 학회: 한국고분자학회 (IF: 0.36)
--------------------------------
[고분자/페로브스카이트 하이브리드 나노결정 합성 및 응용 기술 동향]
   └ 학회: 한국고분자학회 (IF: 0.36)"
4,2021,화학공학,419555433,구강희,2,0.097,0.269388,"[[특집에 부쳐] 고분자 자기조립 및 계면 제어 기술]
   └ 학회: 한국고분자학회 (IF: 0.36)
--------------------------------
[에멀젼 내 블록 공중합체 자기조립 기반 고분자 입자 제조기술]
   └ 학회: 한국고분자학회 (IF: 0.36)"
5,2021,화학공학,123157317,박태진,4,0.0771,0.130614,"[Biorenovation 공법을 활용한 광나무 추출물의 미백 효과]
   └ 학회: 한국생물공학회 (IF: 0.59)
--------------------------------
[Biorenovation 생물 전환 기법을 적용한 유채 추출물이 B16F10 흑색종 세포의 Melanin과 Tyrosinase 활성에 미치는 영향]
   └ 학회: 한국생물공학회 (IF: 0.59)
--------------------------------
[B16F10 흑색종 세포에 대한 Biorenovation 기법을 이용한 파리풀 캘러스 추출물의 Melanin 생성 억제 효과]
   └ 학회: 한국생물공학회 (IF: 0.59)
--------------------------------
[Biorenovation 생물전환 기법을 이용한 비트 추출물의 LPS로 유도된 RAW 264.7 세포에 대한 항염증 효과]
   └ 학회: 한국생물공학회 (IF: 0.59)"
6,2021,화학공학,778242517,이경미,3,0.0674,0.114287,"[Biorenovation 공법을 활용한 광나무 추출물의 미백 효과]
   └ 학회: 한국생물공학회 (IF: 0.59)
--------------------------------
[B16F10 흑색종 세포에 대한 Biorenovation 기법을 이용한 파리풀 캘러스 추출물의 Melanin 생성 억제 효과]
   └ 학회: 한국생물공학회 (IF: 0.59)
--------------------------------
[Biorenovation 생물전환 기법을 이용한 브로콜리 추출물의 B16F10 melanoma 세포에 대한 미백효과]
   └ 학회: 한국생물공학회 (IF: 0.59)"
7,2021,화학공학,922333352,김정환,2,0.0626,0.106124,"[Biorenovation 생물 전환 기법을 적용한 유채 추출물이 B16F10 흑색종 세포의 Melanin과 Tyrosinase 활성에 미치는 영향]
   └ 학회: 한국생물공학회 (IF: 0.59)
--------------------------------
[Biorenovation 생물전환 기법을 이용한 브로콜리 추출물의 B16F10 melanoma 세포에 대한 미백효과]
   └ 학회: 한국생물공학회 (IF: 0.59)"
8,2021,화학공학,289562322,오형석,1,0.0485,0.134694,"[에멀젼 내 블록 공중합체 자기조립 기반 고분자 입자 제조기술]
   └ 학회: 한국고분자학회 (IF: 0.36)"
9,2021,화학공학,895015063,이주영,1,0.0485,0.134694,"[에멀젼 내 블록 공중합체 자기조립 기반 고분자 입자 제조기술]
   └ 학회: 한국고분자학회 (IF: 0.36)"
10,2021,화학공학,309369266,유인상,1,0.0485,0.134694,"[고분자 전해질 기반 전자 피부]
   └ 학회: 한국고분자학회 (IF: 0.36)"
11,2021,화학공학,324167266,정운룡,1,0.0485,0.134694,"[고분자 전해질 기반 전자 피부]
   └ 학회: 한국고분자학회 (IF: 0.36)"
12,2021,화학공학,554618389,김범준,1,0.0485,0.134694,"[[산학연 연구실 소개] 한국과학기술원 생명화학공학과 고분자 나노 전자재료 연구실]
   └ 학회: 한국고분자학회 (IF: 0.36)"
13,2021,화학공학,582098920,손창윤,1,0.0485,0.134694,"[분자동역학 시뮬레이션을 통한 고분자 전해질 연구]
   └ 학회: 한국고분자학회 (IF: 0.36)"
14,2021,화학공학,609737593,박수진,1,0.0485,0.134694,"[[산학연 연구실 소개] 포항공과대학교 화학과 고분자 기반 에너지 소재 연구실]
   └ 학회: 한국고분자학회 (IF: 0.36)"
15,2021,화학공학,152869477,강민성,2,0.0409,0.069389,"[Biorenovation 공법을 활용한 광나무 추출물의 미백 효과]
   └ 학회: 한국생물공학회 (IF: 0.59)
--------------------------------
[Biorenovation 생물전환 기법을 이용한 비트 추출물의 LPS로 유도된 RAW 264.7 세포에 대한 항염증 효과]
   └ 학회: 한국생물공학회 (IF: 0.59)"
16,2021,화학공학,742853740,홍혜현,2,0.0409,0.069389,"[Biorenovation 공법을 활용한 광나무 추출물의 미백 효과]
   └ 학회: 한국생물공학회 (IF: 0.59)
--------------------------------
[Biorenovation 생물전환 기법을 이용한 비트 추출물의 LPS로 유도된 RAW 264.7 세포에 대한 항염증 효과]
   └ 학회: 한국생물공학회 (IF: 0.59)"
17,2021,화학공학,789189487,심지한,1,0.0313,0.053062000000000005,"[Biorenovation 공법을 활용한 광나무 추출물의 미백 효과]
   └ 학회: 한국생물공학회 (IF: 0.59)"
18,2021,화학공학,909571332,최병민,1,0.0313,0.053062,"[Biorenovation 생물 전환 기법을 적용한 유채 추출물이 B16F10 흑색종 세포의 Melanin과 Tyrosinase 활성에 미치는 영향]
   └ 학회: 한국생물공학회 (IF: 0.59)"
19,2021,화학공학,160251572,강경환,1,0.0313,0.053062000000000005,"[Biorenovation 생물전환 기법을 이용한 브로콜리 추출물의 B16F10 melanoma 세포에 대한 미백효과]
   └ 학회: 한국생물공학회 (IF: 0.59)"
20,2021,화학공학,888512626,황준호,1,0.0313,0.053062000000000005,"[Biorenovation 생물전환 기법을 이용한 브로콜리 추출물의 B16F10 melanoma 세포에 대한 미백효과]
   └ 학회: 한국생물공학회 (IF: 0.59)"
21,2021,화학공학,918425595,김영호,2,0.0207,0.053062000000000005,"[나노셀룰로오스-LDPE 복합체의 제조에 있어서 상용성에 대한 연구]
   └ 학회: 한국청정기술학회 (IF: 0.39)
--------------------------------
[흑연 종류에 따른 산화 그래핀의 제조 및 정제를 통한 특성연구]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
22,2021,화학공학,710634206,정민기,1,0.0191,0.048978999999999995,"[바이오가스 열병합 발전에서 발생하는 NOx 제거를 위한 텅스텐 함량에 따른 NH₃-SCR 바나듐계 촉매 연구]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
23,2021,화학공학,704101764,홍성창,1,0.0191,0.048978999999999995,"[바이오가스 열병합 발전에서 발생하는 NOx 제거를 위한 텅스텐 함량에 따른 NH₃-SCR 바나듐계 촉매 연구]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
24,2021,화학공학,459423064,김영희,2,0.0159,0.040816,"[도금폐수 중 시안(CN)의 선택적 제거를 위한 Ferrate (VI) 적용]
   └ 학회: 한국청정기술학회 (IF: 0.39)
--------------------------------
[고형연료제품 사용시설에서의 SNCR의 운전조건에 따른 NOx 배출특성]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
25,2021,화학공학,437095505,조은형,1,0.0159,0.040817000000000006,"[나노셀룰로오스-LDPE 복합체의 제조에 있어서 상용성에 대한 연구]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
26,2021,화학공학,153906988,서제우,1,0.0159,0.040816,"[고형연료제품 사용시설에서의 SNCR의 운전조건에 따른 NOx 배출특성]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
27,2021,화학공학,310988831,최수형,1,0.0127,0.032654,"[바이오에너지의 탄소부채 최소화를 위한 수학적 계획법]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
28,2021,화학공학,403014484,최문섭,2,0.0096,0.016326,"[산업폐수로부터 분리한 1,4-Dioxane을 분해할 수 있는 새로운 세균인 Shinella granuli CK-4의 특성]
   └ 학회: 한국생물공학회 (IF: 0.59)
--------------------------------
[벤치규모 생물반응기에서 Shinella granuli CK-4에 의한 1,4-Dioxane의 생분해에 영향을 미치는 물리화학적 요인]
   └ 학회: 한국생물공학회 (IF: 0.59)"
29,2021,화학공학,157704541,오계헌,2,0.0096,0.016326,"[산업폐수로부터 분리한 1,4-Dioxane을 분해할 수 있는 새로운 세균인 Shinella granuli CK-4의 특성]
   └ 학회: 한국생물공학회 (IF: 0.59)
--------------------------------
[벤치규모 생물반응기에서 Shinella granuli CK-4에 의한 1,4-Dioxane의 생분해에 영향을 미치는 물리화학적 요인]
   └ 학회: 한국생물공학회 (IF: 0.59)"
30,2021,화학공학,840764462,임광석,2,0.0096,0.016326,"[항체-약물 접합체의 개발 및 최신 동향]
   └ 학회: 한국생물공학회 (IF: 0.59)
--------------------------------
[항암제 개발: 토포아이소머라제, HSP90, mTOR 및 티로신키나제 억제제]
   └ 학회: 한국생물공학회 (IF: 0.59)"
31,2021,화학공학,155594522,김인혜,1,0.0096,0.016327,"[대왕버섯 (Pleurotus nebrodensis) 추출물의 미백 및 주름 개선 효과]
   └ 학회: 한국생물공학회 (IF: 0.59)"
32,2021,화학공학,930752201,이재화,1,0.0096,0.016327,"[대왕버섯 (Pleurotus nebrodensis) 추출물의 미백 및 주름 개선 효과]
   └ 학회: 한국생물공학회 (IF: 0.59)"
33,2021,화학공학,185581980,Byungduk Kim,1,0.0088,0.024489,"[PEGylated Hybrid Hydrogels with Tunable Swelling Property and Biodegradability]
   └ 학회: 한국고분자학회 (IF: 0.36)"
34,2021,화학공학,224854550,Jinku Kim,1,0.0088,0.024489,"[PEGylated Hybrid Hydrogels with Tunable Swelling Property and Biodegradability]
   └ 학회: 한국고분자학회 (IF: 0.36)"
35,2021,화학공학,217901353,이상묵,1,0.0088,0.024489,"[나노충전제의 종류에 따른 옥외용 에폭시 나노복합체의 경화속도론 및 화학유변학]
   └ 학회: 한국고분자학회 (IF: 0.36)"
36,2021,화학공학,299231220,송동훈,1,0.008,0.020408,"[마이크로버블과 환원제를 이용한 습식 NO 및 SO₂의 동시제거]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
37,2021,화학공학,474328861,강조홍,1,0.008,0.020408,"[마이크로버블과 환원제를 이용한 습식 NO 및 SO₂의 동시제거]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
38,2021,화학공학,901703116,박현식,1,0.008,0.020408,"[마이크로버블과 환원제를 이용한 습식 NO 및 SO₂의 동시제거]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
39,2021,화학공학,158049358,송호준,1,0.008,0.020408,"[마이크로버블과 환원제를 이용한 습식 NO 및 SO₂의 동시제거]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
40,2021,화학공학,178487677,정용철,1,0.008,0.020408,"[마이크로버블과 환원제를 이용한 습식 NO 및 SO₂의 동시제거]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
41,2021,화학공학,485634862,최현준,2,0.0059,0.016326,"[저분자량 폴리올 혼합에 따른 폴리우레탄 폼의 흡음특성]
   └ 학회: 한국고분자학회 (IF: 0.36)
--------------------------------
[표면처리 실리카 나노입자를 포함하는 폴리우레탄 폼의 안락 특성]
   └ 학회: 한국고분자학회 (IF: 0.36)"
42,2021,화학공학,844466196,김정현,2,0.0059,0.016326,"[저분자량 폴리올 혼합에 따른 폴리우레탄 폼의 흡음특성]
   └ 학회: 한국고분자학회 (IF: 0.36)
--------------------------------
[표면처리 실리카 나노입자를 포함하는 폴리우레탄 폼의 안락 특성]
   └ 학회: 한국고분자학회 (IF: 0.36)"
43,2021,화학공학,788637411,Habil Uzun,1,0.0059,0.016326,"[Facile and Fast Photo-Polymerization of N-Vinyl Caprolactam via UV-C Irradiation]
   └ 학회: 한국고분자학회 (IF: 0.36)"
44,2021,화학공학,124065106,Ahmet Güngör,1,0.0059,0.016326,"[Facile and Fast Photo-Polymerization of N-Vinyl Caprolactam via UV-C Irradiation]
   └ 학회: 한국고분자학회 (IF: 0.36)"
45,2021,화학공학,615297528,İsmail Kutlugün Akbay,1,0.0059,0.016326,"[Facile and Fast Photo-Polymerization of N-Vinyl Caprolactam via UV-C Irradiation]
   └ 학회: 한국고분자학회 (IF: 0.36)"
46,2021,화학공학,199935316,Tonguç Özdemir,1,0.0059,0.016326,"[Facile and Fast Photo-Polymerization of N-Vinyl Caprolactam via UV-C Irradiation]
   └ 학회: 한국고분자학회 (IF: 0.36)"
47,2021,화학공학,940763506,Ming Yuan,1,0.0059,0.016326,"[Polymerization of Vinyl Acetate Initiated by Hydrosilane in the Presence of Platinum Complex]
   └ 학회: 한국고분자학회 (IF: 0.36)"
48,2021,화학공학,119331777,Wenxian Zhu,1,0.0059,0.016326,"[Polymerization of Vinyl Acetate Initiated by Hydrosilane in the Presence of Platinum Complex]
   └ 학회: 한국고분자학회 (IF: 0.36)"
49,2021,화학공학,250965211,Jiaxing Lv,1,0.0059,0.016326,"[Polymerization of Vinyl Acetate Initiated by Hydrosilane in the Presence of Platinum Complex]
   └ 학회: 한국고분자학회 (IF: 0.36)"
50,2021,화학공학,725297437,Panpan Zhang,1,0.0059,0.016326,"[Polymerization of Vinyl Acetate Initiated by Hydrosilane in the Presence of Platinum Complex]
   └ 학회: 한국고분자학회 (IF: 0.36)"
51,2021,화학공학,208822391,Huadong Tang,1,0.0059,0.016326,"[Polymerization of Vinyl Acetate Initiated by Hydrosilane in the Presence of Platinum Complex]
   └ 학회: 한국고분자학회 (IF: 0.36)"
52,2021,화학공학,834712064,하석진,2,0.0048,0.008163,"[항체-약물 접합체의 개발 및 최신 동향]
   └ 학회: 한국생물공학회 (IF: 0.59)
--------------------------------
[누룩으로부터 다양한 곰팡이의 선별과 전분 분해 활성을 이용한 동시당화발효]
   └ 학회: 한국생물공학회 (IF: 0.59)"
53,2021,화학공학,238818139,지은이,1,0.0048,0.008163,"[B16F10 흑색종 세포에 대한 Biorenovation 기법을 이용한 파리풀 캘러스 추출물의 Melanin 생성 억제 효과]
   └ 학회: 한국생물공학회 (IF: 0.59)"
54,2021,화학공학,311962925,김석원,1,0.0048,0.008163,"[B16F10 흑색종 세포에 대한 Biorenovation 기법을 이용한 파리풀 캘러스 추출물의 Melanin 생성 억제 효과]
   └ 학회: 한국생물공학회 (IF: 0.59)"
55,2021,화학공학,439679283,한동환,1,0.0048,0.008163,"[B16F10 흑색종 세포에 대한 Biorenovation 기법을 이용한 파리풀 캘러스 추출물의 Melanin 생성 억제 효과]
   └ 학회: 한국생물공학회 (IF: 0.59)"
56,2021,화학공학,471314902,최기승,1,0.0048,0.008163,"[산업폐수로부터 분리한 1,4-Dioxane을 분해할 수 있는 새로운 세균인 Shinella granuli CK-4의 특성]
   └ 학회: 한국생물공학회 (IF: 0.59)"
57,2021,화학공학,764333918,홍유동,1,0.0048,0.008163,"[항체-약물 접합체의 개발 및 최신 동향]
   └ 학회: 한국생물공학회 (IF: 0.59)"
58,2021,화학공학,303532139,강경곤,1,0.0048,0.008163,"[항체-약물 접합체의 개발 및 최신 동향]
   └ 학회: 한국생물공학회 (IF: 0.59)"
59,2021,화학공학,701550922,정재윤,1,0.0048,0.008163,"[항체-약물 접합체의 개발 및 최신 동향]
   └ 학회: 한국생물공학회 (IF: 0.59)"
60,2021,화학공학,743847263,최경철,1,0.0048,0.008163,"[항암제 개발: 토포아이소머라제, HSP90, mTOR 및 티로신키나제 억제제]
   └ 학회: 한국생물공학회 (IF: 0.59)"
61,2021,화학공학,465945954,이성호,1,0.0048,0.008163,"[항암제 개발: 토포아이소머라제, HSP90, mTOR 및 티로신키나제 억제제]
   └ 학회: 한국생물공학회 (IF: 0.59)"
62,2021,화학공학,107724861,권미지,1,0.0048,0.008163,"[항암제 개발: 토포아이소머라제, HSP90, mTOR 및 티로신키나제 억제제]
   └ 학회: 한국생물공학회 (IF: 0.59)"
63,2021,화학공학,281191099,홍세영,1,0.0048,0.008163,"[항암제 개발: 토포아이소머라제, HSP90, mTOR 및 티로신키나제 억제제]
   └ 학회: 한국생물공학회 (IF: 0.59)"
64,2021,화학공학,468853606,박희호,1,0.0048,0.008163,"[항암제 개발: 토포아이소머라제, HSP90, mTOR 및 티로신키나제 억제제]
   └ 학회: 한국생물공학회 (IF: 0.59)"
65,2021,화학공학,451112723,최기승,1,0.0048,0.008163,"[벤치규모 생물반응기에서 Shinella granuli CK-4에 의한 1,4-Dioxane의 생분해에 영향을 미치는 물리화학적 요인]
   └ 학회: 한국생물공학회 (IF: 0.59)"
66,2021,화학공학,197004712,정겸,1,0.0048,0.012245,"[흑연 종류에 따른 산화 그래핀의 제조 및 정제를 통한 특성연구]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
67,2021,화학공학,971518939,현유진,1,0.0044,0.012245,"[분해 가속화 조건의 해수 환경에서 Polybutylene Succinate 섬유의 분해거동]
   └ 학회: 한국고분자학회 (IF: 0.36)"
68,2021,화학공학,722972577,박수봉,1,0.0044,0.012245,"[분해 가속화 조건의 해수 환경에서 Polybutylene Succinate 섬유의 분해거동]
   └ 학회: 한국고분자학회 (IF: 0.36)"
69,2021,화학공학,871986826,곽효원,1,0.0044,0.012245,"[분해 가속화 조건의 해수 환경에서 Polybutylene Succinate 섬유의 분해거동]
   └ 학회: 한국고분자학회 (IF: 0.36)"
70,2021,화학공학,196026818,진형준,1,0.0044,0.012245,"[분해 가속화 조건의 해수 환경에서 Polybutylene Succinate 섬유의 분해거동]
   └ 학회: 한국고분자학회 (IF: 0.36)"
71,2021,화학공학,966374170,전종기,3,0.0032,0.008163,"[질소 정제 시스템의 산소 제거용 구리계 촉매 연구]
   └ 학회: 한국청정기술학회 (IF: 0.39)
--------------------------------
[폐 이차전지 리사이클링을 위한 건식공정 생성물 분석]
   └ 학회: 한국청정기술학회 (IF: 0.39)
--------------------------------
[네팔산 자트로파 오일로부터 바이오디젤 제조를 위한 불균일계 촉매 Scale-up 연구]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
72,2021,화학공학,855238684,최창호,2,0.0032,0.008163,"[Transparent Black Phosphorus Nanosheet Film for Photoelectrochemical Water Oxidation]
   └ 학회: 한국청정기술학회 (IF: 0.39)
--------------------------------
[광촉매 성능 강화를 위한 미세유체공정 기반 Ag-ZnO 나노복합체 합성]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
73,2021,화학공학,433629648,한광수,1,0.0032,0.008163,"[고무증량재 및 플라스틱 충진재의 대체재로 UC와 CM의 재활용]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
74,2021,화학공학,329010915,김둘선,1,0.0032,0.008163,"[고무증량재 및 플라스틱 충진재의 대체재로 UC와 CM의 재활용]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
75,2021,화학공학,814264612,이동근,1,0.0032,0.008163,"[고무증량재 및 플라스틱 충진재의 대체재로 UC와 CM의 재활용]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
76,2021,화학공학,4603813,김현지,1,0.0032,0.008163,"[혈청 알부민 나노입자를 이용한 항생제 흡착]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
77,2021,화학공학,500390891,임성인,1,0.0032,0.008163,"[혈청 알부민 나노입자를 이용한 항생제 흡착]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
78,2021,화학공학,981112475,고현주,1,0.0032,0.008163,"[효율적인 광전기화학적 태양에너지 전환과 저장을 위한 Solar Water Battery의 최적화]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
79,2021,화학공학,393625966,박이슬,1,0.0032,0.008163,"[효율적인 광전기화학적 태양에너지 전환과 저장을 위한 Solar Water Battery의 최적화]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
80,2021,화학공학,118287860,심민석,1,0.0032,0.008163,"[네팔산 자트로파 오일로부터 바이오디젤 제조를 위한 불균일계 촉매 Scale-up 연구]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
81,2021,화학공학,610169535,이승희,1,0.0032,0.008163,"[네팔산 자트로파 오일로부터 바이오디젤 제조를 위한 불균일계 촉매 Scale-up 연구]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
82,2021,화학공학,946359509,김영빈,1,0.0032,0.008163,"[네팔산 자트로파 오일로부터 바이오디젤 제조를 위한 불균일계 촉매 Scale-up 연구]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
83,2021,화학공학,303419552,구희지,1,0.0032,0.008163,"[네팔산 자트로파 오일로부터 바이오디젤 제조를 위한 불균일계 촉매 Scale-up 연구]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
84,2021,화학공학,854735472,우재규,1,0.0032,0.008163,"[네팔산 자트로파 오일로부터 바이오디젤 제조를 위한 불균일계 촉매 Scale-up 연구]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
85,2021,화학공학,610413711,Rajendra Joshi,1,0.0032,0.008163,"[네팔산 자트로파 오일로부터 바이오디젤 제조를 위한 불균일계 촉매 Scale-up 연구]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
86,2021,화학공학,352729570,전준영,1,0.0032,0.008163,"[메틸렌 블루 흡착능 향상을 위한 할로이사이트 기반 튜브형 담체 연구]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
87,2021,화학공학,691734702,조예빈,1,0.0032,0.008163,"[메틸렌 블루 흡착능 향상을 위한 할로이사이트 기반 튜브형 담체 연구]
   └ 학회: 한국청정기술학회 (IF: 0.39)"
