Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Final_Score,Raw_Trend_Score,Paper_List_Details
1,2022,기계공학,1137898,신현장,2,0.0821,0.221988,"한국생산제조학회 (NODE11076355, IF: 0.37)
한국생산제조학회 (NODE11147158, IF: 0.37)"
2,2022,기계공학,483493347,오민재,3,0.0783,0.068711,"(사)한국CDE학회 (NODE11166836, IF: 1.14)
(사)한국CDE학회 (NODE11166846, IF: 1.14)
(사)한국CDE학회 (NODE11068485, IF: 1.14)"
3,2022,기계공학,734389733,구남국,4,0.0699,0.061311000000000004,"(사)한국CDE학회 (NODE11038914, IF: 1.14)
(사)한국CDE학회 (NODE11121449, IF: 1.14)
(사)한국CDE학회 (NODE11166827, IF: 1.14)
대한용접·접합학회 (NODE11151138, IF: 0.65)"
4,2022,기계공학,100196578,함승호,2,0.0639,0.056026000000000006,"(사)한국CDE학회 (NODE11038914, IF: 1.14)
(사)한국CDE학회 (NODE11121449, IF: 1.14)"
5,2022,기계공학,747091714,이찬,4,0.0613,0.155392,"한국유체기계학회 (NODE11124042, IF: 0.38)
한국유체기계학회 (NODE11139669, IF: 0.38)
한국에너지기후변화학회 (NODE11184004, IF: 0.69)
한국유체기계학회 (NODE11073582, IF: 0.38)"
6,2022,기계공학,488852589,마정목,3,0.059,0.051796999999999996,"(사)한국CDE학회 (NODE11068482, IF: 1.14)
(사)한국CDE학회 (NODE11068484, IF: 1.14)
(사)한국CDE학회 (NODE11068487, IF: 1.14)"
7,2022,기계공학,660113333,오상진,1,0.059,0.051796999999999996,"(사)한국CDE학회 (NODE11121448, IF: 1.14)"
8,2022,기계공학,662869265,최혜빈,1,0.059,0.051796999999999996,"(사)한국CDE학회 (NODE11121448, IF: 1.14)"
9,2022,기계공학,475206127,유상우,1,0.059,0.051796999999999996,"(사)한국CDE학회 (NODE11121448, IF: 1.14)"
10,2022,기계공학,720289351,이현식,1,0.059,0.051796999999999996,"(사)한국CDE학회 (NODE11121448, IF: 1.14)"
11,2022,기계공학,382240,양상호,3,0.0562,0.147992,"한국유체기계학회 (NODE11124042, IF: 0.38)
한국유체기계학회 (NODE11139669, IF: 0.38)
한국유체기계학회 (NODE11073582, IF: 0.38)"
12,2022,기계공학,182538699,Eui Jong Noh,1,0.0562,0.147992,"한국유체기계학회 (NODE11139669, IF: 0.38)"
13,2022,기계공학,452968831,Seung Wook Kim,1,0.0562,0.147992,"한국유체기계학회 (NODE11139669, IF: 0.38)"
14,2022,기계공학,338417743,이연원,2,0.0511,0.221988,"한국마린엔지니어링학회 (NODE11124902, IF: 0.08)
한국동력기계공학회 (NODE11184387, IF: 0.38)"
15,2022,기계공학,570180806,박수형,1,0.0506,0.044397,"(사)한국CDE학회 (NODE11038921, IF: 1.14)"
16,2022,기계공학,899647761,정해권,1,0.0506,0.044397,"(사)한국CDE학회 (NODE11038921, IF: 1.14)"
17,2022,기계공학,998474148,박영희,1,0.0506,0.044397,"(사)한국CDE학회 (NODE11038921, IF: 1.14)"
18,2022,기계공학,960668295,김남훈,1,0.0506,0.044397,"(사)한국CDE학회 (NODE11038921, IF: 1.14)"
19,2022,기계공학,481814669,김준성,1,0.0506,0.044398,"(사)한국CDE학회 (NODE11121445, IF: 1.14)"
20,2022,기계공학,729786667,박형준,1,0.0506,0.044398,"(사)한국CDE학회 (NODE11121445, IF: 1.14)"
21,2022,기계공학,228099457,서호건,5,0.0497,0.10148,"한국비파괴검사학회 (NODE11037478, IF: 0.49)
한국비파괴검사학회 (NODE11037480, IF: 0.49)
대한기계학회 (NODE11139707, IF: 0.55)
한국소음진동공학회 (NODE11034356, IF: 0.41)
한국소음진동공학회 (NODE11049116, IF: 0.41)"
22,2022,기계공학,590964792,하제민,1,0.047,0.041226,"(사)한국CDE학회 (NODE11166836, IF: 1.14)"
23,2022,기계공학,705776906,김근완,1,0.047,0.041226,"(사)한국CDE학회 (NODE11166836, IF: 1.14)"
24,2022,기계공학,584300348,이경태,1,0.047,0.041226,"(사)한국CDE학회 (NODE11166836, IF: 1.14)"
25,2022,기계공학,929327349,권영근,1,0.047,0.041226,"(사)한국CDE학회 (NODE11166836, IF: 1.14)"
26,2022,기계공학,5416831,황재민,1,0.047,0.041226,"(사)한국CDE학회 (NODE11068482, IF: 1.14)"
27,2022,기계공학,536945367,Vo Dao Nguyen,1,0.045,0.118394,"한국유체기계학회 (NODE11057305, IF: 0.38)"
28,2022,기계공학,768579311,Jun Matsui,1,0.045,0.118394,"한국유체기계학회 (NODE11057305, IF: 0.38)"
29,2022,기계공학,685682559,이호생,4,0.0422,0.110994,"한국동력기계공학회 (NODE11124218, IF: 0.38)
한국동력기계공학회 (NODE11039986, IF: 0.38)
한국동력기계공학회 (NODE11184388, IF: 0.38)
한국동력기계공학회 (NODE11184392, IF: 0.38)"
30,2022,기계공학,201291785,서종범,3,0.0422,0.110994,"한국동력기계공학회 (NODE11124213, IF: 0.38)
한국동력기계공학회 (NODE11124217, IF: 0.38)
한국동력기계공학회 (NODE11184392, IF: 0.38)"
31,2022,기계공학,946157128,김현주,3,0.0422,0.110994,"한국동력기계공학회 (NODE11124213, IF: 0.38)
한국동력기계공학회 (NODE11124218, IF: 0.38)
한국동력기계공학회 (NODE11184392, IF: 0.38)"
32,2022,기계공학,543452038,Ema Amalia,1,0.0422,0.110994,"한국유체기계학회 (NODE11139663, IF: 0.38)"
33,2022,기계공학,670359167,Hendarko,1,0.0422,0.110994,"한국유체기계학회 (NODE11139663, IF: 0.38)"
34,2022,기계공학,195850781,Muhammad N Hamzah,1,0.0422,0.110994,"한국유체기계학회 (NODE11139663, IF: 0.38)"
35,2022,기계공학,595673505,Faridl A Maulana,1,0.0422,0.110994,"한국유체기계학회 (NODE11139663, IF: 0.38)"
36,2022,기계공학,481073238,Farhan H Budisatrio,1,0.0422,0.110994,"한국유체기계학회 (NODE11139663, IF: 0.38)"
37,2022,기계공학,163377821,Muhammad Rafie,1,0.0422,0.110994,"한국유체기계학회 (NODE11139663, IF: 0.38)"
38,2022,기계공학,208372759,Mochammad A Moelyadi,1,0.0422,0.110994,"한국유체기계학회 (NODE11139663, IF: 0.38)"
39,2022,기계공학,347731616,장성호,1,0.0422,0.036998,"(사)한국CDE학회 (NODE11121449, IF: 1.14)"
40,2022,기계공학,723914,박재현,1,0.0422,0.110994,"한국동력기계공학회 (NODE11184387, IF: 0.38)"
41,2022,기계공학,913362543,최민준,2,0.0414,0.091965,"한국연소학회 (NODE11118422, IF: 0.45)
한국연소학회 (NODE11212990, IF: 0.45)"
42,2022,기계공학,976870809,구인영,2,0.0414,0.091965,"한국연소학회 (NODE11118422, IF: 0.45)
한국연소학회 (NODE11212990, IF: 0.45)"
43,2022,기계공학,295890058,신동혁,2,0.0414,0.091965,"한국연소학회 (NODE11118422, IF: 0.45)
한국연소학회 (NODE11212990, IF: 0.45)"
44,2022,기계공학,326393036,김래은,1,0.0411,0.110994,"한국생산제조학회 (NODE11076355, IF: 0.37)"
45,2022,기계공학,548349819,김재성,2,0.0398,0.034884,"(사)한국CDE학회 (NODE11166843, IF: 1.14)
(사)한국CDE학회 (NODE11068486, IF: 1.14)"
46,2022,기계공학,113665,조은성,3,0.039,0.08668000000000001,"대한기계학회 (NODE11056409, IF: 0.55)
한국연소학회 (NODE11212987, IF: 0.45)
한국연소학회 (NODE11212990, IF: 0.45)"
47,2022,기계공학,423037670,신영준,2,0.039,0.08668000000000001,"한국연소학회 (NODE11212987, IF: 0.45)
한국연소학회 (NODE11212990, IF: 0.45)"
48,2022,기계공학,866937808,김규태,4,0.0352,0.078223,"한국연소학회 (NODE11149972, IF: 0.45)
한국연소학회 (NODE11118422, IF: 0.45)
한국연소학회 (NODE11118425, IF: 0.45)
한국연소학회 (NODE11118430, IF: 0.45)"
49,2022,기계공학,633393871,이수홍,2,0.0325,0.028541,"(사)한국CDE학회 (NODE11038913, IF: 1.14)
대한기계학회 (NODE11123794, IF: 0.55)"
50,2022,기계공학,422481328,현동환,1,0.0325,0.028541,"(사)한국CDE학회 (NODE11038913, IF: 1.14)"
51,2022,기계공학,578837673,김철희,2,0.0323,0.049683,"대한용접·접합학회 (NODE11039705, IF: 0.65)
대한용접·접합학회 (NODE11186633, IF: 0.65)"
52,2022,기계공학,309936726,이승환,2,0.0323,0.049683,"대한용접·접합학회 (NODE11186633, IF: 0.65)
대한용접·접합학회 (NODE11186635, IF: 0.65)"
53,2022,기계공학,1415899,최준호,2,0.0313,0.027485,"대한기계학회 (NODE11110646, IF: 0.55)
(사)한국CDE학회 (NODE11068485, IF: 1.14)"
54,2022,기계공학,171327363,오세진,1,0.0313,0.027485,"(사)한국CDE학회 (NODE11068485, IF: 1.14)"
55,2022,기계공학,875166051,김명규,1,0.0313,0.027485,"(사)한국CDE학회 (NODE11068485, IF: 1.14)"
56,2022,기계공학,341804049,서형석,1,0.0313,0.027485,"(사)한국CDE학회 (NODE11068485, IF: 1.14)"
57,2022,기계공학,912399782,김덕기,1,0.0313,0.027485,"(사)한국CDE학회 (NODE11068485, IF: 1.14)"
58,2022,기계공학,177619392,최상수,3,0.0301,0.026428,"대한기계학회 (NODE10893852, IF: 0.55)
(사)한국CDE학회 (NODE11121447, IF: 1.14)
(사)한국CDE학회 (NODE11166839, IF: 1.14)"
59,2022,기계공학,152833217,김상일,1,0.03,0.061311,"한국비파괴검사학회 (NODE11057599, IF: 0.49)"
60,2022,기계공학,317887418,박동운,1,0.03,0.061311,"한국비파괴검사학회 (NODE11057599, IF: 0.49)"
61,2022,기계공학,252536380,김헌수,1,0.03,0.061311,"한국비파괴검사학회 (NODE11057599, IF: 0.49)"
62,2022,기계공학,375639504,김학성,1,0.03,0.061311,"한국비파괴검사학회 (NODE11057599, IF: 0.49)"
63,2022,기계공학,779874946,이재용,2,0.0277,0.024313,"(사)한국CDE학회 (NODE11038914, IF: 1.14)
(사)한국CDE학회 (NODE11166827, IF: 1.14)"
64,2022,기계공학,740476889,이학준,3,0.0274,0.073996,"한국생산제조학회 (NODE11056365, IF: 0.37)
한국생산제조학회 (NODE11175729, IF: 0.37)
한국생산제조학회 (NODE11175737, IF: 0.37)"
65,2022,기계공학,903130131,안다훈,3,0.0274,0.073996,"한국생산제조학회 (NODE11056365, IF: 0.37)
한국생산제조학회 (NODE11175729, IF: 0.37)
한국생산제조학회 (NODE11175737, IF: 0.37)"
66,2022,기계공학,465051785,최재혁,3,0.027,0.07294,"한국생산제조학회 (NODE11147156, IF: 0.37)
한국생산제조학회 (NODE11147157, IF: 0.37)
한국생산제조학회 (NODE11175736, IF: 0.37)"
67,2022,기계공학,951348012,김민규,1,0.0268,0.041226,"대한용접·접합학회 (NODE11186633, IF: 0.65)"
68,2022,기계공학,408781003,이태현,1,0.0268,0.041226,"대한용접·접합학회 (NODE11186633, IF: 0.65)"
69,2022,기계공학,607958554,감동혁,1,0.0268,0.041226,"대한용접·접합학회 (NODE11186633, IF: 0.65)"
70,2022,기계공학,344276040,고민재,1,0.025,0.06765299999999999,"한국생산제조학회 (NODE11175739, IF: 0.37)"
71,2022,기계공학,765992782,조용주,1,0.025,0.06765299999999999,"한국생산제조학회 (NODE11175739, IF: 0.37)"
72,2022,기계공학,800614577,임소영,1,0.0249,0.05074,"한국비파괴검사학회 (NODE11037480, IF: 0.49)"
73,2022,기계공학,111329284,이항로,1,0.0249,0.05074,"한국비파괴검사학회 (NODE11037480, IF: 0.49)"
74,2022,기계공학,864303578,김진섭,1,0.0249,0.05074,"한국비파괴검사학회 (NODE11037480, IF: 0.49)"
75,2022,기계공학,490842167,김영수,2,0.0229,0.020085,"(사)한국CDE학회 (NODE11038916, IF: 1.14)
(사)한국CDE학회 (NODE11166844, IF: 1.14)"
76,2022,기계공학,297953111,이경호,2,0.0229,0.020085,"(사)한국CDE학회 (NODE11038916, IF: 1.14)
(사)한국CDE학회 (NODE11166844, IF: 1.14)"
77,2022,기계공학,908744206,한영수,2,0.0229,0.020085,"(사)한국CDE학회 (NODE11038916, IF: 1.14)
(사)한국CDE학회 (NODE11166844, IF: 1.14)"
78,2022,기계공학,557494947,남병욱,1,0.0229,0.020085,"(사)한국CDE학회 (NODE11038916, IF: 1.14)"
79,2022,기계공학,360344500,안석호,1,0.0229,0.020085,"(사)한국CDE학회 (NODE11068486, IF: 1.14)"
80,2022,기계공학,455408302,김재희,1,0.0229,0.020085,"(사)한국CDE학회 (NODE11068486, IF: 1.14)"
81,2022,기계공학,574025395,권갑주,1,0.0229,0.020085,"(사)한국CDE학회 (NODE11068486, IF: 1.14)"
82,2022,기계공학,971005,김형우,1,0.0219,0.048625,"한국연소학회 (NODE11118422, IF: 0.45)"
83,2022,기계공학,833528511,진욱화,1,0.0219,0.048625,"한국연소학회 (NODE11118422, IF: 0.45)"
84,2022,기계공학,339588985,고영건,1,0.0219,0.048625,"한국연소학회 (NODE11118422, IF: 0.45)"
85,2022,기계공학,680202045,백민하,1,0.0219,0.048625,"한국연소학회 (NODE11118422, IF: 0.45)"
86,2022,기계공학,854067590,김원태,4,0.0218,0.044397,"한국비파괴검사학회 (NODE11153315, IF: 0.49)
한국비파괴검사학회 (NODE11188182, IF: 0.49)
한국비파괴검사학회 (NODE11120732, IF: 0.49)
한국비파괴검사학회 (NODE11057597, IF: 0.49)"
87,2022,기계공학,729090799,정윤재,3,0.0218,0.044397,"한국비파괴검사학회 (NODE11153315, IF: 0.49)
한국비파괴검사학회 (NODE11188182, IF: 0.49)
한국비파괴검사학회 (NODE11057597, IF: 0.49)"
88,2022,기계공학,635680451,김준영,2,0.0218,0.044397,"한국비파괴검사학회 (NODE11153315, IF: 0.49)
한국비파괴검사학회 (NODE11057597, IF: 0.49)"
89,2022,기계공학,929916806,김옥환,1,0.0218,0.044397,"한국비파괴검사학회 (NODE11153315, IF: 0.49)"
90,2022,기계공학,779987098,구자훈,2,0.0217,0.019028,"(사)한국CDE학회 (NODE11038914, IF: 1.14)
대한용접·접합학회 (NODE11151138, IF: 0.65)"
91,2022,기계공학,950674029,김종규,1,0.0217,0.019028,"(사)한국CDE학회 (NODE11038914, IF: 1.14)"
92,2022,기계공학,577887600,오지현,1,0.0217,0.019028,"(사)한국CDE학회 (NODE11038914, IF: 1.14)"
93,2022,기계공학,349013439,조재혁,1,0.0217,0.019028,"(사)한국CDE학회 (NODE11038914, IF: 1.14)"
94,2022,기계공학,721498040,정현도,1,0.0217,0.019028,"(사)한국CDE학회 (NODE11038914, IF: 1.14)"
95,2022,기계공학,794877677,노명일,1,0.0217,0.019028,"(사)한국CDE학회 (NODE11038914, IF: 1.14)"
96,2022,기계공학,119610859,김기수,1,0.0217,0.019028,"(사)한국CDE학회 (NODE11038914, IF: 1.14)"
97,2022,기계공학,855061396,이수철,1,0.0217,0.019028,"(사)한국CDE학회 (NODE11166839, IF: 1.14)"
98,2022,기계공학,601276549,유태종,1,0.0217,0.019028,"(사)한국CDE학회 (NODE11166839, IF: 1.14)"
99,2022,기계공학,644499255,노동현,1,0.0205,0.017971,"(사)한국CDE학회 (NODE11121444, IF: 1.14)"
100,2022,기계공학,612348549,이재열,1,0.0205,0.017971,"(사)한국CDE학회 (NODE11121444, IF: 1.14)"
101,2022,기계공학,458827024,정구희,1,0.0205,0.01797,"(사)한국CDE학회 (NODE11166848, IF: 1.14)"
102,2022,기계공학,650615152,김균동,1,0.0205,0.01797,"(사)한국CDE학회 (NODE11166848, IF: 1.14)"
103,2022,기계공학,429466543,박효준,1,0.0205,0.01797,"(사)한국CDE학회 (NODE11166848, IF: 1.14)"
104,2022,기계공학,241250768,명세현,1,0.0205,0.01797,"(사)한국CDE학회 (NODE11166848, IF: 1.14)"
105,2022,기계공학,768066873,이태훈,4,0.0202,0.041226,"한국비파괴검사학회 (NODE11153314, IF: 0.49)
한국비파괴검사학회 (NODE11153305, IF: 0.49)
한국비파괴검사학회 (NODE11153307, IF: 0.49)
한국비파괴검사학회 (NODE11057596, IF: 0.49)"
106,2022,기계공학,520635254,김민국,3,0.0195,0.043340000000000004,"한국수소및신에너지학회 (NODE11183627, IF: 0.65)
대한기계학회 (NODE11056408, IF: 0.55)
한국연소학회 (NODE11212987, IF: 0.45)"
107,2022,기계공학,602222474,이원준,2,0.0195,0.043340000000000004,"한국수소및신에너지학회 (NODE11183627, IF: 0.65)
한국연소학회 (NODE11212987, IF: 0.45)"
108,2022,기계공학,827097895,황정재,2,0.0195,0.043340000000000004,"한국수소및신에너지학회 (NODE11183627, IF: 0.65)
한국연소학회 (NODE11212987, IF: 0.45)"
109,2022,기계공학,145095666,Borys Shershnyov,1,0.0195,0.043340000000000004,"한국연소학회 (NODE11212987, IF: 0.45)"
110,2022,기계공학,760402289,구본용,2,0.0181,0.036998,"한국비파괴검사학회 (NODE11037476, IF: 0.49)
유공압건설기계학회 (NODE11171178, IF: 1.02)"
111,2022,기계공학,577479433,장홍래,1,0.0181,0.036998,"한국비파괴검사학회 (NODE11037476, IF: 0.49)"
112,2022,기계공학,756573183,강토,1,0.0181,0.036998,"한국비파괴검사학회 (NODE11037476, IF: 0.49)"
113,2022,기계공학,115935805,윤민호,1,0.0181,0.036998,"한국비파괴검사학회 (NODE11037476, IF: 0.49)"
114,2022,기계공학,931614335,Ky-Quang Pham,1,0.0169,0.04439800000000001,"한국유체기계학회 (NODE11100860, IF: 0.38)"
115,2022,기계공학,313458137,Van-Minh Le,1,0.0169,0.04439800000000001,"한국유체기계학회 (NODE11100860, IF: 0.38)"
116,2022,기계공학,411565819,Cong-Truong Dinh,1,0.0169,0.04439800000000001,"한국유체기계학회 (NODE11100860, IF: 0.38)"
117,2022,기계공학,1854039,권윤희,1,0.0169,0.014799,"(사)한국CDE학회 (NODE11166843, IF: 1.14)"
118,2022,기계공학,801793142,안병율,1,0.0169,0.014799,"(사)한국CDE학회 (NODE11166843, IF: 1.14)"
119,2022,기계공학,124684720,임흥기,1,0.0169,0.014799,"(사)한국CDE학회 (NODE11166843, IF: 1.14)"
120,2022,기계공학,634700986,기환종,1,0.0169,0.014799,"(사)한국CDE학회 (NODE11166843, IF: 1.14)"
121,2022,기계공학,291977737,김종윤,1,0.0168,0.045455,"한국생산제조학회 (NODE11116838, IF: 0.37)"
122,2022,기계공학,455999123,강지완,1,0.0168,0.045455,"한국생산제조학회 (NODE11116838, IF: 0.37)"
