Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Final_Score,Raw_Trend_Score,Paper_List_Details
1,2022,전기전자공학,977669423,이지형,3,0.6996,0.9454319999999999,"[데이터 증강으로 강화된 Aug-TNE(Text to Node Embedding)을 활용한 감성분석]
   └ 학회: 한국지능시스템학회 (IF: 0.74)
--------------------------------
[Unlabeled 데이터의 의사 라벨을 활용한 약지도 의미론적 이미지 분할]
   └ 학회: 한국지능시스템학회 (IF: 0.74)
--------------------------------
[모델 발산을 억제하는 연합학습 프레임워크]
   └ 학회: 한국지능시스템학회 (IF: 0.74)"
2,2022,전기전자공학,157915132,강재모,4,0.5906,0.824608,"[YOLO 기반 금속 외관 결함영역 검출]
   └ 학회: 한국지능시스템학회 (IF: 0.74)
--------------------------------
[AMFM : 금속 외관 결함의 준지도 분류에 특화된 AugMix 기반 FixMatch 알고리즘]
   └ 학회: 한국지능시스템학회 (IF: 0.74)
--------------------------------
[Exponential NMS : 금속 외관의 오탐 성능 개선을 위한 효과적인 바운딩 박스 중첩 억제 기법]
   └ 학회: 한국지능시스템학회 (IF: 0.74)
--------------------------------
[머신러닝 기반 금속외관 결함 검출 비교 분석]
   └ 학회: 한국정보통신학회 (IF: 0.55)"
3,2022,전기전자공학,366216691,오하영,10,0.5699,1.03619,"[주가 예측 모델에서의 분할 예측을 통한 성능향상 탐구]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[딥러닝 텍스트 요약 모델의 데이터 편향 문제 해결을 위한 학습 기법]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[한국어 및 영어 이미지 캡션이 가능한 범용적 모델 및 목적에 맞는 텍스트를 생성해주는 기법]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[얼굴 인식과 Pyautogui 마우스 제어 기반의 비접촉식 입력 기법]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[온라인 쇼핑몰 데이터를 이용한 개인화 추천 모델 성능 비교 분석]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[이기종 머신러닝기법을 활용한 KOSPI200 옵션변동성 예측]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[의료 산업에 있어 현대인의 비대면 의학 상담에 대한 관심도 분석 기법]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[유사도를 활용한 맞춤형 보험 추천 시스템]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[사용자 입력 문장에서 우울 관련 감정 탐지]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[소셜 미디어(SNS) 데이터 증강을 활용한 효과적인 여론조사 예측 모델 분석]
   └ 학회: 한국정보통신학회 (IF: 0.55)"
4,2022,전기전자공학,641936357,장경식,4,0.5589,1.0161449999999999,"[BiLSTM 모델과 형태소 자질을 이용한 서술어 인식 방법]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[RGB-D 영상을 이용한 Fusion RetinaNet 기반 얼굴 검출 방법]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[Biaffine Average Attention 모델을 이용한 의미역 결정]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[A Study on Marker-based Detection Method of Object Position using Perspective Projection]
   └ 학회: 한국정보통신학회JICCE (IF: 0.55)"
5,2022,전기전자공학,647870475,남충현,3,0.5472,0.9949869999999998,"[BiLSTM 모델과 형태소 자질을 이용한 서술어 인식 방법]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[RGB-D 영상을 이용한 Fusion RetinaNet 기반 얼굴 검출 방법]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[Biaffine Average Attention 모델을 이용한 의미역 결정]
   └ 학회: 한국정보통신학회 (IF: 0.55)"
6,2022,전기전자공학,418397454,신영학,2,0.5348,0.722715,"[딥러닝기반 대장내시경 용종 검출에서 작은 용종의 검출 성능분석 및 성능향상 연구]
   └ 학회: 한국지능시스템학회 (IF: 0.74)
--------------------------------
[딥러닝 기반 토마토 잎 병충해 분류 및 시각화를 위한 연구]
   └ 학회: 한국지능시스템학회 (IF: 0.74)"
7,2022,전기전자공학,369801061,이세훈,3,0.534,0.721602,"[YOLO 기반 금속 외관 결함영역 검출]
   └ 학회: 한국지능시스템학회 (IF: 0.74)
--------------------------------
[AMFM : 금속 외관 결함의 준지도 분류에 특화된 AugMix 기반 FixMatch 알고리즘]
   └ 학회: 한국지능시스템학회 (IF: 0.74)
--------------------------------
[Exponential NMS : 금속 외관의 오탐 성능 개선을 위한 효과적인 바운딩 박스 중첩 억제 기법]
   └ 학회: 한국지능시스템학회 (IF: 0.74)"
8,2022,전기전자공학,773334065,강성환,3,0.534,0.721602,"[YOLO 기반 금속 외관 결함영역 검출]
   └ 학회: 한국지능시스템학회 (IF: 0.74)
--------------------------------
[AMFM : 금속 외관 결함의 준지도 분류에 특화된 AugMix 기반 FixMatch 알고리즘]
   └ 학회: 한국지능시스템학회 (IF: 0.74)
--------------------------------
[Exponential NMS : 금속 외관의 오탐 성능 개선을 위한 효과적인 바운딩 박스 중첩 억제 기법]
   └ 학회: 한국지능시스템학회 (IF: 0.74)"
9,2022,전기전자공학,345413502,신요섭,3,0.534,0.721602,"[YOLO 기반 금속 외관 결함영역 검출]
   └ 학회: 한국지능시스템학회 (IF: 0.74)
--------------------------------
[AMFM : 금속 외관 결함의 준지도 분류에 특화된 AugMix 기반 FixMatch 알고리즘]
   └ 학회: 한국지능시스템학회 (IF: 0.74)
--------------------------------
[Exponential NMS : 금속 외관의 오탐 성능 개선을 위한 효과적인 바운딩 박스 중첩 억제 기법]
   └ 학회: 한국지능시스템학회 (IF: 0.74)"
10,2022,전기전자공학,966564311,박대진,7,0.5227,0.9504419999999998,"[비정상심박 검출을 위해 영상화된 심전도 신호를 이용한 비교학습 기반 딥러닝 알고리즘]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[경량화된 임베디드 시스템에서 의미론적인 픽셀 분할 마스킹을 이용한 효율적인 영상 객체 인식 기법]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[폴링기반 통신 시스템을 위한 에너지 인지적인 동적 주파수 조절 알고리즘]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[경량형 임베디드 프로세서를 위한 라이다 거리 기반 클러스터링 기법을 활용한 의미론적 물체 인식]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[레지스터 전달 수준 설계단계에서 사전 클럭트리합성 가능여부 판단을 위한 경량화된 클럭트리 재구성 방법]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[에지 클라우드 협동 이미지 처리기반 메타버스에서 스트리밍 가능한 저전력 AI 소프트웨어의 런타임 실행]
   └ 학회: 한국정보통신학회 (IF: 0.55)
--------------------------------
[온칩 컨볼루션 가속기를 포함한 대칭적 버퍼 기반 액티브 노이즈 캔슬러의 경량화된 FPGA 구현]
   └ 학회: 한국정보통신학회 (IF: 0.55)"
