Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Final_Score,Raw_Trend_Score,Paper_List_Details
1,2023,공학 일반,488852589,마정목,8,0.2019,0.22184199999999998,"한국산학기술학회 (NODE11402620, IF: 0.91)
한국산학기술학회 (NODE11202330, IF: 0.91)
한국산학기술학회 (NODE11202334, IF: 0.91)
한국산학기술학회 (NODE11476772, IF: 0.91)
한국산학기술학회 (NODE11230680, IF: 0.91)
한국산학기술학회 (NODE11419104, IF: 0.91)
한국산학기술학회 (NODE11419128, IF: 0.91)
한국산학기술학회 (NODE11440817, IF: 0.91)"
2,2023,공학 일반,167198220,송미옥,3,0.1972,0.216724,"한국산학기술학회 (NODE11523974, IF: 0.91)
한국산학기술학회 (NODE11523989, IF: 0.91)
한국산학기술학회 (NODE11202329, IF: 0.91)"
3,2023,공학 일반,411068809,김종임,3,0.1941,0.213309,"한국산학기술학회 (NODE11402639, IF: 0.91)
한국산학기술학회 (NODE11611159, IF: 0.91)
한국산학기술학회 (NODE11505935, IF: 0.91)"
4,2023,공학 일반,759772473,조영미,3,0.1553,0.170649,"한국산학기술학회 (NODE11642935, IF: 0.91)
한국산학기술학회 (NODE11419135, IF: 0.91)
한국산학기술학회 (NODE11217245, IF: 0.91)"
5,2023,공학 일반,910088337,조성제,9,0.1429,0.156994,"한국산학기술학회 (NODE11202348, IF: 0.91)
한국산학기술학회 (NODE11642938, IF: 0.91)
한국산학기술학회 (NODE11230703, IF: 0.91)
한국산학기술학회 (NODE11419120, IF: 0.91)
한국산학기술학회 (NODE11419146, IF: 0.91)
한국산학기술학회 (NODE11402656, IF: 0.91)
한국산학기술학회 (NODE11611209, IF: 0.91)
한국산학기술학회 (NODE11440851, IF: 0.91)
한국산학기술학회 (NODE11505937, IF: 0.91)"
6,2023,공학 일반,742455312,장희경,3,0.1429,0.156997,"한국산학기술학회 (NODE11524008, IF: 0.91)
한국산학기술학회 (NODE11553751, IF: 0.91)
한국산학기술학회 (NODE11217251, IF: 0.91)"
7,2023,공학 일반,562194301,김계하,3,0.1367,0.150171,"한국산학기술학회 (NODE11202315, IF: 0.91)
한국산학기술학회 (NODE11553710, IF: 0.91)
한국산학기술학회 (NODE11505928, IF: 0.91)"
8,2023,공학 일반,396882861,배한주,2,0.1367,0.150172,"한국산학기술학회 (NODE11419132, IF: 0.91)
한국산학기술학회 (NODE11523934, IF: 0.91)"
9,2023,공학 일반,464080804,성경미,3,0.118,0.129693,"한국산학기술학회 (NODE11523943, IF: 0.91)
한국산학기술학회 (NODE11642958, IF: 0.91)
한국산학기술학회 (NODE11217206, IF: 0.91)"
10,2023,공학 일반,704122567,박효정,4,0.1165,0.127986,"한국산학기술학회 (NODE11402665, IF: 0.91)
한국산학기술학회 (NODE11230711, IF: 0.91)
한국산학기술학회 (NODE11217208, IF: 0.91)
한국산학기술학회 (NODE11217233, IF: 0.91)"
