Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Final_Score,Raw_Trend_Score,Paper_List_Details
1,2023,기타 공학,2220959,정성용,2,0.1258,0.102272,"대한교통학회 (NODE11398241, IF: 1.23)
대한교통학회 (NODE11504375, IF: 1.23)"
2,2023,기타 공학,471757367,이청원,2,0.1258,0.102272,"대한교통학회 (NODE11398241, IF: 1.23)
대한교통학회 (NODE11504375, IF: 1.23)"
3,2023,기타 공학,639870148,민건규,1,0.1165,0.094696,"대한교통학회 (NODE11398241, IF: 1.23)"
4,2023,기타 공학,949029896,가동주,1,0.1165,0.094696,"대한교통학회 (NODE11398241, IF: 1.23)"
5,2023,기타 공학,746734419,이성진,3,0.1123,0.287882,"한국철도학회 (NODE11492586, IF: 0.39)
한국철도학회 (NODE11653271, IF: 0.39)
한국철도학회 (NODE11574662, IF: 0.39)"
6,2023,기타 공학,971439421,기성훈,3,0.1123,0.287882,"한국철도학회 (NODE11492586, IF: 0.39)
한국철도학회 (NODE11653271, IF: 0.39)
한국철도학회 (NODE11574662, IF: 0.39)"
7,2023,기타 공학,302589652,오철,7,0.0839,0.068181,"대한교통학회 (NODE11667805, IF: 1.23)
대한교통학회 (NODE11221056, IF: 1.23)
대한교통학회 (NODE11221057, IF: 1.23)
대한교통학회 (NODE11553976, IF: 1.23)
대한교통학회 (NODE11553980, IF: 1.23)
대한교통학회 (NODE11656702, IF: 1.23)
대한교통학회 (NODE11504380, IF: 1.23)"
8,2023,기타 공학,2279454,조영,5,0.0839,0.068181,"대한교통학회 (NODE11221056, IF: 1.23)
대한교통학회 (NODE11553976, IF: 1.23)
대한교통학회 (NODE11553980, IF: 1.23)
대한교통학회 (NODE11656702, IF: 1.23)
대한교통학회 (NODE11504380, IF: 1.23)"
9,2023,기타 공학,717084931,여화수,2,0.0652,0.05303,"대한교통학회 (NODE11221055, IF: 1.23)
대한교통학회 (NODE11665472, IF: 1.23)"
10,2023,기타 공학,947020143,이희성,2,0.0576,0.147726,"한국철도학회 (NODE11408299, IF: 0.39)
한국철도학회 (NODE11653275, IF: 0.39)"
11,2023,기타 공학,994601839,구예서,3,0.0559,0.045454,"대한교통학회 (NODE11221056, IF: 1.23)
대한교통학회 (NODE11221057, IF: 1.23)
대한교통학회 (NODE11656702, IF: 1.23)"
12,2023,기타 공학,448212332,김정화,3,0.0559,0.045456,"대한교통학회 (NODE11398234, IF: 1.23)
대한교통학회 (NODE11553972, IF: 1.23)
대한교통학회 (NODE11656703, IF: 1.23)"
13,2023,기타 공학,5427063,노병준,1,0.0559,0.045454,"대한교통학회 (NODE11221055, IF: 1.23)"
14,2023,기타 공학,290645843,조해찬,1,0.0559,0.045454,"대한교통학회 (NODE11221055, IF: 1.23)"
15,2023,기타 공학,272332836,이혜진,1,0.0559,0.045454,"대한교통학회 (NODE11221055, IF: 1.23)"
16,2023,기타 공학,861800313,가동호,1,0.0559,0.045454,"대한교통학회 (NODE11221055, IF: 1.23)"
17,2023,기타 공학,585660362,지정훈,1,0.0559,0.045454,"대한교통학회 (NODE11656702, IF: 1.23)"
18,2023,기타 공학,949702821,구병춘,2,0.0473,0.12121600000000002,"한국철도학회 (NODE11463872, IF: 0.39)
한국철도학회 (NODE11426914, IF: 0.39)"
19,2023,기타 공학,200146137,권석진,2,0.0473,0.12121600000000002,"한국철도학회 (NODE11463872, IF: 0.39)
한국철도학회 (NODE11426914, IF: 0.39)"
20,2023,기타 공학,838789955,정진혁,3,0.0466,0.037880000000000004,"대한교통학회 (NODE11409524, IF: 1.23)
대한교통학회 (NODE11553973, IF: 1.23)
대한교통학회 (NODE11656699, IF: 1.23)"
21,2023,기타 공학,5443862,이재형,2,0.0466,0.037880000000000004,"대한교통학회 (NODE11553973, IF: 1.23)
대한교통학회 (NODE11656699, IF: 1.23)"
22,2023,기타 공학,455725985,김진희,2,0.0466,0.037880000000000004,"대한교통학회 (NODE11553973, IF: 1.23)
대한교통학회 (NODE11656699, IF: 1.23)"
23,2023,기타 공학,3946900,김지원,1,0.0466,0.037880000000000004,"대한교통학회 (NODE11656699, IF: 1.23)"
24,2023,기타 공학,558262540,이영훈,1,0.0466,0.037879,"대한교통학회 (NODE11504374, IF: 1.23)"
25,2023,기타 공학,161317568,서철승,1,0.0466,0.037879,"대한교통학회 (NODE11504374, IF: 1.23)"
26,2023,기타 공학,568686967,송태진,3,0.0373,0.030304,"대한교통학회 (NODE11665469, IF: 1.23)
대한교통학회 (NODE11665470, IF: 1.23)
대한교통학회 (NODE11504373, IF: 1.23)"
27,2023,기타 공학,736383727,박준영,2,0.0373,0.030304,"대한교통학회 (NODE11553976, IF: 1.23)
대한교통학회 (NODE11665475, IF: 1.23)"
28,2023,기타 공학,767866181,한상진,2,0.0373,0.030304,"대한교통학회 (NODE11665471, IF: 1.23)
대한교통학회 (NODE11504378, IF: 1.23)"
29,2023,기타 공학,578106817,문현,1,0.0373,0.030304,"대한교통학회 (NODE11221058, IF: 1.23)"
30,2023,기타 공학,973692424,김도훈,1,0.0373,0.030304,"대한교통학회 (NODE11221058, IF: 1.23)"
31,2023,기타 공학,830052447,하헌구,1,0.0373,0.030304,"대한교통학회 (NODE11221058, IF: 1.23)"
32,2023,기타 공학,877201284,김우진,1,0.0373,0.030304,"대한교통학회 (NODE11398234, IF: 1.23)"
33,2023,기타 공학,549343550,최낙현,1,0.0373,0.030304,"대한교통학회 (NODE11398234, IF: 1.23)"
34,2023,기타 공학,731442446,김은정,1,0.0373,0.030304,"대한교통학회 (NODE11665468, IF: 1.23)"
35,2023,기타 공학,256302692,민진홍,1,0.0373,0.030304,"대한교통학회 (NODE11665468, IF: 1.23)"
36,2023,기타 공학,509312290,김동규,1,0.0373,0.030304,"대한교통학회 (NODE11665468, IF: 1.23)"
37,2023,기타 공학,920368430,문세동,1,0.0373,0.030304,"대한교통학회 (NODE11665468, IF: 1.23)"
38,2023,기타 공학,4596283,김규혁,1,0.0373,0.030304,"대한교통학회 (NODE11665470, IF: 1.23)"
39,2023,기타 공학,327872467,원민수,1,0.0373,0.030304,"대한교통학회 (NODE11665470, IF: 1.23)"
40,2023,기타 공학,797329997,최민규,1,0.0373,0.030304,"대한교통학회 (NODE11665471, IF: 1.23)"
41,2023,기타 공학,976371913,양욱재,1,0.0373,0.030304,"대한교통학회 (NODE11665471, IF: 1.23)"
42,2023,기타 공학,162196766,박동혁,1,0.0373,0.030304,"대한교통학회 (NODE11665475, IF: 1.23)"
43,2023,기타 공학,481330209,김승환,1,0.0373,0.030304,"대한교통학회 (NODE11665475, IF: 1.23)"
44,2023,기타 공학,5494330,김주영,1,0.0369,0.094696,"한국철도학회 (NODE11408299, IF: 0.39)"
45,2023,기타 공학,294002629,이종혁,1,0.0369,0.094696,"한국철도학회 (NODE11408299, IF: 0.39)"
