Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Final_Score,Raw_Trend_Score,Paper_List_Details
1,2024,조선해양공학,237372067,Heung Jin Park,1,0.0643,0.094595,"[Comparison of Wave Prediction and Performance Evaluation in Korea Waters based on Machine Learning]
   └ 학회: 한국해양공학회 (IF: 0.68)"
2,2024,조선해양공학,288604531,강윤정,1,0.0643,0.094595,"[Comparison of Wave Prediction and Performance Evaluation in Korea Waters based on Machine Learning]
   └ 학회: 한국해양공학회 (IF: 0.68)"
3,2024,조선해양공학,334607861,Youngjae Yu,1,0.0276,0.040541,"[Collision-Damage Analysis of a Floating Offshore Wind Turbine Considering Ship-Collision Risk]
   └ 학회: 한국해양공학회 (IF: 0.68)"
4,2024,조선해양공학,298692429,Sang-Hyun Park,1,0.0276,0.040541,"[Collision-Damage Analysis of a Floating Offshore Wind Turbine Considering Ship-Collision Risk]
   └ 학회: 한국해양공학회 (IF: 0.68)"
5,2024,조선해양공학,309554523,Sang-Rai Cho,1,0.0276,0.040541,"[Collision-Damage Analysis of a Floating Offshore Wind Turbine Considering Ship-Collision Risk]
   └ 학회: 한국해양공학회 (IF: 0.68)"
6,2024,조선해양공학,782529807,Sung-Jae Kim,1,0.0276,0.040541,"[Riser Configuration Design for a 15-MW Floating Offshore Wind Turbine Integrated with a Green Hydrogen Facility]
   └ 학회: 한국해양공학회 (IF: 0.68)"
7,2024,조선해양공학,647540691,Sung-Ju Park,1,0.0276,0.040541,"[Riser Configuration Design for a 15-MW Floating Offshore Wind Turbine Integrated with a Green Hydrogen Facility]
   └ 학회: 한국해양공학회 (IF: 0.68)"
8,2024,조선해양공학,602798296,Kideok Do,2,0.0184,0.027027,"[Quality Enhancement of MIROS Wave Radar Data at Ieodo Ocean Research Station Using ANN]
   └ 학회: 한국해양공학회 (IF: 0.68)
--------------------------------
[GCP Placement Methods for Improving the Accuracy of Shoreline Extraction in Coastal Video Monitoring]
   └ 학회: 한국해양공학회 (IF: 0.68)"
9,2024,조선해양공학,699541321,Changyul Lee,1,0.0184,0.027027,"[GCP Placement Methods for Improving the Accuracy of Shoreline Extraction in Coastal Video Monitoring]
   └ 학회: 한국해양공학회 (IF: 0.68)"
10,2024,조선해양공학,508563267,Inho Kim,1,0.0184,0.027027,"[GCP Placement Methods for Improving the Accuracy of Shoreline Extraction in Coastal Video Monitoring]
   └ 학회: 한국해양공학회 (IF: 0.68)"
11,2024,조선해양공학,812246286,Sungyeol Chang,1,0.0184,0.027027,"[GCP Placement Methods for Improving the Accuracy of Shoreline Extraction in Coastal Video Monitoring]
   └ 학회: 한국해양공학회 (IF: 0.68)"
12,2024,조선해양공학,161645887,Sol Ha,1,0.0184,0.027027,"[Development and Validation of a Point Cloud Data Processing Algorithm for Obstacle Recognition in Double Hull Block]
   └ 학회: 한국해양공학회 (IF: 0.68)"
13,2024,조선해양공학,247433171,구남국,1,0.0184,0.027027,"[Development and Validation of a Point Cloud Data Processing Algorithm for Obstacle Recognition in Double Hull Block]
   └ 학회: 한국해양공학회 (IF: 0.68)"
14,2024,조선해양공학,864908113,Tae-Soon Kang,1,0.0184,0.027027,"[Beach Area Changes and Resilience of the Eastern Coasts Before and After Typhoon Goni]
   └ 학회: 한국해양공학회 (IF: 0.68)"
15,2024,조선해양공학,124608849,Ho-Jun Yoo,1,0.0184,0.027027,"[Beach Area Changes and Resilience of the Eastern Coasts Before and After Typhoon Goni]
   └ 학회: 한국해양공학회 (IF: 0.68)"
16,2024,조선해양공학,578268212,Ki-Hyun Kim,1,0.0184,0.027027,"[Beach Area Changes and Resilience of the Eastern Coasts Before and After Typhoon Goni]
   └ 학회: 한국해양공학회 (IF: 0.68)"
