Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Final_Score,Raw_Trend_Score,Paper_List_Details
1,2024,컴퓨터학,943490559,김관호,3,1.356,0.8582399999999999,"한국전자거래학회 (NODE11799750, IF: 1.58)
한국전자거래학회 (NODE11723846, IF: 1.58)
한국전자거래학회 (NODE11723852, IF: 1.58)"
2,2024,컴퓨터학,217010576,김진영,4,1.0083,0.787739,"한국디지털콘텐츠학회 (NODE11720722, IF: 1.28)
한국디지털콘텐츠학회 (NODE11720715, IF: 1.28)
한국디지털콘텐츠학회 (NODE11701943, IF: 1.28)
한국디지털콘텐츠학회 (NODE12006293, IF: 1.28)"
3,2024,컴퓨터학,653959450,김남호,3,0.9524,0.7440629999999999,"한국디지털콘텐츠학회 (NODE11956050, IF: 1.28)
한국디지털콘텐츠학회 (NODE11989807, IF: 1.28)
한국디지털콘텐츠학회 (NODE12006301, IF: 1.28)"
4,2024,컴퓨터학,677365590,최광미,3,0.9524,0.7440629999999999,"한국디지털콘텐츠학회 (NODE11956050, IF: 1.28)
한국디지털콘텐츠학회 (NODE11989807, IF: 1.28)
한국디지털콘텐츠학회 (NODE12006301, IF: 1.28)"
5,2024,컴퓨터학,601408304,유우식,2,0.8306,0.5256719999999999,"한국전자거래학회 (NODE11723846, IF: 1.58)
한국전자거래학회 (NODE11723852, IF: 1.58)"
6,2024,컴퓨터학,345307592,유광현,3,0.7709,0.6022989999999999,"한국디지털콘텐츠학회 (NODE11720722, IF: 1.28)
한국디지털콘텐츠학회 (NODE11701943, IF: 1.28)
한국디지털콘텐츠학회 (NODE12006293, IF: 1.28)"
7,2024,컴퓨터학,948080461,손태식,12,0.7508,0.94329,"한국디지털콘텐츠학회 (NODE11792273, IF: 1.28)
한국디지털포렌식학회 (NODE11750873, IF: 0.72)
한국디지털포렌식학회 (NODE11750877, IF: 0.72)
한국디지털포렌식학회 (NODE11750879, IF: 0.72)
한국디지털포렌식학회 (NODE11847671, IF: 0.72)
한국디지털포렌식학회 (NODE11847674, IF: 0.72)
한국디지털콘텐츠학회 (NODE11859196, IF: 1.28)
ICT플랫폼학회 (NODE11960227, IF: 0.42)
ICT플랫폼학회 (NODE12101345, IF: 0.42)
ICT플랫폼학회 (NODE11859246, IF: 0.42)
ICT플랫폼학회 (NODE11859278, IF: 0.42)
한국디지털포렌식학회 (NODE11929060, IF: 0.72)"
8,2024,컴퓨터학,427800791,이수창,2,0.7278,0.568583,"한국디지털콘텐츠학회 (NODE11720722, IF: 1.28)
한국디지털콘텐츠학회 (NODE11701943, IF: 1.28)"
9,2024,컴퓨터학,149046435,강지영,2,0.6268,0.48965299999999995,"한국디지털콘텐츠학회 (NODE11914504, IF: 1.28)
한국디지털콘텐츠학회 (NODE11956053, IF: 1.28)"
10,2024,컴퓨터학,717679091,Seung-Soo Shin,6,0.6081,0.47509500000000005,"한국디지털콘텐츠학회 (NODE11792272, IF: 1.28)
한국디지털콘텐츠학회 (NODE11989790, IF: 1.28)
한국디지털콘텐츠학회 (NODE11989803, IF: 1.28)
한국디지털콘텐츠학회 (NODE11821463, IF: 1.28)
한국디지털콘텐츠학회 (NODE11743130, IF: 1.28)
한국디지털콘텐츠학회 (NODE11743140, IF: 1.28)"
11,2024,컴퓨터학,5438402,김종은,1,0.6054,0.383142,"한국전자거래학회 (NODE11723852, IF: 1.58)"
12,2024,컴퓨터학,308892208,이하은,1,0.6054,0.383142,"한국전자거래학회 (NODE11723852, IF: 1.58)"
13,2024,컴퓨터학,905262820,박정흠,12,0.5812,0.8114880000000001,"한국디지털포렌식학회 (NODE11750874, IF: 0.72)
한국정보보호학회 (NODE11820606, IF: 0.41)
한국디지털포렌식학회 (NODE11847672, IF: 0.72)
한국디지털포렌식학회 (NODE11847678, IF: 0.72)
한국디지털포렌식학회 (NODE11847680, IF: 0.72)
한국정보보호학회 (NODE11909835, IF: 0.41)
한국디지털포렌식학회 (NODE12038442, IF: 0.72)
한국디지털포렌식학회 (NODE12038444, IF: 0.72)
한국디지털포렌식학회 (NODE11929056, IF: 0.72)
한국디지털포렌식학회 (NODE11985875, IF: 0.72)
한국디지털포렌식학회 (NODE11985876, IF: 0.72)
한국정보보호학회 (NODE12014720, IF: 0.41)"
14,2024,컴퓨터학,673993414,강희조,3,0.5728,0.44750899999999993,"한국디지털콘텐츠학회 (NODE11859204, IF: 1.28)
한국디지털콘텐츠학회 (NODE11956051, IF: 1.28)
한국디지털콘텐츠학회 (NODE11956055, IF: 1.28)"
15,2024,컴퓨터학,986202662,이상현,3,0.5512,0.430654,"한국디지털콘텐츠학회 (NODE11859193, IF: 1.28)
한국디지털콘텐츠학회 (NODE11758271, IF: 1.28)
한국디지털콘텐츠학회 (NODE11743142, IF: 1.28)"
16,2024,컴퓨터학,411247179,서유리,1,0.5336,0.41685599999999995,"한국디지털콘텐츠학회 (NODE11956052, IF: 1.28)"
17,2024,컴퓨터학,996638705,허채연,1,0.5336,0.41685599999999995,"한국디지털콘텐츠학회 (NODE11956052, IF: 1.28)"
18,2024,컴퓨터학,158595701,김찬수,1,0.5336,0.41685599999999995,"한국디지털콘텐츠학회 (NODE11956052, IF: 1.28)"
19,2024,컴퓨터학,989503193,조민지,1,0.5277,0.41225999999999996,"한국디지털콘텐츠학회 (NODE11956055, IF: 1.28)"
20,2024,컴퓨터학,103997844,조혜준,1,0.5277,0.41225999999999996,"한국디지털콘텐츠학회 (NODE11956055, IF: 1.28)"
21,2024,컴퓨터학,988302520,최재명,1,0.5277,0.41225999999999996,"한국디지털콘텐츠학회 (NODE11956055, IF: 1.28)"
