Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Final_Score,Raw_Trend_Score,Paper_List_Details
1,2025,건축공학,726935261,김성준,3,0.6223,0.353582,"대한환경공학회 (NODE12404949, IF: 1.76)
대한환경공학회 (NODE12350540, IF: 1.76)
대한환경공학회 (NODE12350542, IF: 1.76)"
2,2025,건축공학,454045345,박용균,3,0.6223,0.353582,"대한환경공학회 (NODE12404949, IF: 1.76)
대한환경공학회 (NODE12350540, IF: 1.76)
대한환경공학회 (NODE12350542, IF: 1.76)"
3,2025,건축공학,983062217,이송은,1,0.3838,0.218068,"대한환경공학회 (NODE12350542, IF: 1.76)"
4,2025,건축공학,756001704,정아현,1,0.3838,0.218068,"대한환경공학회 (NODE12350542, IF: 1.76)"
5,2025,건축공학,163811768,조예원,1,0.3838,0.218068,"대한환경공학회 (NODE12350542, IF: 1.76)"
6,2025,건축공학,625982479,정세윤,1,0.3838,0.218068,"대한환경공학회 (NODE12350542, IF: 1.76)"
7,2025,건축공학,436134031,오근영,11,0.3755,0.596572,"대한건축학회 (NODE12262781, IF: 0.64)
대한건축학회 (NODE12262782, IF: 0.64)
대한건축학회 (NODE12190504, IF: 0.64)
대한건축학회 (NODE12117591, IF: 0.64)
대한건축학회 (NODE12479371, IF: 0.64)
한국강구조학회 (NODE12176497, IF: 0.52)
대한건축학회 (NODE12333509, IF: 0.64)
한국강구조학회 (NODE12252973, IF: 0.52)
한국강구조학회 (NODE12252974, IF: 0.52)
대한건축학회 (NODE12036091, IF: 0.64)
대한건축학회 (NODE12291772, IF: 0.64)"
8,2025,건축공학,387546652,박민재,9,0.3617,0.6697810000000001,"대한건축학회 (NODE12190503, IF: 0.64)
한국강구조학회 (NODE12336340, IF: 0.52)
한국강구조학회 (NODE12336341, IF: 0.52)
한국강구조학회 (NODE12336342, IF: 0.52)
한국강구조학회 (NODE12113100, IF: 0.52)
한국강구조학회 (NODE12252972, IF: 0.52)
한국강구조학회 (NODE12423578, IF: 0.52)
한국강구조학회 (NODE12423579, IF: 0.52)
한국강구조학회 (NODE12406354, IF: 0.52)"
9,2025,건축공학,393970441,이창환,7,0.3617,0.6697810000000001,"대한건축학회 (NODE12190503, IF: 0.64)
한국강구조학회 (NODE12336340, IF: 0.52)
한국강구조학회 (NODE12336341, IF: 0.52)
한국강구조학회 (NODE12336342, IF: 0.52)
한국강구조학회 (NODE12252972, IF: 0.52)
한국강구조학회 (NODE12423578, IF: 0.52)
한국강구조학회 (NODE12423579, IF: 0.52)"
10,2025,건축공학,751385579,이수기,11,0.331,0.26479600000000003,"대한국토·도시계획학회 (NODE12341949, IF: 1.25)
대한국토·도시계획학회 (NODE12341951, IF: 1.25)
대한국토·도시계획학회 (NODE12270229, IF: 1.25)
대한국토·도시계획학회 (NODE12270231, IF: 1.25)
대한국토·도시계획학회 (NODE12092529, IF: 1.25)
대한국토·도시계획학회 (NODE12092534, IF: 1.25)
대한국토·도시계획학회 (NODE12439775, IF: 1.25)
대한국토·도시계획학회 (NODE12439785, IF: 1.25)
대한국토·도시계획학회 (NODE12153405, IF: 1.25)
대한국토·도시계획학회 (NODE12482386, IF: 1.25)
대한국토·도시계획학회 (NODE12482389, IF: 1.25)"
11,2025,건축공학,492249281,주나영,3,0.3011,0.470406,"대한건축학회 (NODE12142584, IF: 0.64)
대한건축학회 (NODE12117587, IF: 0.64)
대한건축학회 (NODE12479368, IF: 0.64)"
12,2025,건축공학,596546250,송승영,3,0.3011,0.470406,"대한건축학회 (NODE12142584, IF: 0.64)
대한건축학회 (NODE12117587, IF: 0.64)
대한건축학회 (NODE12479368, IF: 0.64)"
13,2025,건축공학,502600471,최명언,2,0.2687,0.152648,"대한환경공학회 (NODE12269491, IF: 1.76)
대한환경공학회 (NODE12267838, IF: 1.76)"
14,2025,건축공학,821958489,이승용,2,0.2687,0.152648,"대한환경공학회 (NODE12269491, IF: 1.76)
대한환경공학회 (NODE12267838, IF: 1.76)"
15,2025,건축공학,365975115,박노석,2,0.2687,0.152648,"대한환경공학회 (NODE12269491, IF: 1.76)
대한환경공학회 (NODE12267838, IF: 1.76)"
16,2025,건축공학,769612554,손민수,2,0.2604,0.147975,"대한환경공학회 (NODE12404949, IF: 1.76)
대한환경공학회 (NODE12350544, IF: 1.76)"
17,2025,건축공학,691895937,신동현,10,0.2307,0.38940700000000006,"대한건축학회 (NODE12262782, IF: 0.64)
대한건축학회 (NODE12262783, IF: 0.64)
대한건축학회 (NODE12190504, IF: 0.64)
한국강구조학회 (NODE12336339, IF: 0.52)
대한건축학회 (NODE12479371, IF: 0.64)
한국강구조학회 (NODE12252970, IF: 0.52)
한국강구조학회 (NODE12423581, IF: 0.52)
대한건축학회 (NODE12036089, IF: 0.64)
대한건축학회 (NODE12036091, IF: 0.64)
대한건축학회 (NODE12291775, IF: 0.64)"
18,2025,건축공학,236728628,서지원,1,0.2221,0.126168,"대한환경공학회 (NODE12404949, IF: 1.76)"
19,2025,건축공학,477040945,오정언,1,0.2221,0.126168,"대한환경공학회 (NODE12404949, IF: 1.76)"
20,2025,건축공학,607004045,이형석,1,0.2221,0.126168,"대한환경공학회 (NODE12404949, IF: 1.76)"
21,2025,건축공학,611040961,나승철,1,0.2221,0.126168,"대한환경공학회 (NODE12404949, IF: 1.76)"
22,2025,건축공학,836818783,박동민,8,0.2213,0.345796,"대한건축학회 (NODE12262773, IF: 0.64)
대한건축학회 (NODE12190495, IF: 0.64)
대한건축학회 (NODE12190496, IF: 0.64)
대한건축학회 (NODE12086793, IF: 0.64)
대한건축학회 (NODE12425062, IF: 0.64)
대한건축학회 (NODE12479360, IF: 0.64)
대한건축학회 (NODE12333502, IF: 0.64)
대한건축학회 (NODE12291781, IF: 0.64)"
23,2025,건축공학,807343073,박금성,10,0.212,0.341121,"대한건축학회 (NODE12262768, IF: 0.64)
대한건축학회 (NODE12262782, IF: 0.64)
대한건축학회 (NODE12190504, IF: 0.64)
대한건축학회 (NODE12117591, IF: 0.64)
대한건축학회 (NODE12479371, IF: 0.64)
한국강구조학회 (NODE12176497, IF: 0.52)
한국강구조학회 (NODE12252973, IF: 0.52)
대한건축학회 (NODE12394359, IF: 0.64)
대한건축학회 (NODE12036091, IF: 0.64)
한국건축친환경설비학회 (NODE12308939, IF: 0.38)"
24,2025,건축공학,290531391,장대희,4,0.1954,0.30529500000000004,"대한건축학회 (NODE12190504, IF: 0.64)
대한건축학회 (NODE12479371, IF: 0.64)
대한건축학회 (NODE12333509, IF: 0.64)
대한건축학회 (NODE12036086, IF: 0.64)"
25,2025,건축공학,462151559,김예인,4,0.1954,0.30529500000000004,"대한건축학회 (NODE12190504, IF: 0.64)
대한건축학회 (NODE12479371, IF: 0.64)
대한건축학회 (NODE12333509, IF: 0.64)
대한건축학회 (NODE12036086, IF: 0.64)"
26,2025,건축공학,345124272,이강민,4,0.1954,0.30529500000000004,"대한건축학회 (NODE12190504, IF: 0.64)
대한건축학회 (NODE12479371, IF: 0.64)
대한건축학회 (NODE12333509, IF: 0.64)
대한건축학회 (NODE12036086, IF: 0.64)"
27,2025,건축공학,391655039,박시형,1,0.1919,0.109034,"대한환경공학회 (NODE12267838, IF: 1.76)"
28,2025,건축공학,113530088,김종오,1,0.1919,0.109034,"대한환경공학회 (NODE12267838, IF: 1.76)"
29,2025,건축공학,665190605,박성직,4,0.1755,0.099688,"대한환경공학회 (NODE12307112, IF: 1.76)
대한환경공학회 (NODE12404948, IF: 1.76)
대한환경공학회 (NODE12404951, IF: 1.76)
대한환경공학회 (NODE12269493, IF: 1.76)"
30,2025,건축공학,744715327,임은채,1,0.1755,0.099688,"대한환경공학회 (NODE12307112, IF: 1.76)"
31,2025,건축공학,560021194,나이슬,1,0.1755,0.099688,"대한환경공학회 (NODE12404947, IF: 1.76)"
32,2025,건축공학,689382643,이예지,1,0.1755,0.099688,"대한환경공학회 (NODE12404947, IF: 1.76)"
33,2025,건축공학,354855105,김태오,1,0.1755,0.099688,"대한환경공학회 (NODE12404947, IF: 1.76)"
34,2025,건축공학,893629794,손영규,1,0.1755,0.099688,"대한환경공학회 (NODE12404947, IF: 1.76)"
35,2025,건축공학,257750962,정도진,2,0.1555,0.299064,"한국강구조학회 (NODE12336341, IF: 0.52)
한국강구조학회 (NODE12336342, IF: 0.52)"
36,2025,건축공학,744865643,레반란,2,0.1555,0.299064,"한국강구조학회 (NODE12336341, IF: 0.52)
한국강구조학회 (NODE12336342, IF: 0.52)"
