Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Final_Score,Raw_Trend_Score,Paper_List_Details
1,2025,산업공학,5119235,이청용,5,0.3699,0.210144,"한국지능정보시스템학회 (NODE12415240, IF: 1.76)
한국지능정보시스템학회 (NODE12415242, IF: 1.76)
한국지능정보시스템학회 (NODE12127068, IF: 1.76)
한국지능정보시스템학회 (NODE12268115, IF: 1.76)
한국지능정보시스템학회 (NODE12268117, IF: 1.76)"
2,2025,산업공학,760009950,박선우,2,0.2487,0.14130399999999999,"한국지능정보시스템학회 (NODE12415242, IF: 1.76)
한국지능정보시스템학회 (NODE12127068, IF: 1.76)"
3,2025,산업공학,911243546,김재경,2,0.1722,0.097826,"한국지능정보시스템학회 (NODE12127068, IF: 1.76)
한국지능정보시스템학회 (NODE12127073, IF: 1.76)"
4,2025,산업공학,775379017,우수현,1,0.1722,0.097826,"한국지능정보시스템학회 (NODE12127068, IF: 1.76)"
5,2025,산업공학,705648191,김려,1,0.1722,0.097826,"한국지능정보시스템학회 (NODE12127068, IF: 1.76)"
6,2025,산업공학,224082210,이흠철,1,0.1722,0.097826,"한국지능정보시스템학회 (NODE12127068, IF: 1.76)"
7,2025,산업공학,189153291,김재경,2,0.153,0.086956,"한국지능정보시스템학회 (NODE12415240, IF: 1.76)
한국지능정보시스템학회 (NODE12415242, IF: 1.76)"
8,2025,산업공학,353040295,오영일,3,0.1459,0.23913099999999998,"한국신뢰성학회 (NODE12118724, IF: 0.61)
한국신뢰성학회 (NODE12118726, IF: 0.61)
한국신뢰성학회 (NODE12394375, IF: 0.61)"
9,2025,산업공학,926582898,문경민,1,0.1459,0.23913099999999998,"한국신뢰성학회 (NODE12394370, IF: 0.61)"
10,2025,산업공학,506923970,박준수,1,0.1459,0.23913099999999998,"한국신뢰성학회 (NODE12394370, IF: 0.61)"
11,2025,산업공학,129265912,한승규,1,0.1459,0.23913099999999998,"한국신뢰성학회 (NODE12394370, IF: 0.61)"
