Year,Class_Name,Top_10_List
2021,건축공학,"이수기 (0.4367)
조미정 (0.3188)
기동환 (0.3089)
어양담 (0.2406)
전희정 (0.1893)
정수영 (0.1893)
이재수 (0.1793)
유해연 (0.176)
양승규 (0.176)
하정원 (0.1744)"
2021,공학 일반,"조성제 (0.2429)
장경오 (0.1821)
장애리 (0.1339)
최효식 (0.1268)
고정훈 (0.1143)
임소희 (0.1107)
박정혜 (0.1)
오은정 (0.0946)
김종임 (0.0929)
송경미 (0.0875)"
2021,기계공학,"김철희 (0.1925)
현승균 (0.099)
양현익 (0.0963)
박형준 (0.0923)
김준성 (0.0923)
윤장혁 (0.089)
이민재 (0.089)
강태원 (0.089)
유현정 (0.081)
남권우 (0.0795)"
2021,기타 공학,"권경주 (0.1236)
이현석 (0.1236)
박준영 (0.1236)
김정화 (0.1127)
곽현준 (0.1091)
김주영 (0.0936)
김주빈 (0.0909)
김진태 (0.0909)
김건욱 (0.0873)
김우진 (0.0873)"
2021,산업공학,"김경목 (0.1837)
최흥식 (0.1837)
조재영 (0.1837)
주지환 (0.1837)
한인구 (0.1837)
박도명 (0.1837)
최형림 (0.1837)
박병권 (0.1837)
김선웅 (0.1837)
최명진 (0.1296)"
2021,재료·에너지공학,"박년배 (0.0661)
심지현 (0.0424)
이종혁 (0.0424)
유성훈 (0.0424)
권기환 (0.0424)
배진석 (0.0424)
장진호 (0.0357)
황도현 (0.0264)
이호진 (0.0248)
박은덕 (0.0248)"
2021,전기전자공학,"장종욱 (0.4768)
장경식 (0.4393)
남충현 (0.4393)
정회경 (0.3849)
박대우 (0.3485)
강대성 (0.3482)
최동규 (0.3267)
신성윤 (0.3146)
장설봉 (0.3065)
김혜원 (0.3065)"
2021,조선해양공학,"Jin Ha Kim (0.0783)
Jae-Sang Jung (0.0783)
Jae Sang Jung (0.0783)
Il-Ryong Park (0.0783)
Jin-Ha Kim (0.0783)
In-Bo Park (0.0783)
Sung-Chul Hwang (0.0783)
박병원 (0.0783)
Yong-Guk Lee (0.0783)
Sung-Jun Jung (0.0783)"
2021,컴퓨터학,"김희숙 (1.1023)
한승철 (1.0706)
임태환 (1.0706)
양인철 (1.0453)
Seungmin Oh (0.992)
김윤 (0.9472)
곽정환 (0.8841)
강재용 (0.8623)
Yeonggwang Kim (0.8271)
이상진 (0.8205)"
2021,화학공학,"이종집 (0.121)
김승영 (0.1084)
박태진 (0.0771)
이경미 (0.0674)
김정환 (0.0626)
홍혜현 (0.0409)
강민성 (0.0409)
심지한 (0.0313)
최병민 (0.0313)
황준호 (0.0313)"
2022,건축공학,"김진영 (0.1965)
장연주 (0.1442)
이수기 (0.1442)
조진균 (0.1423)
송아람 (0.1366)
전희정 (0.1355)
강승엽 (0.1355)
조철호 (0.1355)
허재필 (0.1355)
강서윤 (0.1355)"
2022,공학 일반,"이정민 (0.2152)
김종임 (0.1766)
원희욱 (0.1664)
손해경 (0.1664)
한미현 (0.1644)
홍민희 (0.1421)
유용균 (0.1356)
김윤호 (0.1356)
김병만 (0.1356)
이성옥 (0.1356)"
2022,기계공학,"신현장 (0.0821)
오민재 (0.0783)
구남국 (0.0699)
함승호 (0.0639)
이찬 (0.0613)
마정목 (0.059)
오상진 (0.059)
최혜빈 (0.059)
유상우 (0.059)
이현식 (0.059)"
2022,기타 공학,"김용규 (0.2136)
박채옥 (0.2136)
신영인 (0.2136)
윤용기 (0.2136)
김정태 (0.2136)
김성진 (0.2136)
추상호 (0.1985)
신송현 (0.1985)
장승호 (0.1586)
김덕녕 (0.1572)"
2022,산업공학,"이채록 (0.536)
원종관 (0.536)
홍태호 (0.3542)
권오병 (0.3254)
이경수 (0.3063)
박예린 (0.3063)
신윤종 (0.3063)
손권상 (0.3063)
강은경 (0.2967)
양선욱 (0.2967)"
2022,재료·에너지공학,"박성혁 (0.2169)
차재원 (0.1913)
진상철 (0.1321)
김정기 (0.062)
김영민 (0.0593)
김형섭 (0.0552)
배동화 (0.0512)
유성훈 (0.0456)
심지현 (0.0456)
김예진 (0.0431)"
2022,전기전자공학,"이지형 (0.6996)
강재모 (0.5906)
오하영 (0.5699)
장경식 (0.5589)
남충현 (0.5472)
신영학 (0.5348)
강성환 (0.534)
신요섭 (0.534)
이세훈 (0.534)
박대진 (0.5227)"
2022,조선해양공학,"DooJin Jung (0.0985)
김상현 (0.0985)
이우동 (0.0806)
윤현규 (0.0542)
구원철 (0.0538)
전명준 (0.0448)
WangGook Lee (0.0448)
Sooyeon Kwon (0.0448)
Thi Loan Mai (0.0448)
Anh Khoa Vo (0.0448)"
2022,컴퓨터학,"김동회 (2.3912)
정윤아 (1.5021)
김세하 (1.3861)
송주환 (0.9913)
이상진 (0.9068)
우탁 (0.8477)
민정익 (0.838)
김청원 (0.7897)
박정흠 (0.7737)
정예진 (0.751)"
2022,화학공학,"신현재 (0.0946)
최문희 (0.0473)
오득실 (0.0473)
한인수 (0.0429)
하진욱 (0.0429)
양시열 (0.0429)
심예림 (0.0347)
이나희 (0.0347)
정찬혁 (0.0347)
허성구 (0.0347)"
2023,건축공학,"기서진 (0.3905)
신승구 (0.2821)
홍원화 (0.2711)
이효섭 (0.217)
김재일 (0.217)
장진욱 (0.217)
안용태 (0.217)
박현건 (0.217)
미타 누르하야티 (0.1953)
홍범의 (0.1953)"
