Year,Class_Name,Rank,Author_Name,Final_Score,Total_Papers,Paper_List_Details
2021,건축공학,1,이수기,0.4367,11,"[서울시 생활인구의 시간대별 혼합수준에 영향을 미치는 요인 분석]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[서울시 근린지역 식품환경의 접근성 변화와 식품사막 현상 분석 : 저소득 고령자 밀집 지역을 중심으로]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[서울시 가로경관 이미지에 대한 주관적 인지에 영향을 미치는 가로환경 요인 분석 : Deep Learning 의미론적 분할과 YOLOv3 객체 검출기법을 적용하여]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[COVID-19 확산과 서울시 소상공 매출의 시공간 변화 특성 분석 : 시공간 큐브 모형을 활용하여]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[COVID-19 확산에 따른 통행 수단 선택 변화 분석 : 서울시 사례를 중심으로]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[Google Street View와 딥러닝을 활용한 서울시 녹지 형평성 분석 : NDVI와 가로이미지 기반 녹지 산출방법과의 비교를 중심으로]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[서울시 자전거 교통사고의 물리적 환경요인 분석]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[서울시 근린지역 상업 매출 감소와 회복탄력성 영향 요인 분석 : COVID-19 영향을 중심으로]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[POI 빅데이터를 활용한 도시활동 중심지 도출과 중심지 기능 분석 : 서울 대도시권을 중심으로]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[서울시 POI 빅데이터를 활용한 도시활력과 영향요인 분석]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[보행자 교통사고 심각도 예측을 위한 머신러닝 모형 비교 분석: 보행자 교통사고 자료의 표본 불균형 보정을 중심으로]
   └ 학회: 대한공간정보학회 (IF: 1.07)"
2021,건축공학,2,조미정,0.3188,2,"[도시쇠퇴와 전력사용량과의 상관관계에 관한 연구]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[Analysis on Priority and Importance of Regeneration of Idle Land : Case Study on an Obsolete Sewage Treatment Plant]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)"
2021,건축공학,3,기동환,0.3089,3,"[서울시 가로경관 이미지에 대한 주관적 인지에 영향을 미치는 가로환경 요인 분석 : Deep Learning 의미론적 분할과 YOLOv3 객체 검출기법을 적용하여]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[COVID-19 확산에 따른 통행 수단 선택 변화 분석 : 서울시 사례를 중심으로]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[Google Street View와 딥러닝을 활용한 서울시 녹지 형평성 분석 : NDVI와 가로이미지 기반 녹지 산출방법과의 비교를 중심으로]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)"
2021,건축공학,4,어양담,0.2406,3,"[도로 주변 지역의 CCTV영상을 이용한 야간시간대 미세먼지 농도 추정]
   └ 학회: 한국측량학회 (IF: 0.67)
--------------------------------
[딥러닝에 의한 항공사진 구름 분류 및 탐지 비교 실험]
   └ 학회: 한국측량학회 (IF: 0.67)
--------------------------------
[국내학회지 논문 리뷰를 통한 원격탐사 분야 딥러닝 연구 동향 분석]
   └ 학회: 한국측량학회 (IF: 0.67)"
2021,건축공학,5,남진,0.2325,8,"[Analysis on the Change Pattern and Dynamic Characteristics of Location Centrality in K-REITs’ Underlying Assets Using the Spatial Statistical Model]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[도시회복력(Urban Resilience) 향상을 위한 도시재생]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[Big Data-Based Analysis of Characteristics of Consumption Sales by Region and Age : Focused on Seoul]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[An Analysis of the Changing Influence Factors on the Housing Affordability for One-person Tenant in Seoul]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[포용도시 관점에서 재개발임대주택의 사회적 배제 완화를 위한 요인별 중요도 분석]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[스마트시티 생활서비스의 지역적 특성과 결핍지역 분석 : 서울시 행정동을 중심으로]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[서울시 도시공간 중심성의 변화와 그 요인분석 : 2011년과 2019년을 중심으로]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[A Study on the Socio-spatial Characteristics of the Elderly and the Influence Factors of ‘Aging in Place’ in Seoul : With a Focus on Elderly-concentrated Areas]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)"
2021,건축공학,6,정수영,0.1893,2,"[근린의 경제적 변화에 대한 영향요인과 공간적 상호의존성 : 읍면동 수준의 주택가격 변화를 중심으로]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[보행교통사고 다발지역 예측을 위한 딥러닝의 적용 : 수도권 노인과 어린이 보행교통사고를 중심으로]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)"
2021,건축공학,7,전희정,0.1893,6,"[1인가구의 신체활동 결정요인 : 다수준 모형을 활용한 청년층 및 노년층의 비교연구]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[Spatial Dependence in Local Suicide Ideation and Actual Suicide among the Elderly : A Comparative Study between Men and Women]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[지역출산율의 공간적 상호의존성과 영향요인에 관한 연구 : 공간패널분석을 활용하여]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[근린의 경제적 변화에 대한 영향요인과 공간적 상호의존성 : 읍면동 수준의 주택가격 변화를 중심으로]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[지역 간 건강 불평등의 공간적 분포 : 지역 사망률을 통한 탐색적 연구]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[보행교통사고 다발지역 예측을 위한 딥러닝의 적용 : 수도권 노인과 어린이 보행교통사고를 중심으로]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)"
2021,건축공학,8,이재수,0.1793,2,"[포항지진이 지역 주택 가격에 미친 시 · 공간적 영향 : 아파트 실거래가격에 대한 이중차분법과 다층모형의 적용]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[부동산 감성지수의 주택가격 예측 유용성 : 뉴스기사와 방송뉴스 빅데이터 활용 사례]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)"
2021,건축공학,9,유해연,0.176,4,"[지속가능한 도시재생을 위한 공간복지 리빙랩으로써 SH청년건축가 프로젝트의 가치]
   └ 학회: 대한건축학회 (IF: 0.54)
--------------------------------
[주민참여형 기록화사업을 위한 마을기록단 교육프로그램 연구]
   └ 학회: 대한건축학회 (IF: 0.54)
--------------------------------
[고교학점제 도입에 따른 학교공간혁신사업의 사전기획연구]
   └ 학회: 대한건축학회 (IF: 0.54)
--------------------------------
[주민참여형 ‘골목기록가’ 리빙랩 프로그램 개발 및 효과검증]
   └ 학회: 대한건축학회 (IF: 0.54)"
2021,건축공학,10,양승규,0.176,1,"[도시쇠퇴와 전력사용량과의 상관관계에 관한 연구]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)"
2021,공학 일반,1,조성제,0.2429,14,"[청소년 안녕감이 진로결정 자기효능감에 미치는 영향 및 지역사회자본의 매개효과 -학교부적응 청소년 대상으로-]
   └ 학회: 한국산학기술학회 (IF: 1.0)
--------------------------------
[유아 교사의 사회적 지지 및 마음 챙김이 직무 소진에 미치는 영향]
   └ 학회: 한국산학기술학회 (IF: 1.0)
--------------------------------
[청소년이 지각하는 공감능력, 또래지지가 행복감에 미치는 영향]
   └ 학회: 한국산학기술학회 (IF: 1.0)
--------------------------------
[보육교사의 공감능력 및 교수몰입이 행복감에 미치는 영향]
   └ 학회: 한국산학기술학회 (IF: 1.0)
--------------------------------
[예술심리치료사의 인구사회학적 특성에 따른 마음챙김과 심리적 웰빙의 차이검증]
   └ 학회: 한국산학기술학회 (IF: 1.0)
--------------------------------
[청소년의 감정조절전략이 정서적 불안정성과 스트레스에 미치는 영향]
   └ 학회: 한국산학기술학회 (IF: 1.0)
--------------------------------
[예술심리치료사의 마음챙김이 심리적 웰빙에 미치는 영향]
   └ 학회: 한국산학기술학회 (IF: 1.0)
--------------------------------
[특수 교사의 일터 영성이 교직 적응탄력성과 직무 소진에 미치는 영향]
   └ 학회: 한국산학기술학회 (IF: 1.0)
--------------------------------
[위기청소년의 사회적지지가 대인관계유능성에 미치는 영향 -정서표현성의 매개효과-]
   └ 학회: 한국산학기술학회 (IF: 1.0)
--------------------------------
[예술심리상담사의 자기 효능감이 직무 몰입에 미치는 영향]
   └ 학회: 한국산학기술학회 (IF: 1.0)
--------------------------------
[노인의 예술심리치료 프로그램 인식이 심리적 안녕감과 성공적 노화에 미치는 영향]
   └ 학회: 한국산학기술학회 (IF: 1.0)
--------------------------------
[학교부적응 청소년의 원가족 자아분화가 행복감에 미치는 영향 -정서지능의 매개효과-]
   └ 학회: 한국산학기술학회 (IF: 1.0)
--------------------------------
[보육교사의 행복감이 공감능력과 교수몰입에 미치는 영향]
   └ 학회: 한국산학기술학회 (IF: 1.0)
--------------------------------
[위기청소년의 인구사회학적 특성에 따른 원가족 자아분화와 정서표현성의 차이 검정]
   └ 학회: 한국산학기술학회 (IF: 1.0)"
2021,공학 일반,2,장경오,0.1643,3,"[G시 65세 이상 노인의 사회적 지지, 회피적 대처방식 및 우울이 자살생각에 미치는 영향]
   └ 학회: 한국산학기술학회 (IF: 1.0)
--------------------------------
[일 지역사회 산업장 근로자의 음주형태, 직무스트레스 및 여가만족도가 건강증진행위에 미치는 영향]
   └ 학회: 한국산학기술학회 (IF: 1.0)
--------------------------------
[복지관 이용 노인의 사회적 지지가 회피적 대처방식의 매개효과를 통하여 자살생각에 미치는 영향]
   └ 학회: 한국산학기술학회 (IF: 1.0)"
