Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Total_Trend_Score,Paper_List_Details
1,2021,건축공학,340381600,어양담,3,0.35916600000000004,"[도로 주변 지역의 CCTV영상을 이용한 야간시간대 미세먼지 농도 추정]
   └ 학회: 한국측량학회 (IF: 0.67)
--------------------------------
[딥러닝에 의한 항공사진 구름 분류 및 탐지 비교 실험]
   └ 학회: 한국측량학회 (IF: 0.67)
--------------------------------
[국내학회지 논문 리뷰를 통한 원격탐사 분야 딥러닝 연구 동향 분석]
   └ 학회: 한국측량학회 (IF: 0.67)"
2,2021,건축공학,751385579,이수기,11,0.344406,"[서울시 생활인구의 시간대별 혼합수준에 영향을 미치는 요인 분석]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[서울시 근린지역 식품환경의 접근성 변화와 식품사막 현상 분석 : 저소득 고령자 밀집 지역을 중심으로]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[서울시 가로경관 이미지에 대한 주관적 인지에 영향을 미치는 가로환경 요인 분석 : Deep Learning 의미론적 분할과 YOLOv3 객체 검출기법을 적용하여]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[COVID-19 확산과 서울시 소상공 매출의 시공간 변화 특성 분석 : 시공간 큐브 모형을 활용하여]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[COVID-19 확산에 따른 통행 수단 선택 변화 분석 : 서울시 사례를 중심으로]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[Google Street View와 딥러닝을 활용한 서울시 녹지 형평성 분석 : NDVI와 가로이미지 기반 녹지 산출방법과의 비교를 중심으로]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[서울시 자전거 교통사고의 물리적 환경요인 분석]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[서울시 근린지역 상업 매출 감소와 회복탄력성 영향 요인 분석 : COVID-19 영향을 중심으로]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[POI 빅데이터를 활용한 도시활동 중심지 도출과 중심지 기능 분석 : 서울 대도시권을 중심으로]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[서울시 POI 빅데이터를 활용한 도시활력과 영향요인 분석]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[보행자 교통사고 심각도 예측을 위한 머신러닝 모형 비교 분석: 보행자 교통사고 자료의 표본 불균형 보정을 중심으로]
   └ 학회: 대한공간정보학회 (IF: 1.07)"
3,2021,건축공학,165802960,유해연,4,0.32595599999999997,"[지속가능한 도시재생을 위한 공간복지 리빙랩으로써 SH청년건축가 프로젝트의 가치]
   └ 학회: 대한건축학회 (IF: 0.54)
--------------------------------
[주민참여형 기록화사업을 위한 마을기록단 교육프로그램 연구]
   └ 학회: 대한건축학회 (IF: 0.54)
--------------------------------
[고교학점제 도입에 따른 학교공간혁신사업의 사전기획연구]
   └ 학회: 대한건축학회 (IF: 0.54)
--------------------------------
[주민참여형 ‘골목기록가’ 리빙랩 프로그램 개발 및 효과검증]
   └ 학회: 대한건축학회 (IF: 0.54)"
4,2021,건축공학,106002591,이강석,3,0.28044,"[CSTF 내부접합공법으로 내진보강된 실물 철근콘크리트 골조의 내진성능 평가]
   └ 학회: 대한건축학회 (IF: 0.54)
--------------------------------
[Novel Steel Frame 외부접합공법으로 보강된 2층 철근콘크리트 실물골조의 내진보강효과에 관한 실험적 연구]
   └ 학회: 한국콘크리트학회 (IF: 0.51)
--------------------------------
[콘크리트 건조상태에 따른 정·동탄성계수 및 압축강도 비교]
   └ 학회: 한국콘크리트학회 (IF: 0.51)"
5,2021,건축공학,707197004,최재필,8,0.2706,"[델파이 기법을 통한 노후 공동주택 리모델링 기술타당성 평가지표에 관한 연구 - 수직증축 및 수평확장 리모델링을 중심으로 -]
   └ 학회: 대한건축학회 (IF: 0.54)
--------------------------------
[케냐의 주거용 아파트 단위평면 구조에 나타난 공간 활용변화 연구 - 공간구문론을 활용한 시계열분석을 중심으로 -]
   └ 학회: 대한건축학회 (IF: 0.54)
--------------------------------
[초대형 업무시설 실내 공공공간의 공공성 평가지표 검증 연구 - 아트리움 공간을 중심으로 -]
   └ 학회: 대한건축학회 (IF: 0.54)
--------------------------------
[사회적 혼합아파트의 공간구조와 입주민 간 교류와의 관계에 대한 연구]
   └ 학회: 대한건축학회 (IF: 0.54)
--------------------------------
[BIM기반 3차원 네트워크를 활용한 건축물의 물리적방호체계 정량적 평가시스템 개발]
   └ 학회: 대한건축학회 (IF: 0.54)
--------------------------------
[Empirical Study on Perception of Musically Inspired Architectural Façades - Music and Architecture]
   └ 학회: 대한건축학회 (IF: 0.54)
--------------------------------
[공동주택 리모델링 평면계획 전문가 설계실험 - 평면유형별 리모델링 프로토타입 적용을 중심으로 -]
   └ 학회: 대한건축학회 (IF: 0.54)
--------------------------------
[공동주택 리모델링 초기 평면계획 디자인 프로세스에 관한 연구 - 2베이 평면 유형의 전문가 리모델링 설계 스케치 분석을 중심으로 -]
   └ 학회: 대한건축학회 (IF: 0.54)"
6,2021,건축공학,976888207,원태연,2,0.25092400000000004,"[도로 주변 지역의 CCTV영상을 이용한 야간시간대 미세먼지 농도 추정]
   └ 학회: 한국측량학회 (IF: 0.67)
--------------------------------
[딥러닝에 의한 항공사진 구름 분류 및 탐지 비교 실험]
   └ 학회: 한국측량학회 (IF: 0.67)"
7,2021,건축공학,570782931,조수민,2,0.25092400000000004,"[도로 주변 지역의 CCTV영상을 이용한 야간시간대 미세먼지 농도 추정]
   └ 학회: 한국측량학회 (IF: 0.67)
--------------------------------
[딥러닝에 의한 항공사진 구름 분류 및 탐지 비교 실험]
   └ 학회: 한국측량학회 (IF: 0.67)"
8,2021,건축공학,412460158,송준영,2,0.25092400000000004,"[도로 주변 지역의 CCTV영상을 이용한 야간시간대 미세먼지 농도 추정]
   └ 학회: 한국측량학회 (IF: 0.67)
--------------------------------
[딥러닝에 의한 항공사진 구름 분류 및 탐지 비교 실험]
   └ 학회: 한국측량학회 (IF: 0.67)"
9,2021,건축공학,753724875,조미정,2,0.23616399999999999,"[도시쇠퇴와 전력사용량과의 상관관계에 관한 연구]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[Analysis on Priority and Importance of Regeneration of Idle Land : Case Study on an Obsolete Sewage Treatment Plant]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)"
10,2021,건축공학,888236784,기동환,3,0.22878400000000002,"[서울시 가로경관 이미지에 대한 주관적 인지에 영향을 미치는 가로환경 요인 분석 : Deep Learning 의미론적 분할과 YOLOv3 객체 검출기법을 적용하여]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[COVID-19 확산에 따른 통행 수단 선택 변화 분석 : 서울시 사례를 중심으로]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)
--------------------------------
[Google Street View와 딥러닝을 활용한 서울시 녹지 형평성 분석 : NDVI와 가로이미지 기반 녹지 산출방법과의 비교를 중심으로]
   └ 학회: 대한국토·도시계획학회 (IF: 1.35)"
