Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Total_Trend_Score,Paper_List_Details
1,2022,조선해양공학,882963716,DooJin Jung,3,0.229165,"한국해양공학회 (NODE11149988, IF: 0.43)
한국해양공학회 (NODE11120904, IF: 0.43)
한국해양공학회 (NODE11057561, IF: 0.43)"
2,2022,조선해양공학,483652566,김상현,3,0.229165,"한국해양공학회 (NODE11149988, IF: 0.43)
한국해양공학회 (NODE11120904, IF: 0.43)
한국해양공학회 (NODE11057561, IF: 0.43)"
3,2022,조선해양공학,509619,이우동,3,0.18749800000000003,"한국해양공학회 (NODE11149989, IF: 0.43)
한국해양공학회 (NODE11037380, IF: 0.43)
한국해양공학회 (NODE11080412, IF: 0.43)"
4,2022,조선해양공학,139194176,구원철,3,0.125,"한국해양공학회 (NODE11179307, IF: 0.43)
한국해양공학회 (NODE11120898, IF: 0.43)
한국해양공학회 (NODE11120902, IF: 0.43)"
5,2022,조선해양공학,248851020,윤현규,5,0.12499900000000001,"대한조선학회 (NODE11141808, IF: 0.45)
한국해양공학회 (NODE11080407, IF: 0.43)
한국해양공학회 (NODE11080408, IF: 0.43)
대한조선학회 (NODE11171208, IF: 0.45)
대한조선학회 (NODE11139455, IF: 0.45)"
6,2022,조선해양공학,474528099,전명준,2,0.10416600000000001,"대한조선학회 (NODE11141808, IF: 0.45)
한국해양공학회 (NODE11080407, IF: 0.43)"
7,2022,조선해양공학,634455822,WangGook Lee,2,0.10416600000000001,"한국해양공학회 (NODE11120904, IF: 0.43)
한국해양공학회 (NODE11057561, IF: 0.43)"
8,2022,조선해양공학,435157407,Sooyeon Kwon,2,0.10416600000000001,"한국해양공학회 (NODE11120904, IF: 0.43)
한국해양공학회 (NODE11057561, IF: 0.43)"
9,2022,조선해양공학,786940861,Thi Loan Mai,1,0.10416600000000001,"한국해양공학회 (NODE11080407, IF: 0.43)"
10,2022,조선해양공학,456215456,Anh Khoa Vo,1,0.10416600000000001,"한국해양공학회 (NODE11080407, IF: 0.43)"
11,2022,조선해양공학,662171864,Hyen-Cheol Jung,2,0.083333,"한국해양공학회 (NODE11120898, IF: 0.43)
한국해양공학회 (NODE11120902, IF: 0.43)"
12,2022,조선해양공학,581361695,Gi Su Song,1,0.083333,"한국해양공학회 (NODE11179303, IF: 0.43)"
13,2022,조선해양공학,205825008,Seung Jae Lee,1,0.083333,"한국해양공학회 (NODE11179303, IF: 0.43)"
14,2022,조선해양공학,912400050,Ju Sung Kim,1,0.083333,"한국해양공학회 (NODE11179303, IF: 0.43)"
15,2022,조선해양공학,956724384,Hyunjai Yang,1,0.083333,"한국해양공학회 (NODE11120902, IF: 0.43)"
16,2022,조선해양공학,223258892,권용주,2,0.07291600000000001,"한국해양공학회 (NODE11149989, IF: 0.43)
한국해양공학회 (NODE11179306, IF: 0.43)"
17,2022,조선해양공학,375068958,김종영,2,0.07291600000000001,"한국해양공학회 (NODE11149989, IF: 0.43)
한국해양공학회 (NODE11179306, IF: 0.43)"
18,2022,조선해양공학,188726907,Byeonggug Kang,2,0.07291600000000001,"한국해양공학회 (NODE11149989, IF: 0.43)
한국해양공학회 (NODE11179306, IF: 0.43)"
19,2022,조선해양공학,455893555,권순철,2,0.07291600000000001,"한국해양공학회 (NODE11149989, IF: 0.43)
한국해양공학회 (NODE11179306, IF: 0.43)"
20,2022,조선해양공학,897943563,Taeyoon Kim,1,0.07291600000000001,"한국해양공학회 (NODE11149989, IF: 0.43)"
21,2022,조선해양공학,483016004,Taeyoon Kim,1,0.07291600000000001,"한국해양공학회 (NODE11080412, IF: 0.43)"
22,2022,조선해양공학,319991855,Hyun-Seung Nam,1,0.0625,"한국해양공학회 (NODE11037379, IF: 0.43)"
23,2022,조선해양공학,456370042,박동민,1,0.0625,"한국해양공학회 (NODE11037379, IF: 0.43)"
24,2022,조선해양공학,564142488,Seok Kyu Cho,1,0.0625,"한국해양공학회 (NODE11037379, IF: 0.43)"
25,2022,조선해양공학,930269064,Sa Young Hong,1,0.0625,"한국해양공학회 (NODE11037379, IF: 0.43)"
26,2022,조선해양공학,569051563,최윤락,2,0.041667,"한국해양공학회 (NODE11057563, IF: 0.43)
한국해양공학회 (NODE11057568, IF: 0.43)"
27,2022,조선해양공학,320264748,Hongbhin Kim,1,0.041667,"한국해양공학회 (NODE11179307, IF: 0.43)"
28,2022,조선해양공학,554775938,민은홍,1,0.041667,"한국해양공학회 (NODE11179307, IF: 0.43)"
29,2022,조선해양공학,349200177,허상환,1,0.041667,"한국해양공학회 (NODE11179307, IF: 0.43)"
30,2022,조선해양공학,440088046,허경욱,1,0.041667,"한국해양공학회 (NODE11057568, IF: 0.43)"
31,2022,조선해양공학,608418572,남보우,2,0.041666,"한국해양공학회 (NODE11037381, IF: 0.43)
대한조선학회 (NODE11050380, IF: 0.45)"
32,2022,조선해양공학,284435364,Minjang Seo,1,0.041666,"한국해양공학회 (NODE11037380, IF: 0.43)"
