Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Total_Trend_Score,Paper_List_Details
1,2022,컴퓨터학,329291404,김동회,4,1.6156760000000001,"한국디지털콘텐츠학회 (NODE11124190, IF: 1.48)
한국디지털콘텐츠학회 (NODE11138387, IF: 1.48)
한국디지털콘텐츠학회 (NODE11068881, IF: 1.48)
한국디지털콘텐츠학회 (NODE11032258, IF: 1.48)"
2,2022,컴퓨터학,562214,이상진,23,1.401117,"한국디지털포렌식학회 (NODE11194997, IF: 0.65)
한국디지털포렌식학회 (NODE11194998, IF: 0.65)
한국디지털포렌식학회 (NODE11195000, IF: 0.65)
한국디지털포렌식학회 (NODE11195002, IF: 0.65)
한국디지털포렌식학회 (NODE11195003, IF: 0.65)
한국디지털포렌식학회 (NODE11195005, IF: 0.65)
한국정보보호학회 (NODE11149702, IF: 0.39)
한국정보보호학회 (NODE11149727, IF: 0.39)
한국정보보호학회 (NODE11078536, IF: 0.39)
한국정보보호학회 (NODE11179202, IF: 0.39)
한국디지털포렌식학회 (NODE11144237, IF: 0.65)
한국디지털포렌식학회 (NODE11144239, IF: 0.65)
한국디지털포렌식학회 (NODE11144240, IF: 0.65)
한국디지털포렌식학회 (NODE11144249, IF: 0.65)
한국디지털포렌식학회 (NODE11052956, IF: 0.65)
한국디지털포렌식학회 (NODE11052960, IF: 0.65)
한국디지털포렌식학회 (NODE11052963, IF: 0.65)
한국디지털포렌식학회 (NODE11083146, IF: 0.65)
한국디지털포렌식학회 (NODE11083148, IF: 0.65)
한국디지털포렌식학회 (NODE11083150, IF: 0.65)
한국디지털포렌식학회 (NODE11083154, IF: 0.65)
한국디지털포렌식학회 (NODE11083155, IF: 0.65)
한국디지털포렌식학회 (NODE11083156, IF: 0.65)"
3,2022,컴퓨터학,905262820,박정흠,13,1.190296,"한국디지털포렌식학회 (NODE11194997, IF: 0.65)
한국디지털포렌식학회 (NODE11194998, IF: 0.65)
한국디지털포렌식학회 (NODE11195000, IF: 0.65)
한국디지털포렌식학회 (NODE11195002, IF: 0.65)
한국디지털포렌식학회 (NODE11195003, IF: 0.65)
한국디지털포렌식학회 (NODE11195005, IF: 0.65)
한국디지털포렌식학회 (NODE11195007, IF: 0.65)
한국디지털포렌식학회 (NODE11195008, IF: 0.65)
한국정보보호학회 (NODE11179202, IF: 0.39)
한국디지털포렌식학회 (NODE11144237, IF: 0.65)
한국디지털포렌식학회 (NODE11144239, IF: 0.65)
한국디지털포렌식학회 (NODE11144240, IF: 0.65)
한국디지털포렌식학회 (NODE11083148, IF: 0.65)"
4,2022,컴퓨터학,855191866,정윤아,2,1.014928,"한국디지털콘텐츠학회 (NODE11124190, IF: 1.48)
한국디지털콘텐츠학회 (NODE11068881, IF: 1.48)"
5,2022,컴퓨터학,867140693,김세하,2,0.93657,"한국디지털콘텐츠학회 (NODE11124190, IF: 1.48)
한국디지털콘텐츠학회 (NODE11138387, IF: 1.48)"
6,2022,컴퓨터학,484740911,김윤,3,0.7677269999999999,"한국컴퓨터정보학회 (NODE11057126, IF: 0.69)
한국컴퓨터정보학회 (NODE11184102, IF: 0.69)
한국컴퓨터정보학회 (NODE11184103, IF: 0.69)"
7,2022,컴퓨터학,339959292,김명호,2,0.703359,"한국컴퓨터정보학회 (NODE11067163, IF: 0.69)
한국컴퓨터정보학회 (NODE11067164, IF: 0.69)"
8,2022,컴퓨터학,899183614,송주환,3,0.6697799999999999,"한국디지털콘텐츠학회 (NODE11104914, IF: 1.48)
한국디지털콘텐츠학회 (NODE11138389, IF: 1.48)
한국디지털콘텐츠학회 (NODE11051367, IF: 1.48)"
9,2022,컴퓨터학,225666981,최계원,3,0.6669799999999999,"Korean Institute of Information Scientists and Engineers (NODE11034386, IF: 0.00)
Korean Institute of Information Scientists and Engineers (NODE11076066, IF: 0.00)
Korean Institute of Information Scientists and Engineers (NODE11063212, IF: 0.00)"
10,2022,컴퓨터학,252339,박상현,7,0.607276,"한국디지털콘텐츠학회 (NODE11183538, IF: 1.48)
Korean Institute of Information Scientists and Engineers (NODE11052803, IF: 0.00)
Korean Institute of Information Scientists and Engineers (NODE11052813, IF: 0.00)
Korean Institute of Information Scientists and Engineers (NODE11052814, IF: 0.00)
Korean Institute of Information Scientists and Engineers (NODE11158131, IF: 0.00)
Korean Institute of Information Scientists and Engineers (NODE11076056, IF: 0.00)
한국디지털콘텐츠학회 (NODE11166159, IF: 1.48)"
