Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Total_Trend_Score,Paper_List_Details
1,2022,화학공학,551836436,김봉훈,2,0.276498,"[[특집에 부쳐] 3차원 고분자 소재 및 소자]
   └ 학회: 한국고분자학회 (IF: 0.31)
--------------------------------
[늘어나는 기판과 기계적 박리공정을 이용한 3차원 고분자 소자]
   └ 학회: 한국고분자학회 (IF: 0.31)"
2,2022,화학공학,742728816,신현재,4,0.165906,"[Castanopsis cuspidata var. sieboldii 잎 추출물의 생리 활성 평가 및 폴리페놀 화합물 분리]
   └ 학회: 한국생물공학회 (IF: 0.57)
--------------------------------
[Castanopsis cuspidata var. sieboldii 잎 추출물의 생리 활성 평가 및 폴리페놀 화합물 분리]
   └ 학회: 한국생물공학회 (IF: 0.57)
--------------------------------
[Camellia japonica 덖음 잎 추출물의 항산화 활성 및 피부질환 유발균 저해 효과]
   └ 학회: 한국생물공학회 (IF: 0.57)
--------------------------------
[Camellia japonica 덖음 잎 추출물의 항산화 활성 및 피부질환 유발균 저해 효과]
   └ 학회: 한국생물공학회 (IF: 0.57)"
3,2022,화학공학,579343690,한인수,2,0.138249,"[소프트 스킨의 표면 긁힘손상 형태 분석 및 시험법 연구]
   └ 학회: 한국고분자학회 (IF: 0.31)
--------------------------------
[전도성 필러의 구조에 따른 고분자 복합체의 전기적 특성비교]
   └ 학회: 한국고분자학회 (IF: 0.31)"
4,2022,화학공학,127812520,하진욱,2,0.138249,"[자동차 연료 호스용 고무의 수명 예측]
   └ 학회: 한국고분자학회 (IF: 0.31)
--------------------------------
[전도성 필러의 구조에 따른 고분자 복합체의 전기적 특성비교]
   └ 학회: 한국고분자학회 (IF: 0.31)"
5,2022,화학공학,534862020,김재홍,2,0.138249,"[[특집에 부쳐] 바이오메디컬용 고분자를 이용한 헬스케어 플랫폼]
   └ 학회: 한국고분자학회 (IF: 0.31)
--------------------------------
[2차원 고분자 다가 스캐폴드를 이용한 질병 진단 및 치료]
   └ 학회: 한국고분자학회 (IF: 0.31)"
6,2022,화학공학,588649317,진형민,1,0.138249,"[[특집에 부쳐] 3차원 고분자 소재 및 소자]
   └ 학회: 한국고분자학회 (IF: 0.31)"
7,2022,화학공학,266287134,안창의,1,0.138249,"[차세대 디스플레이용 고성능 3차원 고분자 복합소재]
   └ 학회: 한국고분자학회 (IF: 0.31)"
8,2022,화학공학,785271884,배광민,1,0.138249,"[차세대 디스플레이용 고성능 3차원 고분자 복합소재]
   └ 학회: 한국고분자학회 (IF: 0.31)"
9,2022,화학공학,499660230,전석우,1,0.138249,"[차세대 디스플레이용 고성능 3차원 고분자 복합소재]
   └ 학회: 한국고분자학회 (IF: 0.31)"
10,2022,화학공학,930833463,이수언,1,0.138249,"[늘어나는 기판과 기계적 박리공정을 이용한 3차원 고분자 소자]
   └ 학회: 한국고분자학회 (IF: 0.31)"
