Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Total_Trend_Score,Paper_List_Details
1,2023,기계공학,2260203,이재선,5,0.325098,"한국비파괴검사학회 (NODE11218782, IF: 0.41)
한국비파괴검사학회 (NODE11561817, IF: 0.41)
한국기계가공학회 (NODE11463901, IF: 0.31)
한국비파괴검사학회 (NODE11444162, IF: 0.41)
한국비파괴검사학회 (NODE11509924, IF: 0.41)"
2,2023,기계공학,860751403,박준필,4,0.325098,"한국비파괴검사학회 (NODE11218782, IF: 0.41)
한국비파괴검사학회 (NODE11561817, IF: 0.41)
한국비파괴검사학회 (NODE11444162, IF: 0.41)
한국비파괴검사학회 (NODE11509924, IF: 0.41)"
3,2023,기계공학,913910256,조수용,4,0.31027699999999997,"한국동력기계공학회 (NODE11405731, IF: 0.33)
한국유체기계학회 (NODE11620937, IF: 0.29)
한국동력기계공학회 (NODE11217269, IF: 0.33)
한국동력기계공학회 (NODE11560215, IF: 0.33)"
4,2023,기계공학,241845371,조종현,2,0.30335999999999996,"한국동력기계공학회 (NODE11217269, IF: 0.33)
한국동력기계공학회 (NODE11560215, IF: 0.33)"
5,2023,기계공학,604840310,Yasuyuki Nishi,4,0.28853799999999996,"한국유체기계학회 (NODE11681150, IF: 0.29)
한국유체기계학회 (NODE11395903, IF: 0.29)
한국유체기계학회 (NODE11395904, IF: 0.29)
한국유체기계학회 (NODE11395908, IF: 0.29)"
6,2023,기계공학,121744429,강율호,3,0.283597,"한국동력기계공학회 (NODE11217274, IF: 0.33)
대한설비공학회 (NODE11556741, IF: 0.26)
대한설비공학회 (NODE11404364, IF: 0.26)"
7,2023,기계공학,857801302,안영철,3,0.283597,"한국동력기계공학회 (NODE11217274, IF: 0.33)
대한설비공학회 (NODE11556741, IF: 0.26)
대한설비공학회 (NODE11404364, IF: 0.26)"
8,2023,기계공학,662599109,송해은,2,0.283597,"한국동력기계공학회 (NODE11217274, IF: 0.33)
대한설비공학회 (NODE11404364, IF: 0.26)"
9,2023,기계공학,134108699,우상무,1,0.283597,"한국동력기계공학회 (NODE11217274, IF: 0.33)"
10,2023,기계공학,857428705,지상원,4,0.27668,"대한기계학회 (NODE11622470, IF: 0.36)
한국수소및신에너지학회 (NODE11644825, IF: 0.62)
한국동력기계공학회 (NODE11508723, IF: 0.33)
한국수소및신에너지학회 (NODE11556965, IF: 0.62)"
11,2023,기계공학,351808493,장호성,1,0.27668,"한국동력기계공학회 (NODE11508723, IF: 0.33)"
12,2023,기계공학,428108722,유용균,4,0.198617,"한국비파괴검사학회 (NODE11218783, IF: 0.41)
한국비파괴검사학회 (NODE11218787, IF: 0.41)
한국비파괴검사학회 (NODE11654384, IF: 0.41)
한국비파괴검사학회 (NODE11654386, IF: 0.41)"
13,2023,기계공학,530356855,김동욱,4,0.187747,"(사)한국CDE학회 (NODE11419385, IF: 1.01)
(사)한국CDE학회 (NODE11419386, IF: 1.01)
(사)한국CDE학회 (NODE11419386, IF: 1.01)
(사)한국CDE학회 (NODE11419389, IF: 1.01)"
14,2023,기계공학,864402173,임태우,2,0.162055,"한국마린엔지니어링학회 (NODE11511741, IF: 0.23)
한국마린엔지니어링학회 (NODE11511743, IF: 0.23)"
