Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Total_Trend_Score,Paper_List_Details
1,2024,산업공학,413082553,최병호,2,0.41888000000000003,"[K계열 전차를 위한 적응적 수리부속 수요예측 시스템]
   └ 학회: 한국신뢰성학회 (IF: 0.61)
--------------------------------
[전기도금 공정의 지능화를 위한 생산품질 예측 모형 및 공정 조건 최적화]
   └ 학회: 한국신뢰성학회 (IF: 0.61)"
2,2024,산업공학,795981017,김민규,2,0.41888000000000003,"[K계열 전차를 위한 적응적 수리부속 수요예측 시스템]
   └ 학회: 한국신뢰성학회 (IF: 0.61)
--------------------------------
[전기도금 공정의 지능화를 위한 생산품질 예측 모형 및 공정 조건 최적화]
   └ 학회: 한국신뢰성학회 (IF: 0.61)"
3,2024,산업공학,556250185,김흥섭,2,0.41888000000000003,"[K계열 전차를 위한 적응적 수리부속 수요예측 시스템]
   └ 학회: 한국신뢰성학회 (IF: 0.61)
--------------------------------
[전기도금 공정의 지능화를 위한 생산품질 예측 모형 및 공정 조건 최적화]
   └ 학회: 한국신뢰성학회 (IF: 0.61)"
4,2024,산업공학,649168521,Mehmet Mustafa Özalp,1,0.224189,"[Prescriptive Analytics in Retail: Joint Price and Transshipment Optimization]
   └ 학회: 대한산업공학회 (IF: 0.42)"
5,2024,산업공학,538419008,Mehmet Bülent Durmuşoğlu,1,0.224189,"[Prescriptive Analytics in Retail: Joint Price and Transshipment Optimization]
   └ 학회: 대한산업공학회 (IF: 0.42)"
6,2024,산업공학,783960589,김용수,2,0.21239,"[단기간 고장 데이터를 활용한 1차원 합성곱 오토인코더 기반 장기간 고장 수 예측]
   └ 학회: 한국신뢰성학회 (IF: 0.61)
--------------------------------
[운용 환경을 고려한 우발고장확률의 통계적 추정]
   └ 학회: 대한산업공학회 (IF: 0.42)"
7,2024,산업공학,885122490,이주현,1,0.21239,"[K계열 전차를 위한 적응적 수리부속 수요예측 시스템]
   └ 학회: 한국신뢰성학회 (IF: 0.61)"
8,2024,산업공학,624781855,심효섭,1,0.21239,"[K계열 전차를 위한 적응적 수리부속 수요예측 시스템]
   └ 학회: 한국신뢰성학회 (IF: 0.61)"
9,2024,산업공학,803014162,김동후,1,0.21239,"[K계열 전차를 위한 적응적 수리부속 수요예측 시스템]
   └ 학회: 한국신뢰성학회 (IF: 0.61)"
10,2024,산업공학,558267011,Minkyu Lee,1,0.21239,"[Evaluation of Text Classification Methods for Small Labeled Korean Datasets Using Multiple-Criteria Decision-making Methods]
   └ 학회: 대한산업공학회 (IF: 0.42)"
11,2024,산업공학,606433198,Namhyoung Kim,1,0.21239,"[Evaluation of Text Classification Methods for Small Labeled Korean Datasets Using Multiple-Criteria Decision-making Methods]
   └ 학회: 대한산업공학회 (IF: 0.42)"
12,2024,산업공학,288697308,권상지,2,0.20649,"[3D 애셋 관리에서의 멀티모달 기반 감성 분석을 위한 LLaVA 및 VisualBERT 기반의 감성값 대치 방법]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)
--------------------------------
[수입식품 위해 요소 예측 성능 고도화를 위한 RASFF 데이터 통합 모델]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)"
13,2024,산업공학,422934492,이은서,2,0.20649,"[3D 애셋 관리에서의 멀티모달 기반 감성 분석을 위한 LLaVA 및 VisualBERT 기반의 감성값 대치 방법]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)
--------------------------------
[수입식품 위해 요소 예측 성능 고도화를 위한 RASFF 데이터 통합 모델]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)"
14,2024,산업공학,123366483,권오병,2,0.20649,"[3D 애셋 관리에서의 멀티모달 기반 감성 분석을 위한 LLaVA 및 VisualBERT 기반의 감성값 대치 방법]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)
--------------------------------
[수입식품 위해 요소 예측 성능 고도화를 위한 RASFF 데이터 통합 모델]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)"
15,2024,산업공학,783463407,김성목,2,0.20649,"[1차원 합성곱 오토인코더와 회귀 모델을 결합한 항공기 엔진의 잔여유효수명 예측]
   └ 학회: 한국신뢰성학회 (IF: 0.61)
--------------------------------
[단기간 고장 데이터를 활용한 1차원 합성곱 오토인코더 기반 장기간 고장 수 예측]
   └ 학회: 한국신뢰성학회 (IF: 0.61)"
16,2024,산업공학,527390672,배환석,1,0.20649,"[자사주 취득에 대한 기업의 전략적 행동 이해: 클러스터링 방법 적용]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)"
17,2024,산업공학,174267410,김진수,1,0.20649,"[자사주 취득에 대한 기업의 전략적 행동 이해: 클러스터링 방법 적용]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)"
18,2024,산업공학,433563432,양성병,1,0.20649,"[자사주 취득에 대한 기업의 전략적 행동 이해: 클러스터링 방법 적용]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)"
19,2024,산업공학,749634,김태경,1,0.20649,"[자사주 취득에 대한 기업의 전략적 행동 이해: 클러스터링 방법 적용]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)"
20,2024,산업공학,340907,김지혁,1,0.20649,"[정형 비즈니스 데이터를 사용한 모델 학습에서의 탄소 배출량 비교]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)"
21,2024,산업공학,687625912,장청롱,1,0.20649,"[정형 비즈니스 데이터를 사용한 모델 학습에서의 탄소 배출량 비교]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)"
22,2024,산업공학,667076068,박웅,1,0.20649,"[정형 비즈니스 데이터를 사용한 모델 학습에서의 탄소 배출량 비교]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)"
23,2024,산업공학,434727604,Amirhossein Danesh,1,0.20649,"[Integrating Digital Twin Technology with Dynamic Ensemble Learning for Sepsis Prediction in Intensive Care Units]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)"
24,2024,산업공학,142611207,Firuz Juraev,1,0.20649,"[Integrating Digital Twin Technology with Dynamic Ensemble Learning for Sepsis Prediction in Intensive Care Units]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)"
25,2024,산업공학,926686881,Shaker El-Sappagh,1,0.20649,"[Integrating Digital Twin Technology with Dynamic Ensemble Learning for Sepsis Prediction in Intensive Care Units]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)"
26,2024,산업공학,227672364,Tamer Abuhmed,1,0.20649,"[Integrating Digital Twin Technology with Dynamic Ensemble Learning for Sepsis Prediction in Intensive Care Units]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)"
27,2024,산업공학,932682248,문혜정,1,0.20649,"[머신러닝 기반 한국 임야 공매의 낙찰가격 예측]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)"
28,2024,산업공학,216582951,조남욱,1,0.20649,"[머신러닝 기반 한국 임야 공매의 낙찰가격 예측]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)"
29,2024,산업공학,254258928,이다현,1,0.20649,"[수입식품 위해 요소 예측 성능 고도화를 위한 RASFF 데이터 통합 모델]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)"
30,2024,산업공학,787407740,이정오,1,0.20649,"[단기간 고장 데이터를 활용한 1차원 합성곱 오토인코더 기반 장기간 고장 수 예측]
   └ 학회: 한국신뢰성학회 (IF: 0.61)"
31,2024,산업공학,129806812,장호준,1,0.20649,"[공공데이터와 설명가능한 AI 기법을 활용한 자영업 상권 분석과 장기 생존 예측]
   └ 학회: 대한산업공학회 (IF: 0.42)"
32,2024,산업공학,556272742,이기환,1,0.20649,"[공공데이터와 설명가능한 AI 기법을 활용한 자영업 상권 분석과 장기 생존 예측]
   └ 학회: 대한산업공학회 (IF: 0.42)"
33,2024,산업공학,468013668,이희상,1,0.20649,"[공공데이터와 설명가능한 AI 기법을 활용한 자영업 상권 분석과 장기 생존 예측]
   └ 학회: 대한산업공학회 (IF: 0.42)"
34,2024,산업공학,103190911,강필성,2,0.15929100000000002,"[비지도 학습 기반 가짜뉴스 생성 프레임워크 개발 및 데이터셋 품질 평가 지표의 효과성 연구]
   └ 학회: 대한산업공학회 (IF: 0.42)
--------------------------------
[FT-LLM: 축구 산업의 데이터 분석 지원을 위한 Retrieval 증강 생성 기반의 언어 모델 프레임워크 개발]
   └ 학회: 대한산업공학회 (IF: 0.42)"
35,2024,산업공학,520735579,김우주,6,0.129792,"[수어 번역을 위한 글로스 분절방법 연구]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)
--------------------------------
[Knowledge-Augmented Prompting Noise 필터링 전략 : Large Language Models을 활용한 KGQA의 성능 향상을 중심으로]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)
--------------------------------
[RGQA: Reasoning Guideline을 활용한 LLM 기반 KGQA]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)
--------------------------------
[Text-to-Gloss를 위한 사전학습 언어모델 단어사전 제어 연구]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)
--------------------------------
[멀티스케일 특성을 활용한 비전 트랜스포머 기반 딥페이크 탐지에 관한 연구]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)
--------------------------------
[사전 학습된 문장 병목 오토인코더를 활용한 텍스트 분류를 위한 원-샷 반지도 연합 학습 접근법]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)"
36,2024,산업공학,972605628,이형용,5,0.12389200000000002,"[A study on the effects of safety management practices on safety behavior mediated by safety knowledge and safety motivation: Focused on South Korea’s Manufacturing Industries]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)
--------------------------------
[이직의도에 영향을 미치는 업무자율성에 대한 연구: 외식프랜차이즈 중심으로]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)
--------------------------------
[직무자율성과 잡크래프팅이 직무만족, 직무성과 및 이직의도에 미치는 영향: MZ세대와 이직경험을 중심으로]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)
--------------------------------
[ESG 평가등급이 재무성과에 미치는 영향: 기업규모의 조절효과를 중심으로]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)
--------------------------------
[지식기반 긱워커의 프로티언 경력태도와 무경계 경력태도가 고용가능성에 미치는 영향]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)"
37,2024,산업공학,388354192,홍민상,2,0.12389200000000002,"[이직의도에 영향을 미치는 업무자율성에 대한 연구: 외식프랜차이즈 중심으로]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)
--------------------------------
[직무자율성과 잡크래프팅이 직무만족, 직무성과 및 이직의도에 미치는 영향: MZ세대와 이직경험을 중심으로]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)"
38,2024,산업공학,911243546,김재경,6,0.11504400000000001,"[컨텍스트 정보의 속성 중요도를 고려한 딥러닝 기반 추천 모델 성능 향상에 관한 연구]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)
--------------------------------
[리뷰 일관성을 이용한 BERT-CNN 기반 리뷰 유용성 예측 모델 개발]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)
--------------------------------
[사용자의 세부적인 특성을 반영한 BERT 기반 호텔 추천 시스템 개발]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)
--------------------------------
[아이템과의 관련성을 고려한 리뷰 기반 추천 시스템 개발]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)
--------------------------------
[정교하게 추출한 사용자 및 아이템 특성을 이용한 리뷰 기반 추천 시스템]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)
--------------------------------
[딥러닝 기반의 기업 추천의도 예측: 한국과 미국 취업 플랫폼 데이터를 활용한 CNN-BiLSTM 분석]
   └ 학회: 한국지능정보시스템학회 (IF: 1.76)"
