Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Total_Trend_Score,Paper_List_Details
1,2025,공학 일반,413760039,최석현,12,0.34041600000000005,"한국산학기술학회 (NODE12295881, IF: 0.94)
한국산학기술학회 (NODE12295900, IF: 0.94)
한국산학기술학회 (NODE12341792, IF: 0.94)
한국산학기술학회 (NODE12341814, IF: 0.94)
한국산학기술학회 (NODE12406218, IF: 0.94)
한국산학기술학회 (NODE12267722, IF: 0.94)
한국산학기술학회 (NODE12267756, IF: 0.94)
한국산학기술학회 (NODE12433326, IF: 0.94)
한국산학기술학회 (NODE12147681, IF: 0.94)
한국산학기술학회 (NODE12210579, IF: 0.94)
한국산학기술학회 (NODE12210584, IF: 0.94)
한국산학기술학회 (NODE12406272, IF: 0.94)"
2,2025,공학 일반,790780728,박철환,9,0.25885800000000003,"한국산학기술학회 (NODE12341792, IF: 0.94)
한국산학기술학회 (NODE12341814, IF: 0.94)
한국산학기술학회 (NODE12406218, IF: 0.94)
한국산학기술학회 (NODE12267722, IF: 0.94)
한국산학기술학회 (NODE12147666, IF: 0.94)
한국산학기술학회 (NODE12147681, IF: 0.94)
한국산학기술학회 (NODE12210579, IF: 0.94)
한국산학기술학회 (NODE12210584, IF: 0.94)
한국산학기술학회 (NODE12406272, IF: 0.94)"
3,2025,공학 일반,921291451,박동진,5,0.20567399999999997,"한국산학기술학회 (NODE12038765, IF: 0.94)
한국산학기술학회 (NODE12210561, IF: 0.94)
한국산학기술학회 (NODE12210587, IF: 0.94)
한국산학기술학회 (NODE12119665, IF: 0.94)
한국산학기술학회 (NODE12482001, IF: 0.94)"
4,2025,공학 일반,910088337,조성제,7,0.20035400000000003,"한국산학기술학회 (NODE12119678, IF: 0.94)
한국산학기술학회 (NODE12119718, IF: 0.94)
한국산학기술학회 (NODE12295877, IF: 0.94)
한국산학기술학회 (NODE12341839, IF: 0.94)
한국산학기술학회 (NODE12084013, IF: 0.94)
한국산학기술학회 (NODE12210606, IF: 0.94)
한국산학기술학회 (NODE12038786, IF: 0.94)"
5,2025,공학 일반,510661186,김신향,4,0.186169,"한국산학기술학회 (NODE12341804, IF: 0.94)
한국산학기술학회 (NODE12341837, IF: 0.94)
한국산학기술학회 (NODE12406216, IF: 0.94)
한국산학기술학회 (NODE12406247, IF: 0.94)"
6,2025,공학 일반,778908925,김성봉,7,0.16312,"한국산학기술학회 (NODE12119692, IF: 0.94)
한국산학기술학회 (NODE12406223, IF: 0.94)
한국산학기술학회 (NODE12084010, IF: 0.94)
한국산학기술학회 (NODE12433359, IF: 0.94)
한국산학기술학회 (NODE12147639, IF: 0.94)
한국산학기술학회 (NODE12210581, IF: 0.94)
한국산학기술학회 (NODE12038744, IF: 0.94)"
7,2025,공학 일반,488852589,마정목,8,0.16134700000000002,"한국산학기술학회 (NODE12084035, IF: 0.94)
한국산학기술학회 (NODE12119684, IF: 0.94)
한국산학기술학회 (NODE12295923, IF: 0.94)
한국산학기술학회 (NODE12341790, IF: 0.94)
한국산학기술학회 (NODE12341801, IF: 0.94)
한국산학기술학회 (NODE12267745, IF: 0.94)
한국산학기술학회 (NODE12267749, IF: 0.94)
한국산학기술학회 (NODE12295866, IF: 0.94)"
8,2025,공학 일반,411068809,김종임,2,0.15248099999999998,"한국산학기술학회 (NODE12341807, IF: 0.94)
한국산학기술학회 (NODE12267690, IF: 0.94)"
9,2025,공학 일반,840621806,김수현,2,0.14539000000000002,"한국산학기술학회 (NODE12147646, IF: 0.94)
한국산학기술학회 (NODE12406262, IF: 0.94)"
10,2025,공학 일반,133192823,이승록,2,0.14539000000000002,"한국산학기술학회 (NODE12147646, IF: 0.94)
한국산학기술학회 (NODE12406262, IF: 0.94)"
