Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Total_Trend_Score,Paper_List_Details
1,2025,기타 공학,423247463,홍응표,8,0.140684,"한국재활복지공학회 (NODE12214150, IF: 0.39)
한국재활복지공학회 (NODE12214153, IF: 0.39)
한국재활복지공학회 (NODE12346907, IF: 0.39)
한국재활복지공학회 (NODE12346910, IF: 0.39)
한국재활복지공학회 (NODE12094370, IF: 0.39)
한국재활복지공학회 (NODE12094371, IF: 0.39)
한국재활복지공학회 (NODE12094372, IF: 0.39)
한국재활복지공학회 (NODE12482374, IF: 0.39)"
2,2025,기타 공학,857276134,김용철,8,0.140684,"한국재활복지공학회 (NODE12214150, IF: 0.39)
한국재활복지공학회 (NODE12214153, IF: 0.39)
한국재활복지공학회 (NODE12346907, IF: 0.39)
한국재활복지공학회 (NODE12346910, IF: 0.39)
한국재활복지공학회 (NODE12094370, IF: 0.39)
한국재활복지공학회 (NODE12094371, IF: 0.39)
한국재활복지공학회 (NODE12094372, IF: 0.39)
한국재활복지공학회 (NODE12482374, IF: 0.39)"
3,2025,기타 공학,873614742,장대진,7,0.140684,"한국재활복지공학회 (NODE12214153, IF: 0.39)
한국재활복지공학회 (NODE12346907, IF: 0.39)
한국재활복지공학회 (NODE12346910, IF: 0.39)
한국재활복지공학회 (NODE12094370, IF: 0.39)
한국재활복지공학회 (NODE12094371, IF: 0.39)
한국재활복지공학회 (NODE12094372, IF: 0.39)
한국재활복지공학회 (NODE12482374, IF: 0.39)"
4,2025,기타 공학,507644452,남기태,7,0.140684,"한국재활복지공학회 (NODE12214153, IF: 0.39)
한국재활복지공학회 (NODE12346907, IF: 0.39)
한국재활복지공학회 (NODE12346910, IF: 0.39)
한국재활복지공학회 (NODE12094370, IF: 0.39)
한국재활복지공학회 (NODE12094371, IF: 0.39)
한국재활복지공학회 (NODE12094372, IF: 0.39)
한국재활복지공학회 (NODE12482374, IF: 0.39)"
5,2025,기타 공학,342657776,한은서,1,0.121674,"대한교통학회 (NODE12424672, IF: 1.07)"
6,2025,기타 공학,469758378,박호철,1,0.121674,"대한교통학회 (NODE12424672, IF: 1.07)"
7,2025,기타 공학,350775821,한우진,1,0.117871,"대한교통학회 (NODE12149233, IF: 1.07)"
8,2025,기타 공학,945169167,장태연,1,0.117871,"대한교통학회 (NODE12149233, IF: 1.07)"
9,2025,기타 공학,732489404,김창수,1,0.117871,"대한교통학회 (NODE12149233, IF: 1.07)"
10,2025,기타 공학,320773299,정락교,3,0.106465,"한국철도학회 (NODE12307123, IF: 0.38)
한국철도학회 (NODE12128074, IF: 0.38)
한국철도학회 (NODE12276727, IF: 0.38)"
11,2025,기타 공학,881967449,이경찬,2,0.106463,"한국철도학회 (NODE12055067, IF: 0.38)
한국철도학회 (NODE12358548, IF: 0.38)"
12,2025,기타 공학,1987610,서경수,3,0.102661,"한국철도학회 (NODE12055066, IF: 0.38)
한국철도학회 (NODE12128078, IF: 0.38)
한국철도학회 (NODE12157353, IF: 0.38)"
13,2025,기타 공학,248172344,김성일,5,0.091254,"한국철도학회 (NODE12492707, IF: 0.38)
한국철도학회 (NODE12307121, IF: 0.38)
한국철도학회 (NODE12033875, IF: 0.38)
한국철도학회 (NODE12033879, IF: 0.38)
한국철도학회 (NODE12033880, IF: 0.38)"
14,2025,기타 공학,711803,장승엽,2,0.091254,"한국철도학회 (NODE12033875, IF: 0.38)
한국철도학회 (NODE12033876, IF: 0.38)"
15,2025,기타 공학,468758066,곽재호,2,0.072243,"한국철도학회 (NODE12492705, IF: 0.38)
한국철도학회 (NODE12358550, IF: 0.38)"
16,2025,기타 공학,805860094,여인호,2,0.072243,"한국철도학회 (NODE12358551, IF: 0.38)
한국철도학회 (NODE12456661, IF: 0.38)"
17,2025,기타 공학,185128667,김지현,2,0.068441,"한국철도학회 (NODE12055072, IF: 0.38)
한국철도학회 (NODE12456661, IF: 0.38)"
18,2025,기타 공학,558377649,장승호,1,0.068441,"한국철도학회 (NODE12492708, IF: 0.38)"
19,2025,기타 공학,677932956,김민수,1,0.068441,"한국철도학회 (NODE12128072, IF: 0.38)"
20,2025,기타 공학,420080344,한상윤,1,0.068441,"한국철도학회 (NODE12128072, IF: 0.38)"
21,2025,기타 공학,524106037,최상현,1,0.068441,"한국철도학회 (NODE12128072, IF: 0.38)"
22,2025,기타 공학,311607064,장승호,1,0.068441,"한국철도학회 (NODE12276725, IF: 0.38)"
23,2025,기타 공학,481493234,김태준,2,0.064639,"대한교통학회 (NODE12424665, IF: 1.07)
대한교통학회 (NODE12424670, IF: 1.07)"
24,2025,기타 공학,400534795,김정화,2,0.064639,"대한교통학회 (NODE12424665, IF: 1.07)
대한교통학회 (NODE12424670, IF: 1.07)"
25,2025,기타 공학,242919799,주윤호,1,0.064639,"대한교통학회 (NODE12424670, IF: 1.07)"
26,2025,기타 공학,384695301,이규진,1,0.064639,"대한교통학회 (NODE12087851, IF: 1.07)"
27,2025,기타 공학,4072255,류인곤,1,0.064639,"대한교통학회 (NODE12087851, IF: 1.07)"
28,2025,기타 공학,704400120,이승찬,1,0.064639,"대한교통학회 (NODE12087851, IF: 1.07)"
29,2025,기타 공학,786816526,정우현,1,0.064639,"대한교통학회 (NODE12087851, IF: 1.07)"
30,2025,기타 공학,508000616,이건복,2,0.064638,"한국철도학회 (NODE12128077, IF: 0.38)
한국철도학회 (NODE12456664, IF: 0.38)"
31,2025,기타 공학,590376260,이수길,2,0.064638,"한국철도학회 (NODE12128077, IF: 0.38)
한국철도학회 (NODE12456664, IF: 0.38)"
32,2025,기타 공학,421514174,김재희,2,0.064638,"한국철도학회 (NODE12128077, IF: 0.38)
한국철도학회 (NODE12456664, IF: 0.38)"
33,2025,기타 공학,880657963,이상엽,1,0.064638,"한국철도학회 (NODE12492705, IF: 0.38)"
34,2025,기타 공학,751409268,이현주,1,0.064638,"한국철도학회 (NODE12492705, IF: 0.38)"
35,2025,기타 공학,180282529,박성원,1,0.064638,"한국철도학회 (NODE12492705, IF: 0.38)"
36,2025,기타 공학,751385579,이수기,4,0.060838,"대한교통학회 (NODE12261069, IF: 1.07)
대한교통학회 (NODE12261070, IF: 1.07)
대한교통학회 (NODE12149226, IF: 1.07)
대한교통학회 (NODE12149228, IF: 1.07)"
37,2025,기타 공학,470896968,정승호,4,0.060837,"한국위험물학회 (NODE12163272, IF: 0.56)
한국위험물학회 (NODE12163273, IF: 0.56)
한국위험물학회 (NODE12163274, IF: 0.56)
한국위험물학회 (NODE12341649, IF: 0.56)"
38,2025,기타 공학,681445193,최영태,3,0.060837,"한국철도학회 (NODE12307124, IF: 0.38)
한국철도학회 (NODE12033879, IF: 0.38)
한국철도학회 (NODE12102075, IF: 0.38)"
39,2025,기타 공학,909132176,이호현,1,0.060837,"한국철도학회 (NODE12307124, IF: 0.38)"
40,2025,기타 공학,830501091,오소원,1,0.060837,"한국철도학회 (NODE12307124, IF: 0.38)"
41,2025,기타 공학,242578253,박미소,1,0.060837,"한국철도학회 (NODE12307124, IF: 0.38)"
42,2025,기타 공학,923368298,신용구,1,0.060837,"한국철도학회 (NODE12307124, IF: 0.38)"
43,2025,기타 공학,547877574,장진혁,2,0.060836,"대한교통학회 (NODE12424667, IF: 1.07)
대한교통학회 (NODE12424668, IF: 1.07)"
44,2025,기타 공학,5442784,황진욱,2,0.060836,"대한교통학회 (NODE12424667, IF: 1.07)
대한교통학회 (NODE12424668, IF: 1.07)"
45,2025,기타 공학,725178431,이용재,1,0.060836,"한국철도학회 (NODE12033875, IF: 0.38)"
46,2025,기타 공학,995814969,최준혁,1,0.060836,"한국철도학회 (NODE12033875, IF: 0.38)"
47,2025,기타 공학,410375366,유승원,1,0.060836,"한국철도학회 (NODE12033875, IF: 0.38)"
48,2025,기타 공학,567099055,김혜원,2,0.053233,"대한교통학회 (NODE12261069, IF: 1.07)
대한교통학회 (NODE12149226, IF: 1.07)"
49,2025,기타 공학,423614411,이병훈,1,0.053233,"한국철도학회 (NODE12276727, IF: 0.38)"
50,2025,기타 공학,479788688,오석문,1,0.053233,"한국철도학회 (NODE12276727, IF: 0.38)"
51,2025,기타 공학,554092009,윤수환,3,0.053232,"한국철도학회 (NODE12307119, IF: 0.38)
한국철도학회 (NODE12358554, IF: 0.38)
한국철도학회 (NODE12276726, IF: 0.38)"
52,2025,기타 공학,739957924,박원희,3,0.053232,"한국철도학회 (NODE12307119, IF: 0.38)
한국철도학회 (NODE12358554, IF: 0.38)
한국철도학회 (NODE12276726, IF: 0.38)"
53,2025,기타 공학,749171816,권태순,3,0.053232,"한국철도학회 (NODE12307119, IF: 0.38)
한국철도학회 (NODE12358554, IF: 0.38)
한국철도학회 (NODE12276726, IF: 0.38)"
54,2025,기타 공학,650356713,김정태,2,0.053232,"한국철도학회 (NODE12307123, IF: 0.38)
한국철도학회 (NODE12128074, IF: 0.38)"
55,2025,기타 공학,511550133,윤용기,2,0.053232,"한국철도학회 (NODE12307123, IF: 0.38)
한국철도학회 (NODE12157357, IF: 0.38)"
