Rank,Year,Class_Name,Author_ID,Author_Name,Total_Papers,Total_Trend_Score,Paper_List_Details
1,2025,전기전자공학,737578381,백윤주,3,0.702387,"[온디바이스(On-device) AI 기술 동향: 초경량 모델에서 LLM 적용까지]
   └ 학회: 한국방송·미디어공학회 (IF: 0.43)
--------------------------------
[딥러닝 경량화를 통한 호흡기 질환 모니터링 디바이스의 설계 및 구현]
   └ 학회: 한국정보통신학회 (IF: 0.42)
--------------------------------
[산업용 액추에이터의 결함 예측을 위한 이상 탐지 시스템 설계 및 구현]
   └ 학회: 한국정보통신학회 (IF: 0.42)"
2,2025,전기전자공학,291860533,홍진근,8,0.582974,"[Projected Gradient Descent Noise Attack Model in Artificial Intelligence Image Recognition]
   └ 학회: 국제인공지능학회 (IF: 0.40)
--------------------------------
[Problem and Resolution of Cyber Training Platform]
   └ 학회: 국제인공지능학회 (IF: 0.40)
--------------------------------
[Supply Chain and Strategy against Risk of Autonomous Vehicle]
   └ 학회: 국제인공지능학회 (IF: 0.40)
--------------------------------
[Security Design for Supply Chain Risk in Healthcare 5G Network]
   └ 학회: 국제인공지능학회 (IF: 0.40)
--------------------------------
[Measures of Supply Chain and Risk of EU & US against 5G Security Threats]
   └ 학회: 국제인공지능학회 (IF: 0.40)
--------------------------------
[AI 이미지 인식 서비스 환경의 Gradient 기반 적대적 공격 서비스 모델]
   └ 학회: 국제인공지능학회 (IF: 0.40)
--------------------------------
[위성의 하천 이미지 인식 서비스에서 적대적 공격 모델 평가]
   └ 학회: 국제인공지능학회 (IF: 0.40)
--------------------------------
[AI 이미지 인식 환경의 Poisoning 기반 적대적 공격]
   └ 학회: 국제인공지능학회 (IF: 0.40)"
3,2025,전기전자공학,364973163,임완수,6,0.573178,"[Multi-Rotor Redirection Algorithm Using GNSS Spoofer and Radar]
   └ 학회: 한국전자파학회JEES (IF: 0.41)
--------------------------------
[Data-efficient image Transformers(DeiT)를 이용한 자동변조인식 기술]
   └ 학회: 한국통신학회 (IF: 0.35)
--------------------------------
[DeepVGG기반 채널코딩 자동인식 연구]
   └ 학회: 한국통신학회 (IF: 0.35)
--------------------------------
[CRANet을 활용한 블라인드 채널코딩 인식]
   └ 학회: 한국통신학회 (IF: 0.35)
--------------------------------
[ResNet과 GAF 기반 자동변조인식 성능 향상 연구]
   └ 학회: 한국통신학회 (IF: 0.35)
--------------------------------
[Convolution-TKAN 기반 자동 채널코딩 인식 연구]
   └ 학회: 한국통신학회 (IF: 0.35)"
4,2025,전기전자공학,633988262,임태호,3,0.563993,"[수중 채널에서의 중첩 HFM 기반 프리앰블 성능 비교]
   └ 학회: 한국정보통신학회 (IF: 0.42)
--------------------------------
[엣지 AI 플랫폼 적용을 위한 실시간 어획 어종 인식 및 카운팅 모델 최적화 연구]
   └ 학회: 한국정보통신학회 (IF: 0.42)
--------------------------------
[StyleGAN-XL과 R3GAN 기반 합성 이미지 생성 기법을 활용한 화재 감지 데이터 증강 비교 연구]
   └ 학회: 한국정보통신학회 (IF: 0.42)"
5,2025,전기전자공학,128185540,이상현,2,0.563993,"[엣지 AI 플랫폼 적용을 위한 실시간 어획 어종 인식 및 카운팅 모델 최적화 연구]
   └ 학회: 한국정보통신학회 (IF: 0.42)
--------------------------------
[StyleGAN-XL과 R3GAN 기반 합성 이미지 생성 기법을 활용한 화재 감지 데이터 증강 비교 연구]
   └ 학회: 한국정보통신학회 (IF: 0.42)"
6,2025,전기전자공학,451897418,채승병,4,0.536436,"[다중편파 SAR 합성 변환과 딥러닝을 활용한 선박 및 빙산 이진분류 알고리즘 성능 개선 연구]
   └ 학회: 한국전자파학회 (IF: 0.41)
--------------------------------
[공간 영역 및 주파수 영역 기반 SAR 표적 식별 성능 비교]
   └ 학회: 한국전자파학회 (IF: 0.41)
--------------------------------
[공간 영역 및 고유 영역 기반 딥러닝 SAR 표적 식별 성능 비교]
   └ 학회: 한국전자파학회 (IF: 0.41)
--------------------------------
[다중 영역 기반 딥러닝 SAR 표적 식별 연구]
   └ 학회: 한국전자파학회 (IF: 0.41)"
7,2025,전기전자공학,802498208,전민욱,3,0.536436,"[동적 환경에서의 차량/화물 최적 배차를 위한 MAML과 PPO 통합 알고리즘]
   └ 학회: 한국통신학회 (IF: 0.35)
--------------------------------
[Swin Transformer 구조를 기반으로 한 Multi-Modal 자동 변조 인식 신경망]
   └ 학회: 한국통신학회 (IF: 0.35)
--------------------------------
[의미론적 분할 기반 드론 통신 신호 분리 기법]
   └ 학회: 한국통신학회 (IF: 0.35)"
8,2025,전기전자공학,601567562,Xiao Wang,1,0.5143909999999999,"[인공지능 기반 기업의 성장률 예측모델 개발]
   └ 학회: 국제인공지능학회 (IF: 0.40)"
9,2025,전기전자공학,719357764,나형종,1,0.5143909999999999,"[인공지능 기반 기업의 성장률 예측모델 개발]
   └ 학회: 국제인공지능학회 (IF: 0.40)"
10,2025,전기전자공학,815595478,김형준,1,0.5143909999999999,"[인공지능 기반 기업의 성장률 예측모델 개발]
   └ 학회: 국제인공지능학회 (IF: 0.40)"
11,2025,전기전자공학,605293615,인치호,1,0.5143909999999999,"[인공지능 기반 기업의 성장률 예측모델 개발]
   └ 학회: 국제인공지능학회 (IF: 0.40)"
12,2025,전기전자공학,584918933,김희철,6,0.481323,"[DeepLesionNet: Precise Segmentation and Classification of Skin Lesions via Convolutional Neural Networks]
   └ 학회: 한국정보통신학회 (IF: 0.42)
--------------------------------
[복지 정책 정보 제공을 위한 RAG 기반 대화형 시스템 개발]
   └ 학회: 한국정보통신학회 (IF: 0.42)
--------------------------------
[Enhancing Nuclei Segmentation with Deep Image Segment Network (DI-SegNet) in Hematoxylin and Eosin-Stained Histopathological Images]
   └ 학회: 한국정보통신학회 (IF: 0.42)
--------------------------------
[Integrating Large Language Models with Deep Learning for Medical Imaging Modality Classification]
   └ 학회: 한국정보통신학회JICCE (IF: 0.42)
--------------------------------
[‘챗GPT 이해와 활용’ 교양 강좌의 디지털 리터러시 함양 효과 분석 연구]
   └ 학회: 한국정보통신학회 (IF: 0.42)
--------------------------------
[딥러닝을 활용한 흉부 X-ray 이상 탐지: ConvNeXt, ViT, ViT-KAN의 XAI 비교·분석]
   └ 학회: 한국정보통신학회 (IF: 0.42)"
13,2025,전기전자공학,137906795,이상준,3,0.466013,"[전방위 깊이 추정을 위한 멀티모달 확률분포 기반의 샘플링 방법]
   └ 학회: 제어로봇시스템학회 (IF: 0.84)
--------------------------------
[골프장 주행환경 세그멘테이션을 위한 채널 어텐션 기반의 지식 증류 기법]
   └ 학회: 제어로봇시스템학회 (IF: 0.84)
--------------------------------
[조건부 확산 모델과 수도 라벨 기반 준지도 학습을 통한 결함 검출 성능 향상 기법]
   └ 학회: 제어로봇시스템학회 (IF: 0.84)"
14,2025,전기전자공학,311649273,이석준,2,0.447031,"[제한된 리소스 환경 AI 추론을 위한 AI 반도체 기술 동향]
   └ 학회: 한국통신학회 (IF: 0.35)
--------------------------------
[탄소저감을 위한 온디바이스 AI 모델 경량화 및 최적화 기술 동향]
   └ 학회: 한국통신학회 (IF: 0.35)"
15,2025,전기전자공학,356832345,최세운,3,0.44335499999999994,"[Comparative Evaluation of GAN Models for Synthetic Skin Lesion Image Generation]
   └ 학회: 한국정보통신학회 (IF: 0.42)
--------------------------------
[광학현미경 암세포 이미지 증강을 위한 GAN 모델 비교 연구]
   └ 학회: 한국정보통신학회 (IF: 0.42)
--------------------------------
[Enhancing Breast Cancer Histopathology Image Classification via GAN-Based Data Augmentation and CNN Ensemble Model]
   └ 학회: 한국정보통신학회 (IF: 0.42)"
16,2025,전기전자공학,146991175,손채봉,5,0.422535,"[다중스펙트럼 이미지 기반의 실시간 위장 객체 탐지 모델의 경량화 및 성능 비교 분석]
   └ 학회: 한국지능시스템학회 (IF: 0.47)
--------------------------------
[화학물질 탐지를 위한 분광 스펙트럼 분류 알고리즘 성능 비교 연구]
   └ 학회: 한국지능시스템학회 (IF: 0.47)
--------------------------------
[가상환경 기반 학습 이미지 구축 및 딥러닝을 활용한 객체 탐색 기술]
   └ 학회: 한국지능시스템학회 (IF: 0.47)
--------------------------------
[GFRP유전체 두께 변화에 따른 역-F 안테나 VSWR 특성 연구]
   └ 학회: 국제인공지능학회 (IF: 0.40)
--------------------------------
[5상 영구자석형 동기전동기 인버터의 스위치 고장진단 방법에 관한 연구]
   └ 학회: 국제인공지능학회 (IF: 0.40)"
17,2025,전기전자공학,472418935,박희숙,2,0.40783800000000003,"[엔트리를 활용한 유아용 영어학습 보조 시스템의 설계 및 구현]
   └ 학회: 한국정보통신학회 (IF: 0.42)
--------------------------------
[딥페이크 기술 활용 및 윤리교육에 대한 대학생들의 인식 조사]
   └ 학회: 한국정보통신학회 (IF: 0.42)"
18,2025,전기전자공학,207970529,강민석,4,0.402327,"[공압 시스템의 동적 모델을 위한 순환 신경망 모델 기반 학습 방법 연구]
   └ 학회: 한국지능시스템학회 (IF: 0.47)
--------------------------------
[다중편파 SAR 합성 변환과 딥러닝을 활용한 선박 및 빙산 이진분류 알고리즘 성능 개선 연구]
   └ 학회: 한국전자파학회 (IF: 0.41)
--------------------------------
[공간 영역 및 주파수 영역 기반 SAR 표적 식별 성능 비교]
   └ 학회: 한국전자파학회 (IF: 0.41)
--------------------------------
[다중 영역 기반 딥러닝 SAR 표적 식별 연구]
   └ 학회: 한국전자파학회 (IF: 0.41)"
19,2025,전기전자공학,893614233,이규철,2,0.402327,"[Sleep Apnea Detection Using Respiratory Sound Data Based on Deep Learning Models]
   └ 학회: 한국정보통신학회JICCE (IF: 0.42)
--------------------------------
[딥러닝 모델 기반의 도심 저고도 무인 항공기 실시간 경로 예측 연구]
   └ 학회: 한국통신학회 (IF: 0.35)"
20,2025,전기전자공학,366216691,오하영,8,0.393142,"[웨어러블 ECG 기반 다중모달 공황 발작 예측 모델 연구]
   └ 학회: 한국정보통신학회 (IF: 0.42)
--------------------------------
[문화적 편향 평가 및 조정을 통한 책임감 있는 AI]
   └ 학회: 한국정보통신학회 (IF: 0.42)
--------------------------------
[순차적 추천시스템의 성능 향상을 위한 LLM 기반 재순위화 기법 제안]
   └ 학회: 한국정보통신학회 (IF: 0.42)
--------------------------------
[온라인 도박 중독 재발 방지를 위한 생성형 인공지능을 이용한 디지털 치료제 및 사이트 분석]
   └ 학회: 한국정보통신학회 (IF: 0.42)
--------------------------------
[감정 인식 기반 메모리 아키텍처 에이전트 구현 및 성능분석]
   └ 학회: 한국정보통신학회 (IF: 0.42)
--------------------------------
[대학생 숏폼 중독에 의한 집중력 저하 및 학업 지연 개선을 위한 DTx 개발 : 집중력 단계별 맞춤 치료 VR 게임]
   └ 학회: 한국정보통신학회 (IF: 0.42)
--------------------------------
[KR-FinBERT-SC를 활용한 AI 디지털 교과서 정책 담론 분석 연구: 뉴스 데이터 감성분석을 중심으로]
   └ 학회: 한국정보통신학회 (IF: 0.42)
--------------------------------
[뇌파-음성 연계 분석을 통한 감정 인식 기반 공간음향 생성 모델 제안]
   └ 학회: 한국정보통신학회 (IF: 0.42)"
21,2025,전기전자공학,261963587,정회영,1,0.375996,"[IoT 기반 컨베이어시스템 센서 데이터의 이상 탐지 기법 비교 연구]
   └ 학회: 한국정보통신학회 (IF: 0.42)"
22,2025,전기전자공학,262291597,경지훈,1,0.375996,"[IoT 기반 컨베이어시스템 센서 데이터의 이상 탐지 기법 비교 연구]
   └ 학회: 한국정보통신학회 (IF: 0.42)"
23,2025,전기전자공학,967466309,이보경,2,0.371096,"[AI 기반의 연구실 출입관리 시스템]
   └ 학회: 국제인공지능학회 (IF: 0.40)
--------------------------------
[멀티플랫폼 기반의 피아노 연습 시스템: Crescendor]
   └ 학회: 국제인공지능학회 (IF: 0.40)"
