NODE_ID,IPRD_NM,PLCT_NM,NODE_TTLE,NODE_TTLE_EN,PBSH,NODE_LINK,NODE_CLSS_01,NODE_CLSS_02,AUTR_NM,KYWD,ABST_KR,ABST_EN,IF_Score,EXTRACTED_KEYWORDS
NODE10610913,한국강구조학회,한국강구조학회지,자갈도상 장대레일의 설계 및 해석,Design and analysis of continuous welded rail(CWR) on ballasted track,202108,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10610913,공학,건축공학,문지호,,"본 기사에서는 레일의 피로수명 연장, 유지관리 비용의 감소 및 승차감 향상을 위하여 설치되는 자갈궤도에 부설된 장대레일의 설계와 해석에 대하여 기술하였다. 장대레일에서는 온도에 의한 구속응력이 발생함으로 이러한 응력에 의한 궤도 안정성을 반드시 검토하여야 한다. 또한, 교량상 장대레일이 부설되는 경우 장대레일과 교량의 상대적인 움직임에 따른 추가적인 응력 및 변형이 발생함으로 이에 대한 검토도 필요하다. 본 기사에서 언급된 장대레일의 설계에 필요한 조건들과 해석 방법을 활용하여 장대레일의 설계 및 연구에 일부나마 도움이 될 것으로 생각된다.",,0.5349,"railway technology,track,temperature"
NODE10584495,한국콘크리트학회,International Journal of Concrete Structures and Materials,Percolation‑Based Image Processing for the Plastic Viscosity of Cementitious Mortar with Super Absorbent Polymer,Percolation‑Based Image Processing for the Plastic Viscosity of Cementitious Mortar with Super Absorbent Polymer,202107,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10584495,공학,건축공학,"Asghar Aryanfar, Irem Şanal, Jaime Marian",,,"Super absorbent polymers (SAP) are the recent promising chemical admixtures with the potential for reducing the shrinkage, cracking, freeze/thaw and increasing the durability of the concrete. These polymers are classified as hydrogels when cross-linked and can retain exceptionally high amount of liquid solutions of their own weight. In this paper, the flowability of the concrete is quantified by means of developing a percolation-based image processing method and the transient behavior of the viscosity of the SAP-contained mortar mixture is characterized via numerical solution of Navier–Stokes relationship. In addition, rheological measurements and the analytical development has been carried out for complementary verification of the viscosity trends. Controlling the flow within such relatively short period of time is essential for tuning the functionality of concrete during the construction as well as it’s respective resilience during the extended period of application.",0.5085,"concrete,resilience,flow,behavior,durability,mortar,image processing"
NODE10584498,한국콘크리트학회,International Journal of Concrete Structures and Materials,Challenges in Evaluating Seismic Collapse Risk for RC Buildings,Challenges in Evaluating Seismic Collapse Risk for RC Buildings,202107,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10584498,공학,건축공학,"Jin Zhou, Zhelun Zhang, Tessa Williams, Sashi K. Kunnath",,,"The development of fragility functions that express the probability of collapse of a building as a function of some ground motion intensity measure is an effective tool to assess seismic vulnerability of structures. However, a number of factors ranging from ground motion selection to modeling decisions can influence the quantification of collapse probability. A methodical investigation was carried out to examine the effects of component modeling and ground motion selection in establishing demand and collapse risk of a typical reinforced concrete frame building. The primary system considered in this study is a modern 6-story RC moment frame building that was designed to current code provisions in a seismically active region. Both concentrated and distributed plasticity beam–column elements were used to model the building frame and several options were considered in constitutive modeling for both options. Incremental dynamic analyses (IDA) were carried out using two suites of ground motions—the first set comprised site-dependent ground motions, while the second set was a compilation of hazard-consistent motions using the conditional scenario spectra approach. Findings from the study highlight the influence of modeling decisions and ground motion selection in the development of seismic collapse fragility functions and the characterization of risk for various demand levels.",0.5085,"reinforced concrete,plasticity"
NODE10518393,대한설비공학회,설비저널,수배관 시스템,,202101,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10518393,공학,기계공학,민준기,,"지난 2016년 1월 이사회에서 냉난방수배관시스템전문위원회(위원장: 민준기) 설립이 승인되어, 이제 설립 5주년이 되었다. 학회 50주년에 비할 바는 아니지만 언젠가는 50주년을 맞이할 것이다. 이후로 2016년, 2017년 우수 전문위원회상을 연속으로 수상하였고 2018년 이후 지속적으로 우수부문위원회 버금가는 활동으로 정기모임 4회/년, 학술강연회 및 Hyd-SAREK 강습회 개최 그리고 설비저널 매년 1월호 집중기획으로 4～6편의 냉난방수배관시스템 신기술 등을 기고하고 있다. <br>건축물 냉난방 에너지 절감과 온실가스 감축을 위한 Hyd-SAREK, 냉난방수배관계산 프로그램을 본 위원회를 기반으로 하나지엔씨(대표: 박동일)에서 개발하여 2018년 하반기부터 대한설비공학회 냉난방수배관시스템전문위원회 주관으로 교육 및 판매를 통하여 보급하고 있다. <br>또한 시대 흐름을 반영하고 보다 효율적인 건축기계설비 설계 대응을 위하여 정보 기반의 3D 설계 Tool인 개방형 BIM 자료 정보를 이용하여 BIM에 종속되지 않는 독립적인 BIM과 연계하여 밀폐형 배관(냉난방수배관)과 개방형 배관(소방배관)을 통합한 수배관계산 프로그램으로 수배관계산 모델링에 활용함으로써 간편하고 정확한 BIM 연계 에너지 절감형 통합수배관시스템 계산 프로그램 구축을 진행하고 있다. 또한 2021년 하반기에 대한설비공학회 50주년 기념과 더불어 BIM 연계형 “Hyd-SAREK_B1.0”을 Launching(출시) 예정으로 한국산업단지공단의 지원으로 개발 중이다. <br>대한설비공학회 50주년 그리고 냉난방수배관시스템전문위원회 5주년을 기념하며 함께 동반 성장하여 앞으로도 더욱 발전하고 성장할 것을 기대한다.",,0.3729,"education,decomposition,energy saving,bim"
NODE10529430,대한설비공학회,설비저널,냉동 분야의 현재와 미래,,202102,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10529430,공학,기계공학,송찬호,,"인류 역사가 시작되면서 냉동의 역사도 같이 진행되고 있다. 냉동 기술은 가정 뿐만 아니라 산업 여러 분야에서 핵심적인 역할을 수행하고 있다. 다양한 열원, 폭넓은 냉동 온도, 압축/비압축 기술, 냉매 규제 등에 따라 기술의 발전이 꾸준히 전개되었다. 특히 21세기에 들어와 4차 산업혁명과 맞물려 산업의 여러 분야에 신기술이 적용되었는데 냉동 분야도 예외는 아니다. <br>냉동시스템은 열의 흐름을 유용하게 변화시켜서 제공하는 시스템으로, 에너지 사용 효율을 효과적으로 내기 위해 각 요소들에 대한 기술 개발이 진행되어 왔다. 압축기, 열교환기 뿐만 아니라 다양한 요소 기기를 최적화해야 하고 이를 만족시키기 위한 가공기술, 제어기술 및 열공학, 열전달, 유체역학 등 기계 분야를 총망라한 기술의 집약체라고 할 수 있다. <br>본 집중기획에서는 지구의 미래을 위한 친환경 냉매, 해마다 진화하고 있는 시스템 에어컨, 히트펌프의 에너지 절감을 위한 기술, 인공지능 제어 기술과 미활용 에너지원으로 사용하는 수열원 히트펌프의 기술에 대해 다루었다. 아울러 과거부터 현재까지 적용하고 있는 냉매의 변천사를 소개하고 앞으로의 냉매 개발에 대해 언급함으로써 냉동시스템의 개발 방향을 이해하는 데 도움을 주고자 한다. <br>본 기획을 통하여 대한설비공학회와 더불어 함께 한 냉동의 역사를 이해하고 현재 진행 중인 냉동 분야의 기술, 냉매의 변천에 대한 독자의 시야를 넓히는 데 도움이 되기를 바란다. 앞으로의 냉동 분야에 대한 여러분의 관심과 지원을 부탁드리며 무궁한 발전을 기원한다. 끝으로 원고 작성에 도움을 주신 분들께 감사를 드린다.",,0.3729,"machine learning,heat transfer,energy saving,heat pump,efficiency,temperature"
NODE10537645,대한설비공학회,설비저널,환기설비 기술의 발전 방향,,202103,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10537645,공학,기계공학,정재원,,"2006년 이후 공동주택 및 다중이용시설의 환기설비 기준이 마련되면서 국내에서 본격적으로 기계환기설비시스템 개발과 설치가 시작되었지만 환기설비에 대한 인식 부족이나 에너지 비용 증가를 우려하여 실질적인 이용은 활발하지 않았다. 하지만 최근 몇 년 사이에 초미세먼지로 인해 실내공기질에 관한 사람들의 관심이 높아지면서 구체적으로 환기횟수, 최소 환기량 등에 대한 기준이 마련되었고, 특히 2020년 코로나19라는 호흡기 감염병이 전 세계적으로 확산되며 그 어느 때보다 환기설비의 중요성이 주목을 받고 있다. 이에 따라 기존 100세대 이상의 공동주택에 의무화된 환기설비 설치가 30세대 이상의 공동주택으로 까지 확대되었고, 환기설비 설치 의무가 없던 민간 노인요양시설(1,000 m<sup>2</sup> 이상), 어린이 놀이시설(430 m<sup>2</sup> 이상), 영화관(300 m<sup>2</sup> 미만) 등의 다중이용시설에도 환기설비 설치가 의무화되었다. 환기설비에 관한 기준은 점차 강화되고 구체화되고 있지만 향후 새로운 감염병이 발생하거나 예측할 수 없는 환경의 변화에도 대비하기 위하여 제도적, 기술적으로 개선할 필요가 있다. <br>이번 집중기획에서는 우리가 살면서 많은 시간을 보내는 공동주택과 다중이용시설에서의 환기설비 현황을 파악하고 앞으로의 환기설비가 나아가야 할 개선 방향을 제시하였다. 즉, 공동주택 환기설비시스템 기술 동향, 공동주택 환기설비 적용 현황, 다중이용시설의 환기설비 현황 및 개선 방향, 환기 시스템의 기술 전망, 감염병을 고려한 다중이용시설의 환기설비 개선 방안 등 공동주택과 다중이용시설에서의 최신 환기설비 기술 동향과 전망을 제공함으로써 관련 분야 엔지니어 분들께 참고가 되기를 바라며 가장 간단하면서 기본적인 감염병 방지 방법인 환기를 통해 코로나19를 무사히 이겨낼 수 있을 것으로 기대한다. 끝으로 이번 집중기획 원고 작성에 응해 주신 집필자님들께 깊은 감사의 마음을 전한다.",,0.3729,"infectious disease,covid 19,recognition,apartment complex,indoor air quality"
NODE10552518,대한설비공학회,설비저널,에너지 환경 설비부문의 과거와 미래,,202104,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10552518,공학,기계공학,이의준,,"이번 집중기획은 우리 학회 50주년 기념으로 에너지 환경 설비부문의 과거와 미래를 미국 에너지부와 국내 과학기술정보통신부의 2021년 최근 현안 핫 이슈를 참고로 조명해 보고자 준비되었다. 국내외 주요 현안으로 미래의 탈석탄으로 에너지 전환, 3D(Decarbon, Decentral, Digital) 사회로의 변화, 단위 기술에서 융복합 통합 거시 기술로의 변화, 에너지 소비 설비에서 에너지 생산 미래 설비로의 변화, 새로운 BC(Before Corona)와 AC(After Corona)로의 친환경 건강 설비로의 변화가 예측된다. <br>이에 본고에서는 위 변화의 경향에 비추어 최근 에너지 설비 연구의 과거와 미래로의 변화, 통합 네트워크 미래 기술로의 변화로 지역 냉난방 연료의 전환, 건축 설비 환경 분야에서 에너지 저소비 패시브 건축 설비를 통한 미래 에너지 생산 건축으로의 패러다임 변화, 화석연료 중심의 단위 기술에서 신재생 태양 지열과 최근 DNA(Data. Network, AI) 기술 융복합 설비로의 변화 그리고 탈석탄 미래 사회 기반으로의 P2X(P2P, P2H 및 P2G... 등) 전기 및 열 에너지 설비 간의 Sector Trading 미래 기술의 하나를 다루었다. <br>우리 학회 50주년을 맞이하며 우리 학회가 국내외 에너지 환경 설비의 주요 현안인 탈석탄 에너지 전환 시대 및 수소 전환 시대를 선도하고, 국내 에너지 정책과 기술 전문가들의 소통 부재의 시대에 확실한 해결안을 선도하는 전문가 그룹의 역할 수행 회복을 기대하며 제한된 시간 내에 주옥 같은 원고로 도움 주신 부문 위원과 향후 도움 주실 모든 회원들과 함께 우리 학회 50주년 기념 축하와 행복한 미래가 나누어지길 기대해본다.",,0.3729,"artificial intelligence,network,hydrogen"
NODE10565028,대한설비공학회,설비저널,기계설비법 시행에 대한 건물 자동제어의 발전방향,,202106,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10565028,공학,기계공학,송재엽,,"코로나로 인한 국가 재난 시기, 정보통신기술(ICT)의 융합으로 이뤄지는 차세대 산업혁명 시대의 도래, 로봇이나 인공지능(AI)을 통해 자동·지능적으로 제어할 수 있는 가상 물리 시스템의 구축은 현재 인류에게 다양한 숙제를 내어 줌과 동시에 미래에 대한 모습을 제시하고 있는 주요 골자들이다. <br>기계설비는 본래 인류의 안전과 편리함을 목적으로 하는 넓은 범위를 가진 설비의 한 분야였으나 시간이 지남에 따라 비용만을 고려하는 우리의 세태와 맞물려 소중함과 그 의미가 퇴색해 사람들에게 ‘계륵’과 같이 느껴지게 된 것도 최근 얼마 지나지 않은 일이다. 그러나 이제 더 이상은 익숙함에 속아 소중함을 잃지 않아야 할 때다, 세계의 감염병 이슈, 에너지 및 환경문제로 기계설비는 다시 관심을 받기 시작했다. <br>기계설비법이 2021년 4월 중순부터 본격적으로 시행되었다. 기계설비법은 ‘기계설비공사의 착공 전 확인’·‘사용 전 검사 의무화’, ‘기계설비 유지관리자 선임 의무화’, ‘기계설비 유지관리자 교육’, ‘기계설비 유지관리 성능점검업 등록’ 등 기계설비산업의 중요성을 반영하고 이를 법적으로 시행하기에 이르렀다. 그러나 구르지 않는 돌은 이끼가 끼기 마련이다. 기계설비 분야도 계속적으로 노력하고 개발하지 않으면 언젠가는 또 도태되어 유명무실해질 수 있기 때문이다. 자동제어는 기계설비 분야의 주요 핵심기술 중 하나이다. 특히 이번 기계설비법 시행으로 인하여 원활한 기계설비 유지관리를 수행하기 위해서는 반드시 구축되어 순방향으로 역할을 충분히 담당해주어야 한다. 따라서 본 집중기획에서는 기계설비법 시행에 대하여 건물관리시스템이 나아가야 할 발전방향과 신기술로 AI와 IoT 기반의 건물 자동제어시스템 기술을 소개하였다. 끝으로 이번 집중기획 원고 작성에 수고해주신 집필자 분들에게 깊이 감사의 말을 전한다.",,0.3729,"infectious disease,artificial intelligence,machine learning,internet of things,ict,education"
NODE10565031,대한설비공학회,설비저널,소방시설의 최신 기술 및 연구개발 동향,,202106,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10565031,공학,기계공학,문정환,,"소방시설이란 건축물 또는 각종 구조물에 설치되어 화재를 진압하고 화재발생 사실을 주위에 전파하거나 피난을 유도하고 소화용수를 확보하며 소방대의 일련의 활동을 보조하기 위한 설비 일체를 말한다. 이러한 소방시설은 크게 소화설비, 경보설비, 피난설비, 소화용수설비, 소화활동설비로 나누어진다. <br>이번 집중기획에서는 대표적인 소화설비 중 하나인 스프링클러설비와 소화활동설비 중 제연설비에 대한 최신 기술 동향에 대해 소개하고자 한다. 먼저 생활환경의 변화로 물류창고가 급증하고 대형화 하는 추세에서 화재를 조기진압하기 위해 개발된 화재조기진압용(ESFR) 스프링클러의 개발 역사, 시험기준, 설치 기준 및 국내·외 개발 현황과 성능적 관점의 연구개발의 필요성을 소개하였다. 그리고 특별피난계단의 계단실 및 부속실 제연설비의 국가화재안전기준(NFSC 501A)에서 유입공기 배출방식의 일반적인 수직풍도에 따른 배출방식에서 배출구에 따른 배출방식과 다변화하는 건축환경에 맞는 성능설계 방법을 소개하였다. 마지막으로 자동차압급기댐퍼(제연댐퍼)의 성능을 개선한 스마트 제어형 2-way 제연댐퍼의 기능을 방연풍속 유동해석 시뮬레이션을 통하여 그 유용성을 소개하였다. <br>이번 집중기획을 통하여 소방시설에 대한 최신 기술 동향을 파악하여 설계, 시공, 그리고 감리업에 종사하는 다양한 소방설비 기술자들에게 유익한 내용이 되기를 바라며, 바쁘신 와중에도 원고 작성에 수고해주신 소방방재부문위원회 집필자 및 회원분들께 감사의 인사를 드린다.",,0.3729,"performance,simulation"
NODE10574339,대한설비공학회,설비저널,쾌적하고 건강한 건축환경 제공과 건물에너지 절약,,202107,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE10574339,공학,기계공학,정창호,,"인류는 외부환경과 기후에 대응하기 위해 다양한 건축적 방법들을 고안하였으며, 실내환경에 대해 어느 정도의 만족감을 가질 수 있는 수준의 건축물을 달성해 왔다. 한편 건축 및 설비 기술의 발달은 건물에서 요구되는 환경을 보다 능률적이고 효과적으로 조절할 수 있는 기회를 제공하였으며, 경제·사회의 발전으로 인한 삶의 질 향상과 맞물려 사람들은 실내환경에 대해 점점 더 구체적이고 높은 수준을 요구하게 되었다. 뿐만 아니라 복합적인 화학물질로 구성된 건축자재의 사용 증가, 건물의 기밀성능 향상, 에너지 절약을 위한 환기량 저감 등에 의해 초래되는 실내공기질의 악화와 산업 발달 및 인간 활동에 의한 미세먼지의 위협은 건강하게 잘 사는 삶을 추구하는 현대인들에게 또 다른 주요 관심사가 되었다. 건축환경에 대한 구체적이고 복잡하며 높은 수준의 요구를 충족시키기 위해서는 에너지를 사용하는 기계장치, 즉 건축설비의 역할이 매우 중요하나, 이는 필연적으로 건물에너지 소비를 수반하게 된다. 모순적이게도 건물에너지 소비 증가는 인간 삶의 터전인 지구환경을 위협하는 주요 요인이다. 따라서 인간의 건강하고 안전한 삶을 위해서는 건물에너지 소비를 줄이는 것이 매우 필요하다. 이러한 상황들을 종합해 볼 때 미래의 건축에 요구되는 핵심 가치는 쾌적하고 건강한 건축환경을 제공하면서도 에너지 절약적이며 지속 가능한 건축을 달성하는 것이라고 말할 수 있다. 지금 우리는 미래 건축에 요구되는 이와 같은 핵심 가치를 실현하기 위해 다각도로 노력하는 중이다. <br>대한설비공학회 창립 50주년을 기념하여 건축환경부문위원회 특집으로 발간되는 이번 호 「설비저널」은 쾌적하고 건강한 건축환경 제공과 건물에너지 절약이라는 미래 건축의 핵심 가치와 관련하여 다루어 보고자 하였다. 건축환경은 일반적으로 온열환경, 빛환경, 음환경, 실내공기질 등으로 구분할 수 있으나 인간 생존에 있어 가장 기본적인, 그래서 전통적으로 관심이 높았던 온열환경과 최근에 관심이 고조되고 있는 실내공기질 및 위생 분야에 대해 최근의 이슈를 선별하여 공유하고자 한다. 온열환경과 관련된 이슈로는 대류냉난방 방식에 비해 쾌적 및 에너지 성능이 우수하다고 인정받고 있는, 그래서 친환경 건축물의 냉난방 시스템으로 자주 채택되고 있는 복사냉난방 시스템에 대해 그 종류와 용량 설계 방법 그리고 복사냉난방 시스템의 한 종류로서 시스템의 응답지연을 극대화한 형태인 구체축열 시스템의 설계 및 제어방안에 대한 최근 동향을 포함하였다. 또한 실내공기질과 관련하여 최근 매우 높은 관심 대상이 되고 있는 학교 건물 미세먼지 문제와 이를 개선하기 위한 진단 프로세스, 안전한 실내환경을 위한 건축자재의 라돈 관리기준 및 방출량 평가방법 관련 주요 동향을 소개하였다. 마지막으로, 오래 전에 발견된 물 사용 설비 관련 감염병이지만 사스, 메르스, 코로나 바이러스 등에 가려 상대적으로 관리방안 마련에 대해 미온적이었던 레지오넬라증에 대해 감염 예방 대책 추진 경과와 해외 동향에 대해 소개하였다.",,0.3729,"performance,particulate matter,indoor air quality"
