Keyword,Count
performance,96
machine learning,91
artificial intelligence,84
research trends,60
efficiency,57
internet of things,45
deep learning,39
content,35
blockchain,32
metaverse,32
6g,32
autonomous driving,30
optimization,27
ict,25
covid 19,24
generation,24
5g,22
network,21
recognition,20
virtual reality,19
signaling,19
education,17
communication,17
carbon neutrality,17
augmented reality,16
renewable energy,16
simulation,15
accessibility,15
large language model,14
design,13
electric vehicle,13
temperature,12
big data,12
classification,11
monitoring,11
generative ai,11
game,10
xr,9
interaction,9
computer vision,8
common earth network,8
reinforcement learning,8
energy saving,7
hydrogen,7
point cloud,7
density,7
camera,7
real time,7
platform,7
quality,7
software,7
motor,7
transformer,7
gpu,6
structure,6
distribution,6
sensor,6
security,6
standards,6
drone,6
climate change,6
transmission,6
mobility,6
device,6
multimodal,6
decomposition,5
nft,5
mixed reality,5
traffic safety,5
post quantum cryptography,5
safety,5
prediction,5
solar power generation,5
detection,5
battery,5
track,4
image processing,4
indoor air quality,4
infectious disease,4
digital twin,4
processing,4
database,4
mimo,4
low power,4
sustainability,4
learning,4
reliability,4
mechanism,4
wind power generation,4
photovoltaic,4
solar energy,4
health,4
digital forensics,4
public transportation,4
artificial neural network,4
uav,4
manufacturing,4
edge computing,4
evaluation,4
noise,4
object detection,4
language model,4
durability,3
bim,3
c-its,3
recycling,3
smart city,3
tunnel,3
disaster,3
xai,3
sustainable,3
sub,3
fuel cell,3
sector coupling,3
maintenance,3
microgrid,3
flexible,3
energy storage system,3
net zero,3
distribution system,3
led,3
framework,3
wireless power transfer,3
emission,3
algorithms,3
chatgpt,3
wireless communication,3
energy consumption,3
simulator,3
urban air mobility,3
quantization,3
inspection,3
convolutional neural network,3
trust,3
natural language processing,3
big language model,3
flow,2
resilience,2
behavior,2
concrete,2
heat pump,2
apartment complex,2
case study,2
fire,2
broadband,2
lidar,2
life satisfaction,2
geospatial information,2
wearable device,2
social distancing,2
expressway,2
autonomous cooperative driving,2
automotive,2
sensor fusion,2
social media,2
user experience,2
data center,2
damage,2
stress,2
propulsion system,2
plastic,2
productivity,2
cryptocurrency,2
discrimination,2
strength,2
data augmentation,2
youtube,2
greenhouse gas,2
research trend,2
performance analysis,2
surplus power,2
accident,2
solar power,2
semiconductor,2
gas sensor,2
user interface,2
numerical analysis,2
lightweight,2
utilization rate,2
unmanned aerial vehicle,2
big data analysis,2
deep q network,2
federated learning,2
fine tuning,2
retrieval augmented generation,2
cloud,2
railway technology,1
mortar,1
reinforced concrete,1
plasticity,1
heat transfer,1
particulate matter,1
digital content,1
motion recognition,1
interactive content,1
fitness,1
generative adversarial network,1
finite element method,1
cavity,1
quantum computing,1
underground facilities,1
e-commerce,1
signal system,1
seismic design,1
바이오매스,1
self supervised learning,1
contrastive learning,1
tourism,1
k pop,1
extended reality,1
liquid hydrogen,1
cybersecurity,1
greenhouse gases,1
energy transition,1
fault detection,1
frequency regulation,1
personal mobility,1
wastewater treatment,1
photovoltaics,1
perovskite solar cells,1
perovskite,1
digital healthcare,1
crack,1
cement,1
gear,1
attitude,1
hydrogen fuel cell,1
cbm,1
signal processing,1
apple,1
esg,1
feature extraction,1
knowledge,1
bms,1
battery management system,1
radar,1
healthcare,1
elderly,1
green hydrogen,1
ipmsm,1
permanent magnet synchronous motor,1
supply chain,1
pm,1
thermal decomposition,1
surface treatment,1
pv,1
combustion,1
thermal management,1
smes,1
nuclear power plant,1
computer-aided engineering,1
morphology,1
android,1
random forest,1
xgboost,1
uwb,1
wideband,1
python,1
embedded system,1
composite,1
polymer,1
poly,1
fused deposition modeling,1
abs,1
arch,1
precast concrete,1
slope stability,1
correlation,1
prediction model,1
vibration,1
do,1
sliding mode control,1
fpga,1
u net,1
power amplifier,1
circular polarization,1
re100,1
imo,1
gps,1
automation,1
empathy,1
e scooter,1
graph neural network,1
unmanned surface vehicle,1
motivation,1
다중회귀분석,1
low density,1
validation,1
qualitative research,1
digital transformation,1
time series forecasting,1
knowledge distillation,1
anomaly detection,1
survey,1
hallucination,1
privacysame,1
calibration,1
localization,1
slam,1
pre-training,1
urban planning,1
long short term memory,1
network analysis,1
millimeter wave,1
traffic operation,1
prompt engineering,1
multi agent system,1
cognitive,1
catalyst,1
tissue regeneration,1
